kv_type,layer,kv_head,record_count,task_coverage,truncated_files
k,16,3,259,3,79
k,16,4,259,3,79
k,16,5,259,3,79
k,16,6,259,3,79
k,16,7,259,3,79
k,17,0,259,3,79
k,17,1,259,3,79
k,17,2,259,3,79
k,17,3,259,3,79
k,17,4,259,3,79
k,17,5,259,3,79
k,17,6,259,3,79
k,17,7,259,3,79
k,18,0,259,3,79
k,18,1,259,3,79
k,18,2,259,3,79
k,18,3,259,3,79
k,18,4,259,3,79
k,18,5,259,3,79
k,18,6,252,3,72
k,18,7,242,2,62
k,19,0,242,2,62
k,19,1,242,2,62
k,19,2,242,2,62
k,19,3,242,2,62
k,19,4,242,2,62
k,19,5,242,2,62
k,19,6,242,2,62
k,19,7,242,2,62
k,20,0,242,2,62
k,20,1,242,2,62
k,20,2,242,2,62
k,20,3,242,2,62
k,20,4,242,2,62
k,20,5,242,2,62
k,20,6,242,2,62
k,20,7,242,2,62
k,21,0,242,2,62
k,21,1,242,2,62
k,21,2,242,2,62
k,21,3,242,2,62
k,21,4,242,2,62
k,21,5,242,2,62
k,21,6,242,2,62
k,21,7,242,2,62
k,22,0,242,2,62
k,22,1,232,2,52
k,22,2,229,1,49
k,22,3,229,1,49
k,22,4,229,1,49
k,22,5,229,1,49
k,22,6,229,1,49
k,22,7,229,1,49
k,23,0,309,1,73
k,23,1,309,1,73
k,23,2,309,1,73
k,23,3,309,1,73
k,23,4,309,1,73
k,23,5,309,1,73
k,23,6,309,1,73
k,23,7,309,1,73
k,24,0,229,1,49
k,24,1,229,1,49
k,24,2,229,1,49
k,24,3,229,1,49
k,24,4,229,1,49
k,24,5,229,1,49
k,24,6,229,1,49
k,24,7,229,1,49
k,25,0,229,1,49
k,25,1,229,1,49
k,25,2,229,1,49
k,25,3,229,1,49
k,25,4,229,1,49
k,25,5,229,1,49
k,25,6,229,1,49
k,25,7,229,1,49
k,26,0,229,1,49
k,26,1,229,1,49
k,26,2,229,1,49
k,26,3,229,1,49
k,26,4,229,1,49
k,26,5,229,1,49
k,26,6,229,1,49
k,26,7,229,1,49
k,27,0,229,1,49
k,27,1,229,1,49
k,27,2,229,1,49
k,27,3,229,1,49
k,27,4,229,1,49
k,27,5,229,1,49
k,27,6,229,1,49
k,27,7,229,1,49
k,28,0,229,1,49
k,28,1,229,1,49
k,28,2,229,1,49
k,28,3,229,1,49
k,28,4,229,1,49
k,28,5,229,1,49
k,28,6,229,1,49
k,28,7,229,1,49
k,29,0,229,1,49
k,29,1,229,1,49
k,29,2,229,1,49
k,29,3,229,1,49
k,29,4,229,1,49
k,29,5,229,1,49
k,29,6,229,1,49
k,29,7,229,1,49
k,30,0,229,1,49
k,30,1,229,1,49
k,30,2,229,1,49
k,30,3,229,1,49
k,30,4,229,1,49
k,30,5,229,1,49
k,30,6,229,1,49
k,30,7,229,1,49
k,31,0,309,1,73
k,31,1,309,1,73
k,31,2,309,1,73
k,31,3,309,1,73
k,31,4,309,1,73
k,31,5,309,1,73
k,31,6,309,1,73
k,31,7,309,1,73
v,0,0,1342,6,1057
v,0,1,1342,6,1057
v,0,2,1342,6,1057
v,0,3,1342,6,1057
v,0,4,1342,6,1057
v,0,5,1342,6,1057
v,0,6,1342,6,1057
v,0,7,1342,6,1057
v,1,0,782,6,553
v,1,1,782,6,553
v,1,2,782,6,553
v,1,3,782,6,553
v,1,4,782,6,553
v,1,5,782,6,553
v,1,6,782,6,553
v,1,7,782,6,553
v,2,0,782,6,553
v,2,1,782,6,553
v,2,2,782,6,553
v,2,3,782,6,553
v,2,4,782,6,553
v,2,5,782,6,553
v,2,6,782,6,553
v,2,7,782,6,553
v,3,0,782,6,553
v,3,1,782,6,553
v,3,2,782,6,553
v,3,3,782,6,553
v,3,4,782,6,553
v,3,5,782,6,553
v,3,6,782,6,553
v,3,7,782,6,553
v,4,0,782,6,553
v,4,1,782,6,553
v,4,2,782,6,553
v,4,3,782,6,553
v,4,4,782,6,553
v,4,5,782,6,553
v,4,6,782,6,553
v,4,7,782,6,553
v,5,0,782,6,553
v,5,1,782,6,553
v,5,2,782,6,553
v,5,3,782,6,553
v,5,4,782,6,553
v,5,5,782,6,553
v,5,6,782,6,553
v,5,7,782,6,553
v,6,0,758,6,529
v,6,1,758,6,529
v,6,2,758,6,529
v,6,3,758,6,529
v,6,4,758,6,529
v,6,5,758,6,529
v,6,6,758,6,529
v,6,7,486,5,257
v,7,0,718,4,433
v,7,1,718,4,433
v,7,2,718,4,433
v,7,3,718,4,433
v,7,4,718,4,433
v,7,5,718,4,433
v,7,6,718,4,433
v,7,7,718,4,433
v,8,0,419,4,190
v,8,1,419,4,190
v,8,2,419,4,190
v,8,3,419,4,190
v,8,4,419,4,190
v,8,5,419,4,190
v,8,6,419,4,190
v,8,7,419,4,190
v,9,0,419,4,190
v,9,1,419,4,190
v,9,2,419,4,190
v,9,3,419,4,190
v,9,4,419,4,190
v,9,5,419,4,190
v,9,6,419,4,190
v,9,7,419,4,190
v,10,0,379,4,150
v,10,1,379,4,150
v,10,2,379,4,150
v,10,3,379,4,150
v,10,4,339,4,110
v,10,5,339,4,110
v,10,6,339,4,110
v,10,7,339,4,110
v,11,0,323,3,94
v,11,1,323,3,94
v,11,2,323,3,94
v,11,3,323,3,94
v,11,4,323,3,94
v,11,5,323,3,94
v,11,6,323,3,94
v,11,7,323,3,94
v,12,0,323,3,94
v,12,1,323,3,94
v,12,2,323,3,94
v,12,3,323,3,94
v,12,4,323,3,94
v,12,5,323,3,94
v,12,6,323,3,94
v,12,7,323,3,94
v,13,0,323,3,94
v,13,1,323,3,94
v,13,2,323,3,94
v,13,3,323,3,94
v,13,4,323,3,94
v,13,5,323,3,94
v,13,6,323,3,94
v,13,7,323,3,94
v,14,0,323,3,94
v,14,1,323,3,94
v,14,2,323,3,94
v,14,3,323,3,94
v,14,4,323,3,94
v,14,5,323,3,94
v,14,6,323,3,94
v,14,7,323,3,94
v,15,0,411,3,126
v,15,1,411,3,126
v,15,2,411,3,126
v,15,3,411,3,126
v,15,4,411,3,126
v,15,5,411,3,126
v,15,6,411,3,126
v,15,7,411,3,126
v,16,0,315,3,86
v,16,1,315,3,86
v,16,2,315,3,86
v,16,3,315,3,86
v,16,4,315,3,86
v,16,5,315,3,86
v,16,6,315,3,86
v,16,7,315,3,86
v,17,0,315,3,86
v,17,1,315,3,86
v,17,2,315,3,86
v,17,3,315,3,86
v,17,4,315,3,86
v,17,5,315,3,86
v,17,6,315,3,86
v,17,7,315,3,86
v,18,0,307,2,78
v,18,1,307,2,78
v,18,2,307,2,78
v,18,3,307,2,78
v,18,4,307,2,78
v,18,5,307,2,78
v,18,6,307,2,78
v,18,7,307,2,78
v,19,0,307,2,78
v,19,1,307,2,78
v,19,2,307,2,78
v,19,3,307,2,78
v,19,4,307,2,78
v,19,5,307,2,78
v,19,6,307,2,78
v,19,7,307,2,78
v,20,0,307,2,78
v,20,1,307,2,78
v,20,2,307,2,78
v,20,3,307,2,78
v,20,4,307,2,78
v,20,5,307,2,78
v,20,6,307,2,78
v,20,7,307,2,78
v,21,0,307,2,78
v,21,1,307,2,78
v,21,2,307,2,78
v,21,3,307,2,78
v,21,4,307,2,78
v,21,5,307,2,78
v,21,6,307,2,78
v,21,7,307,2,78
v,22,0,299,1,70
v,22,1,299,1,70
v,22,2,299,1,70
v,22,3,299,1,70
v,22,4,299,1,70
v,22,5,299,1,70
v,22,6,299,1,70
v,22,7,299,1,70
v,23,0,379,1,94
v,23,1,379,1,94
v,23,2,379,1,94
v,23,3,379,1,94
v,23,4,379,1,94
v,23,5,379,1,94
v,23,6,379,1,94
v,23,7,379,1,94
v,24,0,299,1,70
v,24,1,299,1,70
v,24,2,299,1,70
v,24,3,299,1,70
v,24,4,299,1,70
v,24,5,299,1,70
v,24,6,299,1,70
v,24,7,299,1,70
v,25,0,299,1,70
v,25,1,299,1,70
v,25,2,299,1,70
v,25,3,299,1,70
v,25,4,299,1,70
v,25,5,299,1,70
v,25,6,299,1,70
v,25,7,299,1,70
v,26,0,299,1,70
v,26,1,299,1,70
v,26,2,299,1,70
v,26,3,299,1,70
v,26,4,299,1,70
v,26,5,299,1,70
v,26,6,299,1,70
v,26,7,299,1,70
v,27,0,299,1,70
v,27,1,299,1,70
v,27,2,299,1,70
v,27,3,299,1,70
v,27,4,299,1,70
v,27,5,299,1,70
v,27,6,299,1,70
v,27,7,299,1,70
v,28,0,299,1,70
v,28,1,299,1,70
v,28,2,299,1,70
v,28,3,299,1,70
v,28,4,299,1,70
v,28,5,299,1,70
v,28,6,299,1,70
v,28,7,299,1,70
v,29,0,299,1,70
v,29,1,299,1,70
v,29,2,299,1,70
v,29,3,299,1,70
v,29,4,299,1,70
v,29,5,299,1,70
v,29,6,299,1,70
v,29,7,299,1,70
v,30,0,299,1,70
v,30,1,299,1,70
v,30,2,299,1,70
v,30,3,299,1,70
v,30,4,299,1,70
v,30,5,299,1,70
v,30,6,299,1,70
v,30,7,299,1,70
v,31,0,379,1,94
v,31,1,379,1,94
v,31,2,379,1,94
v,31,3,379,1,94
v,31,4,379,1,94
v,31,5,379,1,94
v,31,6,379,1,94
v,31,7,379,1,94
