config,problem_id,seed,theoretical_effective_bits,actual_effective_bits,python_tensor_storage_bytes,sink_tokens_final,recent_tokens_final,packed_history_tokens_final,pending_tokens_final,assignment_storage,V_gate_storage,metadata_bits
fp16,10,43,16.0,16.0,2313814016,0,0,0,0,0,0,0
fp16,10,44,16.0,16.0,2457075712,0,0,0,0,0,0,0
fp16,11,42,16.0,16.0,709361664,0,0,0,0,0,0,0
fp16,11,43,16.0,16.0,1677066240,0,0,0,0,0,0,0
fp16,11,44,16.0,16.0,1584136192,0,0,0,0,0,0,0
fp16,12,42,16.0,16.0,1546518528,0,0,0,0,0,0,0
fp16,12,43,16.0,16.0,825753600,0,0,0,0,0,0,0
fp16,12,44,16.0,16.0,386662400,0,0,0,0,0,0,0
fp16,13,42,16.0,16.0,2404515840,0,0,0,0,0,0,0
fp16,13,43,16.0,16.0,4309647360,0,0,0,0,0,0,0
fp16,13,44,16.0,16.0,2781478912,0,0,0,0,0,0,0
fp16,14,42,16.0,16.0,1893203968,0,0,0,0,0,0,0
fp16,14,43,16.0,16.0,2845048832,0,0,0,0,0,0,0
fp16,14,44,16.0,16.0,3151888384,0,0,0,0,0,0,0
fp16,15,42,16.0,16.0,1996357632,0,0,0,0,0,0,0
fp16,15,43,16.0,16.0,2440036352,0,0,0,0,0,0,0
fp16,15,44,16.0,16.0,2129133568,0,0,0,0,0,0,0
fp16,16,42,16.0,16.0,3020947456,0,0,0,0,0,0,0
fp16,16,43,16.0,16.0,2871525376,0,0,0,0,0,0,0
fp16,16,44,16.0,16.0,2618556416,0,0,0,0,0,0,0
fp16,17,42,16.0,16.0,1616117760,0,0,0,0,0,0,0
fp16,17,43,16.0,16.0,2516844544,0,0,0,0,0,0,0
fp16,17,44,16.0,16.0,1455292416,0,0,0,0,0,0,0
fp16,18,42,16.0,16.0,2103967744,0,0,0,0,0,0,0
fp16,18,43,16.0,16.0,2433351680,0,0,0,0,0,0,0
fp16,18,44,16.0,16.0,1370488832,0,0,0,0,0,0,0
fp16,19,42,16.0,16.0,576847872,0,0,0,0,0,0,0
fp16,19,43,16.0,16.0,836108288,0,0,0,0,0,0,0
fp16,19,44,16.0,16.0,676069376,0,0,0,0,0,0,0
fp16,20,42,16.0,16.0,2717384704,0,0,0,0,0,0,0
fp16,20,43,16.0,16.0,1812987904,0,0,0,0,0,0,0
fp16,20,44,16.0,16.0,2630615040,0,0,0,0,0,0,0
fp16,21,42,16.0,16.0,4318691328,0,0,0,0,0,0,0
fp16,21,43,16.0,16.0,4318691328,0,0,0,0,0,0,0
fp16,21,44,16.0,16.0,1880358912,0,0,0,0,0,0,0
fp16,22,42,16.0,16.0,1398276096,0,0,0,0,0,0,0
fp16,22,43,16.0,16.0,2119958528,0,0,0,0,0,0,0
fp16,22,44,16.0,16.0,2192048128,0,0,0,0,0,0,0
fp16,23,42,16.0,16.0,3399614464,0,0,0,0,0,0,0
fp16,23,43,16.0,16.0,1447034880,0,0,0,0,0,0,0
fp16,23,44,16.0,16.0,1327759360,0,0,0,0,0,0,0
fp16,24,42,16.0,16.0,415891456,0,0,0,0,0,0,0
fp16,24,43,16.0,16.0,528220160,0,0,0,0,0,0,0
fp16,24,44,16.0,16.0,420610048,0,0,0,0,0,0,0
fp16,25,42,16.0,16.0,1526726656,0,0,0,0,0,0,0
fp16,25,43,16.0,16.0,2381185024,0,0,0,0,0,0,0
fp16,25,44,16.0,16.0,2618556416,0,0,0,0,0,0,0
fp16,26,42,16.0,16.0,1597898752,0,0,0,0,0,0,0
fp16,26,43,16.0,16.0,1299054592,0,0,0,0,0,0,0
fp16,26,44,16.0,16.0,3170762752,0,0,0,0,0,0,0
fp16,27,42,16.0,16.0,1398669312,0,0,0,0,0,0,0
fp16,27,43,16.0,16.0,3563454464,0,0,0,0,0,0,0
fp16,27,44,16.0,16.0,3213099008,0,0,0,0,0,0,0
fp16,28,42,16.0,16.0,1873018880,0,0,0,0,0,0,0
fp16,28,43,16.0,16.0,3748921344,0,0,0,0,0,0,0
fp16,28,44,16.0,16.0,4060217344,0,0,0,0,0,0,0
fp16,29,42,16.0,16.0,1416101888,0,0,0,0,0,0,0
fp16,29,43,16.0,16.0,2075131904,0,0,0,0,0,0,0
fp16,29,44,16.0,16.0,1028784128,0,0,0,0,0,0,0
patternkv_paper,0,42,2.6135068214070554,3.197952218430034,184221696,0,0,0,0,28311552,1769472,113246208
patternkv_paper,0,43,2.952749171065152,3.519258615696496,99549184,0,0,0,0,13631488,851968,54525952
patternkv_paper,0,44,2.854035489993187,3.293014070599852,109281280,0,0,0,0,16252928,1015808,65011712
patternkv_paper,1,42,2.4112655947529213,9.485204876215025,1446903808,0,0,0,0,38010880,0,152043520
patternkv_paper,1,43,2.387035632436991,9.472931650803222,1801846784,0,0,0,0,47448064,0,189792256
patternkv_paper,1,44,2.44094468767028,9.475313584200693,1163395072,0,0,0,0,30670848,0,122683392
patternkv_paper,2,42,2.4573345901315897,3.030965930086468,335970304,0,0,0,0,55050240,3440640,220200960
patternkv_paper,2,43,2.4903399746982475,3.011398780595564,279183360,0,0,0,0,46137344,2883584,184549376
patternkv_paper,2,44,2.3582526001865944,2.9603845919795533,797048832,0,0,0,0,134217728,8388608,536870912
patternkv_paper,3,42,2.599116286538908,3.0822346064972135,185761792,0,0,0,0,29884416,1867776,119537664
patternkv_paper,3,43,2.468498051839452,2.964935781262312,308248576,0,0,0,0,51904512,3244032,207618048
patternkv_paper,3,44,2.425469944110808,2.971291579262811,406126592,0,0,0,0,68157440,4259840,272629760
patternkv_paper,4,42,2.3582757858187926,2.9560188707959214,795607040,0,0,0,0,134217728,8388608,536870912
patternkv_paper,4,43,2.578092054467199,3.1051964512040557,200704000,0,0,0,0,31981568,1998848,127926272
patternkv_paper,4,44,2.3582757858187926,2.9560188707959214,795607040,0,0,0,0,134217728,8388608,536870912
patternkv_paper,5,42,2.3913540386937915,2.9843525179856116,543719424,0,0,0,0,90701824,5668864,362807296
patternkv_paper,5,43,2.569632578027319,3.066814322628276,204177408,0,0,0,0,33030144,2064384,132120576
patternkv_paper,5,44,2.358099124637293,2.9379155408482345,792756224,0,0,0,0,134742016,8421376,538968064
patternkv_paper,6,42,2.573069804302816,3.1196911196911197,205193216,0,0,0,0,32505856,2031616,130023424
patternkv_paper,6,43,2.61574619508702,3.1122565864833907,178061312,0,0,0,0,28311552,1769472,113246208
patternkv_paper,6,44,2.45384410914873,3.0568140696243757,345997312,0,0,0,0,56098816,3506176,224395264
patternkv_paper,7,42,3.17586705347122,3.259259259259259,69206016,0,0,0,0,10485760,655360,41943040
patternkv_paper,7,43,2.454769528775449,2.984279475982533,335904768,0,0,0,0,56098816,3506176,224395264
patternkv_paper,7,44,2.4669386834914295,2.947039525074207,309067776,0,0,0,0,52428800,3276800,209715200
patternkv_paper,8,42,2.714481885183559,3.2960893854748603,144998400,0,0,0,0,21495808,1343488,85983232
patternkv_paper,8,43,2.6482323646929435,3.1553107789142407,164265984,0,0,0,0,25690112,1605632,102760448
patternkv_paper,8,44,2.5721849836692474,3.159672212565185,208470016,0,0,0,0,32505856,2031616,130023424
patternkv_paper,9,42,2.7530614899702766,3.168493706861551,127860736,0,0,0,0,19922944,1245184,79691776
patternkv_paper,9,43,2.8345009002405477,3.329678188319428,114425856,0,0,0,0,16777216,1048576,67108864
patternkv_paper,9,44,2.8711178402207076,3.337909992372235,107544576,0,0,0,0,15728640,983040,62914560
patternkv_paper,10,42,2.506835562932614,3.07130567769069,263225344,0,0,0,0,42467328,2654208,169869312
patternkv_paper,10,43,2.4321447922552455,2.967060598441036,386662400,0,0,0,0,65011712,4063232,260046848
patternkv_paper,10,44,2.4749884380046745,3.0418809698750917,305233920,0,0,0,0,49807360,3112960,199229440
patternkv_paper,11,42,2.358301096964465,2.9512529306092623,794034176,0,0,0,0,134217728,8388608,536870912
patternkv_paper,11,43,2.533288859027263,3.1221603086155163,238682112,0,0,0,0,37748736,2359296,150994944
patternkv_paper,11,44,2.6476654247197096,3.175490966221524,165576704,0,0,0,0,25690112,1605632,102760448
patternkv_paper,12,42,2.596099288883538,2.981827971463185,181469184,0,0,0,0,30408704,1900544,121634816
patternkv_paper,12,43,2.6163580223172223,3.0882226366374983,176357376,0,0,0,0,28311552,1769472,113246208
patternkv_paper,12,44,2.3583243151161772,2.9468810916179335,792592384,0,0,0,0,134217728,8388608,536870912
patternkv_paper,13,42,2.74633682656841,3.0212084833933575,123699200,0,0,0,0,20447232,1277952,81788928
patternkv_paper,13,43,2.6739082067166766,3.089162312489466,150142976,0,0,0,0,24117248,1507328,96468992
patternkv_paper,13,44,2.5964731985759975,3.191913746630728,194019328,0,0,0,0,29884416,1867776,119537664
patternkv_paper,14,42,2.5847888161580617,3.024896265560166,191102976,0,0,0,0,31457280,1966080,125829120
patternkv_paper,14,43,2.5968063281510934,3.1780895844576365,192970752,0,0,0,0,29884416,1867776,119537664
patternkv_paper,14,44,2.5115486216481475,2.9559613319011815,247988224,0,0,0,0,41943040,2621440,167772160
patternkv_paper,15,42,2.358206275492596,2.969107273169545,799932416,0,0,0,0,134217728,8388608,536870912
patternkv_paper,15,43,2.4340716986019872,3.005415047461298,386465792,0,0,0,0,63963136,3997696,255852544
patternkv_paper,15,44,2.4705477287666247,2.9499521836149185,303235072,0,0,0,0,51380224,3211264,205520896
patternkv_paper,16,42,2.4494470612502117,3.0472701655512506,354353152,0,0,0,0,57671680,3604480,230686720
patternkv_paper,16,43,2.416990476567221,3.026139749283265,440991744,0,0,0,0,72351744,4521984,289406976
patternkv_paper,16,44,2.387943860778285,2.9813092236807788,561872896,0,0,0,0,93847552,5865472,375390208
patternkv_paper,17,42,2.426592924022636,2.965496404616593,402030592,0,0,0,0,67633152,4227072,270532608
patternkv_paper,17,43,2.4865778273954544,2.9628858827610127,279904256,0,0,0,0,47185920,2949120,188743680
patternkv_paper,17,44,2.4388321219384923,3.0207250477005068,376111104,0,0,0,0,61865984,3866624,247463936
patternkv_paper,18,42,2.3933974367842983,2.955285484980509,527892480,0,0,0,0,89128960,5570560,356515840
patternkv_paper,18,43,2.4039259414709457,2.9945984148619313,485949440,0,0,0,0,80740352,5046272,322961408
patternkv_paper,18,44,2.5436901828893816,3.135388739946381,229933056,0,0,0,0,36175872,2260992,144703488
patternkv_paper,19,42,2.4159615555863705,2.9434004349523226,432406528,0,0,0,0,73400320,4587520,293601280
patternkv_paper,19,43,2.488660105113022,2.972660357518402,277905408,0,0,0,0,46661632,2916352,186646528
patternkv_paper,19,44,2.43606072409834,3.0439780432676784,386138112,0,0,0,0,62914560,3932160,251658240
patternkv_paper,20,42,2.448300473614931,3.0213331468140168,353861632,0,0,0,0,58195968,3637248,232783872
patternkv_paper,20,43,2.3581138119502523,2.9351390744564556,791838720,0,0,0,0,134742016,8421376,538968064
patternkv_paper,20,44,2.3581138119502523,2.9351390744564556,791838720,0,0,0,0,134742016,8421376,538968064
patternkv_paper,21,42,2.3580760571934474,2.9422761760242793,794198016,0,0,0,0,134742016,8421376,538968064
patternkv_paper,21,43,2.3580760571934474,2.9422761760242793,794198016,0,0,0,0,134742016,8421376,538968064
patternkv_paper,21,44,2.4686824709758537,2.9503076194983437,306413568,0,0,0,0,51904512,3244032,207618048
patternkv_paper,22,42,2.358254707329425,2.9599878289974138,796917760,0,0,0,0,134217728,8388608,536870912
patternkv_paper,22,43,2.5021380434638645,3.035914702581369,265912320,0,0,0,0,43515904,2719744,174063616
patternkv_paper,22,44,2.6629509480566753,3.180478218146086,159088640,0,0,0,0,24641536,1540096,98566144
patternkv_paper,23,42,2.4442329969292023,3.009474473451026,361693184,0,0,0,0,59768832,3735552,239075328
patternkv_paper,23,43,2.358139004745697,2.9303766707168895,790265856,0,0,0,0,134742016,8421376,538968064
patternkv_paper,23,44,2.358139004745697,2.9303766707168895,790265856,0,0,0,0,134742016,8421376,538968064
patternkv_paper,24,42,2.5743895360900066,3.058058058058058,200212480,0,0,0,0,32505856,2031616,130023424
patternkv_paper,24,43,2.705589851752862,3.25164113785558,146079744,0,0,0,0,22020096,1376256,88080384
patternkv_paper,24,44,2.706661780511034,3.2190127970749542,144244736,0,0,0,0,22020096,1376256,88080384
patternkv_paper,25,42,2.3582947674426578,2.9524447421299396,794427392,0,0,0,0,134217728,8388608,536870912
patternkv_paper,25,43,2.3582947674426578,2.9524447421299396,794427392,0,0,0,0,134217728,8388608,536870912
patternkv_paper,25,44,2.512731407485299,3.0513399430646904,254640128,0,0,0,0,41418752,2588672,165675008
patternkv_paper,26,42,2.4336196055436545,2.9394131843007747,379158528,0,0,0,0,64487424,4030464,257949696
patternkv_paper,26,43,2.5039721891631976,3.0827280445241017,267714560,0,0,0,0,42991616,2686976,171966464
patternkv_paper,26,44,2.431338381523628,3.040380047505938,398458880,0,0,0,0,65011712,4063232,260046848
patternkv_paper,27,42,2.3582673528821214,2.9576067439666454,796131328,0,0,0,0,134217728,8388608,536870912
patternkv_paper,27,43,2.4280569262170304,3.0316946564885496,406683648,0,0,0,0,66584576,4161536,266338304
patternkv_paper,27,44,2.406758276375931,2.935291987792893,464879616,0,0,0,0,79167488,4947968,316669952
patternkv_paper,28,42,2.382989350479941,2.9388058468907423,583041024,0,0,0,0,99090432,6193152,396361728
patternkv_paper,28,43,2.4904827291953584,2.9979662215934213,277741568,0,0,0,0,46137344,2883584,184549376
patternkv_paper,28,44,2.379260455296534,2.925053533190578,604274688,0,0,0,0,103284736,6455296,413138944
patternkv_paper,29,42,2.358206275492596,2.969107273169545,799932416,0,0,0,0,134217728,8388608,536870912
patternkv_paper,29,43,2.50175903374983,3.0589113994958455,268402688,0,0,0,0,43515904,2719744,174063616
patternkv_paper,29,44,2.5421866170823892,3.026762909494725,223281152,0,0,0,0,36700160,2293760,146800640
pattern_rolling_s0_r128,0,42,2.9627888681538437,3.9800117577895358,110919680,0,128,3200,73,13107200,819200,52428800
pattern_rolling_s0_r128,0,43,2.946982060753466,3.778351995406259,107806720,0,128,3328,26,13631488,851968,54525952
pattern_rolling_s0_r128,0,44,3.044084950047923,4.198749588680487,104529920,0,128,2816,94,11534336,720896,46137344
pattern_rolling_s0_r128,1,42,2.3581894455252916,3.0387889105058368,818905088,0,128,32640,127,133693440,8355840,534773760
pattern_rolling_s0_r128,1,43,2.4296654588204105,3.1205831480108723,413827072,0,128,16000,59,65536000,4096000,262144000
pattern_rolling_s0_r128,1,44,2.414358944478591,3.1362184781411737,466616320,0,128,17920,113,73400320,4587520,293601280
pattern_rolling_s0_r128,2,42,2.452681146310281,3.1847646424721523,363036672,0,128,13696,90,56098816,3506176,224395264
pattern_rolling_s0_r128,2,43,2.4581989547802916,3.1270242163125834,344850432,0,128,13312,21,54525952,3407872,218103808
pattern_rolling_s0_r128,2,44,2.4723042227294254,3.134856775024139,319160320,0,128,12288,11,50331648,3145728,201326592
pattern_rolling_s0_r128,3,42,2.396045495764458,3.043543684755008,530219008,0,128,21120,17,86507520,5406720,346030080
pattern_rolling_s0_r128,3,43,2.423619920236837,3.0788695754995863,426606592,0,128,16768,17,68681728,4292608,274726912
pattern_rolling_s0_r128,3,44,2.4720385842207717,3.1534629599871447,321519616,0,128,12288,29,50331648,3145728,201326592
pattern_rolling_s0_r128,4,42,2.3582757858187926,3.0226145183381523,813531136,0,128,32640,86,133693440,8355840,534773760
pattern_rolling_s0_r128,4,43,2.508688126778097,3.17254675149412,269615104,0,128,10240,5,41943040,2621440,167772160
pattern_rolling_s0_r128,4,44,2.3582757858187926,3.0226145183381523,813531136,0,128,32640,86,133693440,8355840,534773760
pattern_rolling_s0_r128,5,42,2.4234289323867517,3.097177943086551,429752320,0,128,16768,41,68681728,4292608,274726912
pattern_rolling_s0_r128,5,43,2.358099124637293,3.0048271046479855,810811392,0,128,32768,42,134217728,8388608,536870912
pattern_rolling_s0_r128,5,44,2.3803696727134125,3.056037251123956,623673344,0,128,24704,79,101187584,6324224,404750336
pattern_rolling_s0_r128,6,42,2.43776365361589,3.1465900182910898,394592256,0,128,15104,75,61865984,3866624,247463936
pattern_rolling_s0_r128,6,43,2.463149649352207,3.135474006116208,335970304,0,128,12928,23,52953088,3309568,211812352
pattern_rolling_s0_r128,6,44,2.6842168933944714,3.4137394012804982,161611776,0,128,5632,18,23068672,1441792,92274688
pattern_rolling_s0_r128,7,42,3.135225600528852,4.025046040515654,89522176,0,128,2560,26,10485760,655360,41943040
pattern_rolling_s0_r128,7,43,2.5287034349088047,3.240799158780231,252477440,0,128,9344,37,38273024,2392064,153092096
pattern_rolling_s0_r128,7,44,2.793222004764466,3.6596119929453264,135987200,0,128,4352,55,17825792,1114112,71303168
pattern_rolling_s0_r128,8,42,2.5996673529291,3.3572984749455337,201981952,0,128,7168,47,29360128,1835008,117440512
pattern_rolling_s0_r128,8,43,2.6643715918476882,3.491698175242479,173998080,0,128,5888,66,24117248,1507328,96468992
pattern_rolling_s0_r128,8,44,2.6287387079183007,3.426615064007145,188579840,0,128,6528,61,26738688,1671168,106954752
pattern_rolling_s0_r128,9,42,2.607995670414026,3.4883265762617084,204406784,0,128,6912,112,28311552,1769472,113246208
pattern_rolling_s0_r128,9,43,2.7782401187542134,3.66538296961917,140345344,0,128,4480,65,18350080,1146880,73400320
pattern_rolling_s0_r128,9,44,2.779189999958068,3.6415862808145767,139165696,0,128,4480,56,18350080,1146880,73400320
pattern_rolling_s0_r128,10,42,2.5548613408059477,3.2207065407485134,226295808,0,128,8448,0,34603008,2162688,138412032
pattern_rolling_s0_r128,10,43,2.449923999228006,3.1634282484278953,366772224,0,128,13952,72,57147392,3571712,228589568
pattern_rolling_s0_r128,10,44,2.4424727633395515,3.1921288496529416,388038656,0,128,14592,118,59768832,3735552,239075328
pattern_rolling_s0_r128,11,42,2.7383779213839037,3.6759732599292176,153157632,0,128,4864,93,19922944,1245184,79691776
pattern_rolling_s0_r128,11,43,2.7123417354609045,3.4545117657958127,152731648,0,128,5248,20,21495808,1343488,85983232
pattern_rolling_s0_r128,11,44,2.643912614907695,3.388681592039801,178552832,0,128,6272,31,25690112,1605632,102760448
pattern_rolling_s0_r128,12,42,2.6791953098828873,3.572868614385785,171311104,0,128,5632,92,23068672,1441792,92274688
pattern_rolling_s0_r128,12,43,2.55800783004859,3.267665447681963,226918400,0,128,8320,28,34078720,2129920,136314880
pattern_rolling_s0_r128,12,44,2.7106920049547787,3.503137689184201,155484160,0,128,5248,41,21495808,1343488,85983232
pattern_rolling_s0_r128,13,42,2.517292603230103,3.342948717948718,273416192,0,128,9728,127,39845888,2490368,159383552
pattern_rolling_s0_r128,13,43,2.5511511572994015,3.3984824097493678,242155520,0,128,8448,121,34603008,2162688,138412032
pattern_rolling_s0_r128,13,44,2.6763355660152772,3.3792401628222524,163217408,0,128,5760,7,23592960,1474560,94371840
pattern_rolling_s0_r128,14,42,2.462445526923001,3.1873905429071803,342917120,0,128,12928,76,52953088,3309568,211812352
pattern_rolling_s0_r128,14,43,2.400081232907515,3.0461598516639015,511410176,0,128,20352,13,83361792,5210112,333447168
pattern_rolling_s0_r128,14,44,2.447346404916881,3.1356462490440102,369459200,0,128,14208,46,58195968,3637248,232783872
pattern_rolling_s0_r128,15,42,2.4573345901315897,3.192668686719385,353894400,0,128,13312,90,54525952,3407872,218103808
pattern_rolling_s0_r128,15,43,2.5937112989609132,3.374916521971417,206995456,0,128,7296,62,29884416,1867776,119537664
pattern_rolling_s0_r128,15,44,2.493970639063037,3.2760636862462893,298352640,0,128,10880,108,44564480,2785280,178257920
pattern_rolling_s0_r128,16,42,2.4674414464701364,3.2129092903023655,336003072,0,128,12544,93,51380224,3211264,205520896
pattern_rolling_s0_r128,16,43,2.402396099416662,3.1103805538951983,511541248,0,128,19840,107,81264640,5079040,325058560
pattern_rolling_s0_r128,16,44,2.4648195874071104,3.1417104044458166,333447168,0,128,12800,27,52428800,3276800,209715200
pattern_rolling_s0_r128,17,42,2.4182415469269674,3.118805699040699,450101248,0,128,17408,80,71303168,4456448,285212672
pattern_rolling_s0_r128,17,43,2.442483122762087,3.1912656692276586,387907584,0,128,14592,117,59768832,3735552,239075328
pattern_rolling_s0_r128,17,44,2.4644938778241996,3.1654853620955317,336592896,0,128,12800,51,52428800,3276800,209715200
pattern_rolling_s0_r128,18,42,2.4268682049936943,3.071930249455074,415629312,0,128,16384,3,67108864,4194304,268435456
pattern_rolling_s0_r128,18,43,2.3653244335207777,3.0511384594748665,745373696,0,128,29568,124,121110528,7569408,484442112
pattern_rolling_s0_r128,18,44,2.4384578893258073,3.086696856336549,385286144,0,128,15104,4,61865984,3866624,247463936
pattern_rolling_s0_r128,19,42,2.3582947674426578,3.0190586372769896,812351488,0,128,32640,77,133693440,8355840,534773760
pattern_rolling_s0_r128,19,43,2.3582947674426578,3.0190586372769896,812351488,0,128,32640,77,133693440,8355840,534773760
pattern_rolling_s0_r128,19,44,2.4497192503412872,3.1797332580622397,369131520,0,128,13952,90,57147392,3571712,228589568
pattern_rolling_s0_r128,20,42,2.3893360087632067,3.0424472164675804,565444608,0,128,22528,30,92274688,5767168,369098752
pattern_rolling_s0_r128,20,43,2.3974438407152476,3.113948170731707,535494656,0,128,20736,127,84934656,5308416,339738624
pattern_rolling_s0_r128,20,44,2.4439579424948743,3.182418180581071,383156224,0,128,14464,104,59244544,3702784,236978176
pattern_rolling_s0_r128,21,42,2.4777838106744636,3.1677162744448126,313163776,0,128,11904,35,48758784,3047424,195035136
pattern_rolling_s0_r128,21,43,2.4304617639253183,3.151891656830465,415629312,0,128,15872,96,65011712,4063232,260046848
pattern_rolling_s0_r128,21,44,2.5177290523089066,3.31881585549423,270925824,0,128,9728,108,39845888,2490368,159383552
pattern_rolling_s0_r128,22,42,2.53294803660673,3.1948635634028895,244580352,0,128,9216,0,37748736,2359296,150994944
pattern_rolling_s0_r128,22,43,2.420696422822198,3.068309329631558,434569216,0,128,17152,8,70254592,4390912,281018368
pattern_rolling_s0_r128,22,44,2.6258184035429073,3.5342384887839433,196182016,0,128,6528,119,26738688,1671168,106954752
pattern_rolling_s0_r128,23,42,2.42439739314127,3.1040019028364156,427622400,0,128,16640,48,68157440,4259840,272629760
pattern_rolling_s0_r128,23,43,2.358139004745697,2.9973268529769137,808321024,0,128,32768,23,134217728,8388608,536870912
pattern_rolling_s0_r128,23,44,2.4391586378302312,3.136753263879731,389709824,0,128,14976,61,61341696,3833856,245366784
pattern_rolling_s0_r128,24,42,2.7964878325863456,3.5802085644552917,132186112,0,128,4352,26,17825792,1114112,71303168
pattern_rolling_s0_r128,24,43,2.7757250120052017,3.728395061728395,143491072,0,128,4480,89,18350080,1146880,73400320
pattern_rolling_s0_r128,24,44,2.7726172708379315,3.8062605752961085,147423232,0,128,4480,119,18350080,1146880,73400320
pattern_rolling_s0_r128,25,42,2.4279040339043236,3.077167083511255,413237248,0,128,16256,8,66584576,4161536,266338304
pattern_rolling_s0_r128,25,43,2.7193976470150307,3.5622527783009983,154927104,0,128,5120,60,20971520,1310720,83886080
pattern_rolling_s0_r128,25,44,2.5603522193423736,3.356496906235126,231079936,0,128,8192,83,33554432,2097152,134217728
pattern_rolling_s0_r128,26,42,2.4500493806668615,3.1534436430490738,365330432,0,128,13952,61,57147392,3571712,228589568
pattern_rolling_s0_r128,26,43,2.358288439077988,3.0202441474626323,812744704,0,128,32640,80,133693440,8355840,534773760
pattern_rolling_s0_r128,26,44,2.426302158633902,3.124939700916546,424542208,0,128,16384,71,67108864,4194304,268435456
pattern_rolling_s0_r128,27,42,2.4028615848578445,3.057517255176553,500793344,0,128,19840,25,81264640,5079040,325058560
pattern_rolling_s0_r128,27,43,2.3582673528821214,3.0241942846708665,814055424,0,128,32640,90,133693440,8355840,534773760
pattern_rolling_s0_r128,27,44,2.3896111452828452,3.0810165745856355,571047936,0,128,22400,96,91750400,5734400,367001600
pattern_rolling_s0_r128,28,42,2.4155236276059364,3.1081967213114754,458194944,0,128,17792,74,72876032,4554752,291504128
pattern_rolling_s0_r128,28,43,2.407953103864963,3.0906525941794243,484573184,0,128,18944,66,77594624,4849664,310378496
pattern_rolling_s0_r128,28,44,2.4010995086593123,3.0909986212330116,514228224,0,128,20096,83,82313216,5144576,329252864
pattern_rolling_s0_r128,29,42,2.5907580137514876,3.2751322751322753,202833920,0,128,7424,7,30408704,1900544,121634816
pattern_rolling_s0_r128,29,43,2.358206275492596,3.0356360982729265,817856512,0,128,32640,119,133693440,8355840,534773760
pattern_rolling_s0_r128,29,44,2.4839015268170015,3.182891360136869,304807936,0,128,11520,41,47185920,2949120,188743680
pattern_rolling_s16_r128,0,42,2.935241447464647,3.755081039361976,119570432,16,128,3712,30,15204352,950272,60817408
pattern_rolling_s16_r128,0,43,2.4657603296726727,3.1452628599731125,364150784,16,128,13952,36,57147392,3571712,228589568
pattern_rolling_s16_r128,0,44,2.8988650896320687,3.624969638085985,122257408,16,128,3968,4,16252928,1015808,65011712
pattern_rolling_s16_r128,1,42,2.4085699807323584,3.0460683842543816,521076736,16,128,20736,1,84934656,5308416,339738624
pattern_rolling_s16_r128,1,43,2.4143122753973594,3.097460604235672,505610240,16,128,19712,69,80740352,5046272,322961408
pattern_rolling_s16_r128,1,44,2.3980344722901354,3.088654030919731,579371008,16,128,22656,97,92798976,5799936,371195904
pattern_rolling_s16_r128,2,42,2.4402833628363085,3.1679689866133622,428441600,16,128,16256,108,66584576,4161536,266338304
