comparison_name,problem_id,baseline,candidate,baseline_correct_count,candidate_correct_count,delta_correct_count,classification
pattern_paper_to_s0,1,patternkv_paper,pattern_rolling_s0_r128,0,0,0,NO_CHANGE
pattern_paper_to_s0,2,patternkv_paper,pattern_rolling_s0_r128,0,0,0,NO_CHANGE
pattern_paper_to_s0,3,patternkv_paper,pattern_rolling_s0_r128,0,0,0,NO_CHANGE
pattern_paper_to_s0,4,patternkv_paper,pattern_rolling_s0_r128,1,1,0,SEED_SENSITIVE
pattern_paper_to_s0,5,patternkv_paper,pattern_rolling_s0_r128,1,0,-1,SEED_SENSITIVE
pattern_paper_to_s0,6,patternkv_paper,pattern_rolling_s0_r128,2,1,-1,SEED_SENSITIVE
pattern_paper_to_s0,7,patternkv_paper,pattern_rolling_s0_r128,2,3,1,PARTIAL_RESCUE
pattern_paper_to_s0,8,patternkv_paper,pattern_rolling_s0_r128,2,3,1,PARTIAL_RESCUE
pattern_paper_to_s0,9,patternkv_paper,pattern_rolling_s0_r128,3,3,0,NO_CHANGE
pattern_paper_to_s0,10,patternkv_paper,pattern_rolling_s0_r128,0,0,0,NO_CHANGE
pattern_paper_to_s0,11,patternkv_paper,pattern_rolling_s0_r128,1,3,2,STABLE_RESCUE
pattern_paper_to_s0,12,patternkv_paper,pattern_rolling_s0_r128,1,3,2,STABLE_RESCUE
pattern_paper_to_s0,13,patternkv_paper,pattern_rolling_s0_r128,0,0,0,NO_CHANGE
pattern_paper_to_s0,14,patternkv_paper,pattern_rolling_s0_r128,0,0,0,NO_CHANGE
pattern_paper_to_s0,15,patternkv_paper,pattern_rolling_s0_r128,0,0,0,NO_CHANGE
pattern_paper_to_s0,16,patternkv_paper,pattern_rolling_s0_r128,0,0,0,NO_CHANGE
pattern_paper_to_s0,17,patternkv_paper,pattern_rolling_s0_r128,0,1,1,PARTIAL_RESCUE
pattern_paper_to_s0,18,patternkv_paper,pattern_rolling_s0_r128,1,0,-1,SEED_SENSITIVE
pattern_paper_to_s0,19,patternkv_paper,pattern_rolling_s0_r128,0,0,0,NO_CHANGE
pattern_paper_to_s0,20,patternkv_paper,pattern_rolling_s0_r128,0,1,1,PARTIAL_RESCUE
pattern_paper_to_s0,21,patternkv_paper,pattern_rolling_s0_r128,0,0,0,NO_CHANGE
pattern_paper_to_s0,22,patternkv_paper,pattern_rolling_s0_r128,1,1,0,SEED_SENSITIVE
pattern_paper_to_s0,23,patternkv_paper,pattern_rolling_s0_r128,0,0,0,NO_CHANGE
pattern_paper_to_s0,24,patternkv_paper,pattern_rolling_s0_r128,2,3,1,PARTIAL_RESCUE
pattern_paper_to_s0,25,patternkv_paper,pattern_rolling_s0_r128,0,0,0,NO_CHANGE
pattern_paper_to_s0,26,patternkv_paper,pattern_rolling_s0_r128,1,0,-1,SEED_SENSITIVE
pattern_paper_to_s0,27,patternkv_paper,pattern_rolling_s0_r128,0,0,0,NO_CHANGE
pattern_paper_to_s0,28,patternkv_paper,pattern_rolling_s0_r128,0,0,0,NO_CHANGE
pattern_paper_to_s0,29,patternkv_paper,pattern_rolling_s0_r128,0,0,0,NO_CHANGE
pattern_s0_to_s16,0,pattern_rolling_s0_r128,pattern_rolling_s16_r128,3,2,-1,SEED_SENSITIVE
pattern_s0_to_s16,1,pattern_rolling_s0_r128,pattern_rolling_s16_r128,0,0,0,NO_CHANGE
pattern_s0_to_s16,2,pattern_rolling_s0_r128,pattern_rolling_s16_r128,0,0,0,NO_CHANGE
pattern_s0_to_s16,3,pattern_rolling_s0_r128,pattern_rolling_s16_r128,0,0,0,NO_CHANGE
pattern_s0_to_s16,4,pattern_rolling_s0_r128,pattern_rolling_s16_r128,1,3,2,STABLE_RESCUE
pattern_s0_to_s16,5,pattern_rolling_s0_r128,pattern_rolling_s16_r128,0,2,2,STABLE_RESCUE
pattern_s0_to_s16,6,pattern_rolling_s0_r128,pattern_rolling_s16_r128,1,3,2,STABLE_RESCUE
pattern_s0_to_s16,7,pattern_rolling_s0_r128,pattern_rolling_s16_r128,3,3,0,NO_CHANGE
pattern_s0_to_s16,8,pattern_rolling_s0_r128,pattern_rolling_s16_r128,3,3,0,NO_CHANGE
pattern_s0_to_s16,9,pattern_rolling_s0_r128,pattern_rolling_s16_r128,3,3,0,NO_CHANGE
pattern_s0_to_s16,10,pattern_rolling_s0_r128,pattern_rolling_s16_r128,0,0,0,NO_CHANGE
pattern_s0_to_s16,11,pattern_rolling_s0_r128,pattern_rolling_s16_r128,3,2,-1,SEED_SENSITIVE
pattern_s0_to_s16,12,pattern_rolling_s0_r128,pattern_rolling_s16_r128,3,3,0,NO_CHANGE
pattern_s0_to_s16,13,pattern_rolling_s0_r128,pattern_rolling_s16_r128,0,1,1,PARTIAL_RESCUE
pattern_s0_to_s16,14,pattern_rolling_s0_r128,pattern_rolling_s16_r128,0,1,1,PARTIAL_RESCUE
pattern_s0_to_s16,15,pattern_rolling_s0_r128,pattern_rolling_s16_r128,0,1,1,PARTIAL_RESCUE
pattern_s0_to_s16,16,pattern_rolling_s0_r128,pattern_rolling_s16_r128,0,0,0,NO_CHANGE
pattern_s0_to_s16,17,pattern_rolling_s0_r128,pattern_rolling_s16_r128,1,0,-1,SEED_SENSITIVE
pattern_s0_to_s16,18,pattern_rolling_s0_r128,pattern_rolling_s16_r128,0,3,3,STABLE_RESCUE
pattern_s0_to_s16,19,pattern_rolling_s0_r128,pattern_rolling_s16_r128,0,3,3,STABLE_RESCUE
pattern_s0_to_s16,20,pattern_rolling_s0_r128,pattern_rolling_s16_r128,1,0,-1,SEED_SENSITIVE
pattern_s0_to_s16,21,pattern_rolling_s0_r128,pattern_rolling_s16_r128,0,0,0,NO_CHANGE
pattern_s0_to_s16,22,pattern_rolling_s0_r128,pattern_rolling_s16_r128,1,0,-1,SEED_SENSITIVE
pattern_s0_to_s16,23,pattern_rolling_s0_r128,pattern_rolling_s16_r128,0,1,1,PARTIAL_RESCUE
pattern_s0_to_s16,24,pattern_rolling_s0_r128,pattern_rolling_s16_r128,3,3,0,NO_CHANGE
pattern_s0_to_s16,25,pattern_rolling_s0_r128,pattern_rolling_s16_r128,0,2,2,STABLE_RESCUE
pattern_s0_to_s16,26,pattern_rolling_s0_r128,pattern_rolling_s16_r128,0,1,1,PARTIAL_RESCUE
pattern_s0_to_s16,27,pattern_rolling_s0_r128,pattern_rolling_s16_r128,0,1,1,PARTIAL_RESCUE
pattern_s0_to_s16,28,pattern_rolling_s0_r128,pattern_rolling_s16_r128,0,0,0,NO_CHANGE
pattern_s0_to_s16,29,pattern_rolling_s0_r128,pattern_rolling_s16_r128,0,0,0,NO_CHANGE
kivi_s0_to_s16,0,kivi_rolling_s0_r128,kivi_rolling_s16_r128,2,3,1,PARTIAL_RESCUE
kivi_s0_to_s16,1,kivi_rolling_s0_r128,kivi_rolling_s16_r128,0,2,2,STABLE_RESCUE
kivi_s0_to_s16,2,kivi_rolling_s0_r128,kivi_rolling_s16_r128,0,0,0,NO_CHANGE
kivi_s0_to_s16,3,kivi_rolling_s0_r128,kivi_rolling_s16_r128,0,0,0,NO_CHANGE
kivi_s0_to_s16,4,kivi_rolling_s0_r128,kivi_rolling_s16_r128,0,2,2,STABLE_RESCUE
kivi_s0_to_s16,5,kivi_rolling_s0_r128,kivi_rolling_s16_r128,0,1,1,PARTIAL_RESCUE
kivi_s0_to_s16,6,kivi_rolling_s0_r128,kivi_rolling_s16_r128,1,2,1,PARTIAL_RESCUE
kivi_s0_to_s16,7,kivi_rolling_s0_r128,kivi_rolling_s16_r128,3,3,0,NO_CHANGE
kivi_s0_to_s16,8,kivi_rolling_s0_r128,kivi_rolling_s16_r128,3,1,-2,STABLE_REGRESSION
kivi_s0_to_s16,9,kivi_rolling_s0_r128,kivi_rolling_s16_r128,3,3,0,NO_CHANGE
kivi_s0_to_s16,10,kivi_rolling_s0_r128,kivi_rolling_s16_r128,0,0,0,NO_CHANGE
kivi_s0_to_s16,11,kivi_rolling_s0_r128,kivi_rolling_s16_r128,2,3,1,PARTIAL_RESCUE
kivi_s0_to_s16,12,kivi_rolling_s0_r128,kivi_rolling_s16_r128,0,3,3,STABLE_RESCUE
kivi_s0_to_s16,13,kivi_rolling_s0_r128,kivi_rolling_s16_r128,0,0,0,NO_CHANGE
kivi_s0_to_s16,14,kivi_rolling_s0_r128,kivi_rolling_s16_r128,0,0,0,NO_CHANGE
kivi_s0_to_s16,15,kivi_rolling_s0_r128,kivi_rolling_s16_r128,0,1,1,PARTIAL_RESCUE
kivi_s0_to_s16,16,kivi_rolling_s0_r128,kivi_rolling_s16_r128,0,2,2,STABLE_RESCUE
kivi_s0_to_s16,17,kivi_rolling_s0_r128,kivi_rolling_s16_r128,0,0,0,NO_CHANGE
kivi_s0_to_s16,18,kivi_rolling_s0_r128,kivi_rolling_s16_r128,0,2,2,STABLE_RESCUE
kivi_s0_to_s16,19,kivi_rolling_s0_r128,kivi_rolling_s16_r128,1,1,0,SEED_SENSITIVE
kivi_s0_to_s16,20,kivi_rolling_s0_r128,kivi_rolling_s16_r128,1,2,1,PARTIAL_RESCUE
kivi_s0_to_s16,21,kivi_rolling_s0_r128,kivi_rolling_s16_r128,0,0,0,NO_CHANGE
kivi_s0_to_s16,22,kivi_rolling_s0_r128,kivi_rolling_s16_r128,0,2,2,STABLE_RESCUE
kivi_s0_to_s16,23,kivi_rolling_s0_r128,kivi_rolling_s16_r128,0,1,1,PARTIAL_RESCUE
kivi_s0_to_s16,24,kivi_rolling_s0_r128,kivi_rolling_s16_r128,0,3,3,STABLE_RESCUE
kivi_s0_to_s16,25,kivi_rolling_s0_r128,kivi_rolling_s16_r128,0,0,0,NO_CHANGE
kivi_s0_to_s16,26,kivi_rolling_s0_r128,kivi_rolling_s16_r128,0,1,1,PARTIAL_RESCUE
kivi_s0_to_s16,27,kivi_rolling_s0_r128,kivi_rolling_s16_r128,0,2,2,STABLE_RESCUE
kivi_s0_to_s16,28,kivi_rolling_s0_r128,kivi_rolling_s16_r128,0,0,0,NO_CHANGE
kivi_s0_to_s16,29,kivi_rolling_s0_r128,kivi_rolling_s16_r128,0,0,0,NO_CHANGE
kivi_paper_to_s16,0,kivi_paper,kivi_rolling_s16_r128,2,3,1,PARTIAL_RESCUE
kivi_paper_to_s16,1,kivi_paper,kivi_rolling_s16_r128,0,2,2,STABLE_RESCUE
kivi_paper_to_s16,2,kivi_paper,kivi_rolling_s16_r128,0,0,0,NO_CHANGE
kivi_paper_to_s16,3,kivi_paper,kivi_rolling_s16_r128,0,0,0,NO_CHANGE
kivi_paper_to_s16,4,kivi_paper,kivi_rolling_s16_r128,0,2,2,STABLE_RESCUE
kivi_paper_to_s16,5,kivi_paper,kivi_rolling_s16_r128,0,1,1,PARTIAL_RESCUE
kivi_paper_to_s16,6,kivi_paper,kivi_rolling_s16_r128,1,2,1,PARTIAL_RESCUE
kivi_paper_to_s16,7,kivi_paper,kivi_rolling_s16_r128,3,3,0,NO_CHANGE
kivi_paper_to_s16,8,kivi_paper,kivi_rolling_s16_r128,3,1,-2,STABLE_REGRESSION
kivi_paper_to_s16,9,kivi_paper,kivi_rolling_s16_r128,3,3,0,NO_CHANGE
kivi_paper_to_s16,10,kivi_paper,kivi_rolling_s16_r128,0,0,0,NO_CHANGE
kivi_paper_to_s16,11,kivi_paper,kivi_rolling_s16_r128,2,3,1,PARTIAL_RESCUE
kivi_paper_to_s16,12,kivi_paper,kivi_rolling_s16_r128,0,3,3,STABLE_RESCUE
kivi_paper_to_s16,13,kivi_paper,kivi_rolling_s16_r128,0,0,0,NO_CHANGE
kivi_paper_to_s16,14,kivi_paper,kivi_rolling_s16_r128,0,0,0,NO_CHANGE
kivi_paper_to_s16,15,kivi_paper,kivi_rolling_s16_r128,0,1,1,PARTIAL_RESCUE
kivi_paper_to_s16,16,kivi_paper,kivi_rolling_s16_r128,0,2,2,STABLE_RESCUE
kivi_paper_to_s16,17,kivi_paper,kivi_rolling_s16_r128,0,0,0,NO_CHANGE
kivi_paper_to_s16,18,kivi_paper,kivi_rolling_s16_r128,0,2,2,STABLE_RESCUE
kivi_paper_to_s16,19,kivi_paper,kivi_rolling_s16_r128,1,1,0,SEED_SENSITIVE
kivi_paper_to_s16,20,kivi_paper,kivi_rolling_s16_r128,1,2,1,PARTIAL_RESCUE
kivi_paper_to_s16,21,kivi_paper,kivi_rolling_s16_r128,0,0,0,NO_CHANGE
kivi_paper_to_s16,22,kivi_paper,kivi_rolling_s16_r128,0,2,2,STABLE_RESCUE
kivi_paper_to_s16,23,kivi_paper,kivi_rolling_s16_r128,0,1,1,PARTIAL_RESCUE
kivi_paper_to_s16,24,kivi_paper,kivi_rolling_s16_r128,0,3,3,STABLE_RESCUE
kivi_paper_to_s16,25,kivi_paper,kivi_rolling_s16_r128,0,0,0,NO_CHANGE
kivi_paper_to_s16,26,kivi_paper,kivi_rolling_s16_r128,0,1,1,PARTIAL_RESCUE
kivi_paper_to_s16,27,kivi_paper,kivi_rolling_s16_r128,0,2,2,STABLE_RESCUE
kivi_paper_to_s16,28,kivi_paper,kivi_rolling_s16_r128,0,0,0,NO_CHANGE
kivi_paper_to_s16,29,kivi_paper,kivi_rolling_s16_r128,0,0,0,NO_CHANGE
