dataset,task,sample_id,problem_id,sample_index,fp16_score,kivi_score,patternkv_score,pattern_minus_kivi,pattern_minus_fp16,fp16_correct,kivi_correct,patternkv_correct,input_tokens,fp16_output_tokens,kivi_output_tokens,patternkv_output_tokens,fp16_stop_reason,kivi_stop_reason,patternkv_stop_reason,fp16_hit_max,kivi_hit_max,patternkv_hit_max,quantized_tokens,fp16_residual_tokens,dynamic_pattern_count_k,dynamic_pattern_count_v,assignment_bytes,mask_bytes,centroid_bytes,config_hash,git_commit,error
gsm8k,gsm8k,,42,,1.0,1.0,1.0,0.0,0.0,True,True,True,123,142,142,143,eos,eos,eos,False,False,False,138,128,2,2,1048576,65536,4456448,ce8815a4aeb50dd1|7e87d7bf036cb771|9f29f8123bac1960,044be34cd8c137a4e3cf7f3d5dd37a93ed2e62fa|dbe38273c44c7c1c395eea747a9f0878a32fb504,
gsm8k,gsm8k,,43,,1.0,1.0,1.0,0.0,0.0,True,True,True,95,303,303,356,eos,eos,eos,False,False,False,323,128,3,3,1572864,98304,4587520,ce8815a4aeb50dd1|7e87d7bf036cb771|9f29f8123bac1960,044be34cd8c137a4e3cf7f3d5dd37a93ed2e62fa|dbe38273c44c7c1c395eea747a9f0878a32fb504,
gsm8k,gsm8k,,44,,1.0,0.0,0.0,0.0,-1.0,True,False,False,114,226,321,241,eos,eos,eos,False,False,False,227,128,2,2,1048576,65536,4456448,ce8815a4aeb50dd1|7e87d7bf036cb771|9f29f8123bac1960,044be34cd8c137a4e3cf7f3d5dd37a93ed2e62fa|dbe38273c44c7c1c395eea747a9f0878a32fb504,
gsm8k,gsm8k,,45,,1.0,0.0,1.0,1.0,0.0,True,False,True,136,306,199,274,eos,eos,eos,False,False,False,282,128,2,2,1572864,98304,4456448,ce8815a4aeb50dd1|7e87d7bf036cb771|9f29f8123bac1960,044be34cd8c137a4e3cf7f3d5dd37a93ed2e62fa|dbe38273c44c7c1c395eea747a9f0878a32fb504,
gsm8k,gsm8k,,46,,1.0,0.0,1.0,1.0,0.0,True,False,True,132,281,2048,413,eos,length,eos,False,True,False,417,128,3,3,2097152,131072,4587520,ce8815a4aeb50dd1|7e87d7bf036cb771|9f29f8123bac1960,044be34cd8c137a4e3cf7f3d5dd37a93ed2e62fa|dbe38273c44c7c1c395eea747a9f0878a32fb504,
gsm8k,gsm8k,,47,,1.0,1.0,1.0,0.0,0.0,True,True,True,88,410,437,322,eos,eos,eos,False,False,False,282,128,3,3,1572864,98304,4587520,ce8815a4aeb50dd1|7e87d7bf036cb771|9f29f8123bac1960,044be34cd8c137a4e3cf7f3d5dd37a93ed2e62fa|dbe38273c44c7c1c395eea747a9f0878a32fb504,
gsm8k,gsm8k,,48,,1.0,0.0,1.0,1.0,0.0,True,False,True,79,107,125,106,eos,eos,eos,False,False,False,57,128,1,1,524288,32768,4325376,ce8815a4aeb50dd1|7e87d7bf036cb771|9f29f8123bac1960,044be34cd8c137a4e3cf7f3d5dd37a93ed2e62fa|dbe38273c44c7c1c395eea747a9f0878a32fb504,
gsm8k,gsm8k,,49,,1.0,1.0,1.0,0.0,0.0,True,True,True,84,201,236,209,eos,eos,eos,False,False,False,165,128,2,2,1048576,65536,4456448,ce8815a4aeb50dd1|7e87d7bf036cb771|9f29f8123bac1960,044be34cd8c137a4e3cf7f3d5dd37a93ed2e62fa|dbe38273c44c7c1c395eea747a9f0878a32fb504,
gsm8k,gsm8k,,50,,1.0,1.0,1.0,0.0,0.0,True,True,True,77,197,191,206,eos,eos,eos,False,False,False,155,128,2,2,1048576,65536,4456448,ce8815a4aeb50dd1|7e87d7bf036cb771|9f29f8123bac1960,044be34cd8c137a4e3cf7f3d5dd37a93ed2e62fa|dbe38273c44c7c1c395eea747a9f0878a32fb504,
gsm8k,gsm8k,,51,,1.0,1.0,1.0,0.0,0.0,True,True,True,90,167,197,194,eos,eos,eos,False,False,False,156,128,2,2,1048576,65536,4456448,ce8815a4aeb50dd1|7e87d7bf036cb771|9f29f8123bac1960,044be34cd8c137a4e3cf7f3d5dd37a93ed2e62fa|dbe38273c44c7c1c395eea747a9f0878a32fb504,
gsm8k,gsm8k,,52,,1.0,1.0,1.0,0.0,0.0,True,True,True,102,210,222,225,eos,eos,eos,False,False,False,199,128,2,2,1048576,65536,4456448,ce8815a4aeb50dd1|7e87d7bf036cb771|9f29f8123bac1960,044be34cd8c137a4e3cf7f3d5dd37a93ed2e62fa|dbe38273c44c7c1c395eea747a9f0878a32fb504,
gsm8k,gsm8k,,53,,1.0,1.0,1.0,0.0,0.0,True,True,True,139,211,246,244,eos,eos,eos,False,False,False,255,128,1,1,1048576,65536,4325376,ce8815a4aeb50dd1|7e87d7bf036cb771|9f29f8123bac1960,044be34cd8c137a4e3cf7f3d5dd37a93ed2e62fa|dbe38273c44c7c1c395eea747a9f0878a32fb504,
gsm8k,gsm8k,,54,,1.0,0.0,1.0,1.0,0.0,True,False,True,123,205,218,175,eos,eos,eos,False,False,False,170,128,2,2,1048576,65536,4456448,ce8815a4aeb50dd1|7e87d7bf036cb771|9f29f8123bac1960,044be34cd8c137a4e3cf7f3d5dd37a93ed2e62fa|dbe38273c44c7c1c395eea747a9f0878a32fb504,
gsm8k,gsm8k,,55,,0.0,0.0,0.0,0.0,0.0,False,False,False,91,155,148,151,eos,eos,eos,False,False,False,114,128,1,1,524288,32768,4325376,ce8815a4aeb50dd1|7e87d7bf036cb771|9f29f8123bac1960,044be34cd8c137a4e3cf7f3d5dd37a93ed2e62fa|dbe38273c44c7c1c395eea747a9f0878a32fb504,
gsm8k,gsm8k,,56,,0.0,1.0,0.0,-1.0,0.0,False,True,False,86,150,147,132,eos,eos,eos,False,False,False,90,128,1,1,524288,32768,4325376,ce8815a4aeb50dd1|7e87d7bf036cb771|9f29f8123bac1960,044be34cd8c137a4e3cf7f3d5dd37a93ed2e62fa|dbe38273c44c7c1c395eea747a9f0878a32fb504,
gsm8k,gsm8k,,57,,1.0,1.0,1.0,0.0,0.0,True,True,True,114,214,229,164,eos,eos,eos,False,False,False,150,128,2,2,1048576,65536,4456448,ce8815a4aeb50dd1|7e87d7bf036cb771|9f29f8123bac1960,044be34cd8c137a4e3cf7f3d5dd37a93ed2e62fa|dbe38273c44c7c1c395eea747a9f0878a32fb504,
gsm8k,gsm8k,,58,,1.0,1.0,1.0,0.0,0.0,True,True,True,121,240,257,253,eos,eos,eos,False,False,False,246,128,2,2,1048576,65536,4456448,ce8815a4aeb50dd1|7e87d7bf036cb771|9f29f8123bac1960,044be34cd8c137a4e3cf7f3d5dd37a93ed2e62fa|dbe38273c44c7c1c395eea747a9f0878a32fb504,
gsm8k,gsm8k,,59,,1.0,1.0,1.0,0.0,0.0,True,True,True,72,130,136,143,eos,eos,eos,False,False,False,87,128,1,1,524288,32768,4325376,ce8815a4aeb50dd1|7e87d7bf036cb771|9f29f8123bac1960,044be34cd8c137a4e3cf7f3d5dd37a93ed2e62fa|dbe38273c44c7c1c395eea747a9f0878a32fb504,
gsm8k,gsm8k,,60,,1.0,1.0,1.0,0.0,0.0,True,True,True,78,215,196,186,eos,eos,eos,False,False,False,136,128,2,2,1048576,65536,4456448,ce8815a4aeb50dd1|7e87d7bf036cb771|9f29f8123bac1960,044be34cd8c137a4e3cf7f3d5dd37a93ed2e62fa|dbe38273c44c7c1c395eea747a9f0878a32fb504,
gsm8k,gsm8k,,61,,1.0,1.0,1.0,0.0,0.0,True,True,True,99,191,210,215,eos,eos,eos,False,False,False,186,128,2,2,1048576,65536,4456448,ce8815a4aeb50dd1|7e87d7bf036cb771|9f29f8123bac1960,044be34cd8c137a4e3cf7f3d5dd37a93ed2e62fa|dbe38273c44c7c1c395eea747a9f0878a32fb504,
gsm8k,gsm8k,,62,,0.0,0.0,0.0,0.0,0.0,False,False,False,104,312,351,338,eos,eos,eos,False,False,False,314,128,3,3,1572864,98304,4587520,ce8815a4aeb50dd1|7e87d7bf036cb771|9f29f8123bac1960,044be34cd8c137a4e3cf7f3d5dd37a93ed2e62fa|dbe38273c44c7c1c395eea747a9f0878a32fb504,
gsm8k,gsm8k,,63,,1.0,1.0,1.0,0.0,0.0,True,True,True,108,299,295,326,eos,eos,eos,False,False,False,306,128,3,3,1572864,98304,4587520,ce8815a4aeb50dd1|7e87d7bf036cb771|9f29f8123bac1960,044be34cd8c137a4e3cf7f3d5dd37a93ed2e62fa|dbe38273c44c7c1c395eea747a9f0878a32fb504,
gsm8k,gsm8k,,64,,1.0,1.0,0.0,-1.0,-1.0,True,True,False,132,207,242,395,eos,eos,eos,False,False,False,399,128,3,3,2097152,131072,4587520,ce8815a4aeb50dd1|7e87d7bf036cb771|9f29f8123bac1960,044be34cd8c137a4e3cf7f3d5dd37a93ed2e62fa|dbe38273c44c7c1c395eea747a9f0878a32fb504,
gsm8k,gsm8k,,65,,0.0,0.0,0.0,0.0,0.0,False,False,False,89,209,220,198,eos,eos,eos,False,False,False,159,128,2,2,1048576,65536,4456448,ce8815a4aeb50dd1|7e87d7bf036cb771|9f29f8123bac1960,044be34cd8c137a4e3cf7f3d5dd37a93ed2e62fa|dbe38273c44c7c1c395eea747a9f0878a32fb504,
gsm8k,gsm8k,,66,,1.0,0.0,1.0,1.0,0.0,True,False,True,100,170,246,138,eos,eos,eos,False,False,False,110,128,1,1,524288,32768,4325376,ce8815a4aeb50dd1|7e87d7bf036cb771|9f29f8123bac1960,044be34cd8c137a4e3cf7f3d5dd37a93ed2e62fa|dbe38273c44c7c1c395eea747a9f0878a32fb504,
gsm8k,gsm8k,,67,,1.0,1.0,1.0,0.0,0.0,True,True,True,93,170,181,171,eos,eos,eos,False,False,False,136,128,2,2,1048576,65536,4456448,ce8815a4aeb50dd1|7e87d7bf036cb771|9f29f8123bac1960,044be34cd8c137a4e3cf7f3d5dd37a93ed2e62fa|dbe38273c44c7c1c395eea747a9f0878a32fb504,
gsm8k,gsm8k,,68,,1.0,1.0,1.0,0.0,0.0,True,True,True,78,147,132,124,eos,eos,eos,False,False,False,74,128,1,1,524288,32768,4325376,ce8815a4aeb50dd1|7e87d7bf036cb771|9f29f8123bac1960,044be34cd8c137a4e3cf7f3d5dd37a93ed2e62fa|dbe38273c44c7c1c395eea747a9f0878a32fb504,
gsm8k,gsm8k,,69,,1.0,1.0,1.0,0.0,0.0,True,True,True,92,176,184,194,eos,eos,eos,False,False,False,158,128,2,2,1048576,65536,4456448,ce8815a4aeb50dd1|7e87d7bf036cb771|9f29f8123bac1960,044be34cd8c137a4e3cf7f3d5dd37a93ed2e62fa|dbe38273c44c7c1c395eea747a9f0878a32fb504,
gsm8k,gsm8k,,70,,1.0,0.0,1.0,1.0,0.0,True,False,True,92,223,248,241,eos,eos,eos,False,False,False,205,128,2,2,1048576,65536,4456448,ce8815a4aeb50dd1|7e87d7bf036cb771|9f29f8123bac1960,044be34cd8c137a4e3cf7f3d5dd37a93ed2e62fa|dbe38273c44c7c1c395eea747a9f0878a32fb504,
gsm8k,gsm8k,,71,,1.0,1.0,1.0,0.0,0.0,True,True,True,85,170,120,121,eos,eos,eos,False,False,False,78,128,1,1,524288,32768,4325376,ce8815a4aeb50dd1|7e87d7bf036cb771|9f29f8123bac1960,044be34cd8c137a4e3cf7f3d5dd37a93ed2e62fa|dbe38273c44c7c1c395eea747a9f0878a32fb504,
gsm8k,gsm8k,,72,,1.0,1.0,1.0,0.0,0.0,True,True,True,90,243,210,182,eos,eos,eos,False,False,False,144,128,2,2,1048576,65536,4456448,ce8815a4aeb50dd1|7e87d7bf036cb771|9f29f8123bac1960,044be34cd8c137a4e3cf7f3d5dd37a93ed2e62fa|dbe38273c44c7c1c395eea747a9f0878a32fb504,
gsm8k,gsm8k,,73,,0.0,0.0,0.0,0.0,0.0,False,False,False,85,254,275,273,eos,eos,eos,False,False,False,230,128,2,2,1048576,65536,4456448,ce8815a4aeb50dd1|7e87d7bf036cb771|9f29f8123bac1960,044be34cd8c137a4e3cf7f3d5dd37a93ed2e62fa|dbe38273c44c7c1c395eea747a9f0878a32fb504,
