hardware,layer,kv_head,true_positive,true_negative,false_positive,false_negative,total,candidate_count,accepted_count,positive_support,negative_support,micro_fpr,micro_fnr,precision_micro,recall_micro,acceptance_micro
v100,10,7,474,76,0,10,560,560,474,484,76,0.0,0.02066115702479339,1.0,0.9793388429752066,0.8464285714285714
v100,11,0,432,97,1,30,560,560,433,462,98,0.01020408163265306,0.06493506493506493,0.9976905311778291,0.935064935064935,0.7732142857142857
v100,11,1,409,102,0,49,560,560,409,458,102,0.0,0.10698689956331878,1.0,0.8930131004366813,0.7303571428571428
v100,11,2,457,85,1,17,560,560,458,474,86,0.011627906976744186,0.035864978902953586,0.9978165938864629,0.9641350210970464,0.8178571428571428
v100,11,3,404,93,17,46,560,560,421,450,110,0.15454545454545454,0.10222222222222223,0.9596199524940617,0.8977777777777778,0.7517857142857143
v100,11,4,476,24,1,59,560,560,477,535,25,0.04,0.1102803738317757,0.9979035639412998,0.8897196261682243,0.8517857142857143
v100,11,5,376,120,4,60,560,560,380,436,124,0.03225806451612903,0.13761467889908258,0.9894736842105263,0.8623853211009175,0.6785714285714286
v100,11,6,446,63,28,23,560,560,474,469,91,0.3076923076923077,0.04904051172707889,0.9409282700421941,0.9509594882729211,0.8464285714285714
v100,11,7,367,117,0,76,560,560,367,443,117,0.0,0.17155756207674944,1.0,0.8284424379232506,0.6553571428571429
v100,12,0,369,83,1,107,560,560,370,476,84,0.011904761904761904,0.22478991596638656,0.9972972972972973,0.7752100840336135,0.6607142857142857
v100,12,1,281,112,36,131,560,560,317,412,148,0.24324324324324326,0.3179611650485437,0.886435331230284,0.6820388349514563,0.5660714285714286
v100,12,2,372,69,1,118,560,560,373,490,70,0.014285714285714285,0.24081632653061225,0.9973190348525469,0.7591836734693878,0.6660714285714285
v100,12,3,480,66,1,13,560,560,481,493,67,0.014925373134328358,0.02636916835699797,0.997920997920998,0.973630831643002,0.8589285714285714
v100,12,4,448,87,1,24,560,560,449,472,88,0.011363636363636364,0.05084745762711865,0.9977728285077951,0.9491525423728814,0.8017857142857143
v100,12,5,318,143,2,97,560,560,320,415,145,0.013793103448275862,0.23373493975903614,0.99375,0.7662650602409639,0.5714285714285714
v100,12,6,361,64,1,134,560,560,362,495,65,0.015384615384615385,0.27070707070707073,0.9972375690607734,0.7292929292929293,0.6464285714285715
v100,12,7,442,88,0,30,560,560,442,472,88,0.0,0.0635593220338983,1.0,0.9364406779661016,0.7892857142857143
v100,13,0,455,47,0,58,560,560,455,513,47,0.0,0.11306042884990253,1.0,0.8869395711500975,0.8125
v100,13,1,352,127,2,79,560,560,354,431,129,0.015503875968992248,0.18329466357308585,0.9943502824858758,0.8167053364269141,0.6321428571428571
v100,13,2,425,50,1,84,560,560,426,509,51,0.0196078431372549,0.1650294695481336,0.9976525821596244,0.8349705304518664,0.7607142857142857
v100,13,3,320,125,2,113,560,560,322,433,127,0.015748031496062992,0.26096997690531176,0.9937888198757764,0.7390300230946882,0.575
v100,13,4,432,84,1,43,560,560,433,475,85,0.011764705882352941,0.09052631578947369,0.9976905311778291,0.9094736842105263,0.7732142857142857
v100,13,5,263,152,0,145,560,560,263,408,152,0.0,0.3553921568627451,1.0,0.6446078431372549,0.46964285714285714
v100,13,6,403,98,2,57,560,560,405,460,100,0.02,0.12391304347826088,0.9950617283950617,0.8760869565217392,0.7232142857142857
v100,13,7,421,96,0,43,560,560,421,464,96,0.0,0.09267241379310345,1.0,0.9073275862068966,0.7517857142857143
v100,14,0,318,126,7,109,560,560,325,427,133,0.05263157894736842,0.25526932084309134,0.9784615384615385,0.7447306791569087,0.5803571428571429
v100,14,1,296,138,9,117,560,560,305,413,147,0.061224489795918366,0.28329297820823246,0.9704918032786886,0.7167070217917676,0.5446428571428571
v100,14,2,467,79,0,14,560,560,467,481,79,0.0,0.029106029106029108,1.0,0.9708939708939709,0.8339285714285715
v100,14,3,333,94,30,103,560,560,363,436,124,0.24193548387096775,0.23623853211009174,0.9173553719008265,0.7637614678899083,0.6482142857142857
v100,14,4,452,84,3,21,560,560,455,473,87,0.034482758620689655,0.04439746300211417,0.9934065934065934,0.9556025369978859,0.8125
v100,14,5,423,98,1,38,560,560,424,461,99,0.010101010101010102,0.0824295010845987,0.9976415094339622,0.9175704989154013,0.7571428571428571
v100,14,6,411,101,2,46,560,560,413,457,103,0.019417475728155338,0.10065645514223195,0.9951573849878934,0.899343544857768,0.7375
v100,14,7,419,93,1,47,560,560,420,466,94,0.010638297872340425,0.10085836909871244,0.9976190476190476,0.8991416309012875,0.75
v100,15,0,380,101,1,78,560,560,381,458,102,0.00980392156862745,0.1703056768558952,0.9973753280839895,0.8296943231441049,0.6803571428571429
v100,15,1,470,37,0,53,560,560,470,523,37,0.0,0.10133843212237094,1.0,0.8986615678776291,0.8392857142857143
v100,15,2,325,130,0,105,560,560,325,430,130,0.0,0.2441860465116279,1.0,0.7558139534883721,0.5803571428571429
v100,15,3,259,163,0,138,560,560,259,397,163,0.0,0.34760705289672544,1.0,0.6523929471032746,0.4625
v100,15,4,355,117,0,88,560,560,355,443,117,0.0,0.1986455981941309,1.0,0.801354401805869,0.6339285714285714
v100,15,5,344,122,0,94,560,560,344,438,122,0.0,0.2146118721461187,1.0,0.7853881278538812,0.6142857142857143
v100,15,6,333,62,69,96,560,560,402,429,131,0.5267175572519084,0.22377622377622378,0.8283582089552238,0.7762237762237763,0.7178571428571429
v100,15,7,438,92,0,30,560,560,438,468,92,0.0,0.0641025641025641,1.0,0.9358974358974359,0.7821428571428571
v100,16,0,358,129,3,70,560,560,361,428,132,0.022727272727272728,0.16355140186915887,0.9916897506925207,0.8364485981308412,0.6446428571428572
v100,16,1,471,79,1,9,560,560,472,480,80,0.0125,0.01875,0.9978813559322034,0.98125,0.8428571428571429
v100,16,2,281,132,2,145,560,560,283,426,134,0.014925373134328358,0.3403755868544601,0.9929328621908127,0.6596244131455399,0.5053571428571428
v100,16,3,448,91,0,21,560,560,448,469,91,0.0,0.04477611940298507,1.0,0.9552238805970149,0.8
v100,16,4,394,103,1,62,560,560,395,456,104,0.009615384615384616,0.13596491228070176,0.9974683544303797,0.8640350877192983,0.7053571428571429
v100,16,5,391,107,1,61,560,560,392,452,108,0.009259259259259259,0.13495575221238937,0.9974489795918368,0.8650442477876106,0.7
v100,16,6,368,122,2,68,560,560,370,436,124,0.016129032258064516,0.1559633027522936,0.9945945945945946,0.8440366972477065,0.6607142857142857
v100,16,7,458,83,0,19,560,560,458,477,83,0.0,0.039832285115303984,1.0,0.960167714884696,0.8178571428571428
v100,17,0,371,119,1,69,560,560,372,440,120,0.008333333333333333,0.15681818181818183,0.9973118279569892,0.8431818181818181,0.6642857142857143
v100,17,1,378,110,1,71,560,560,379,449,111,0.009009009009009009,0.15812917594654788,0.9973614775725593,0.8418708240534521,0.6767857142857143
v100,17,2,413,96,0,51,560,560,413,464,96,0.0,0.10991379310344827,1.0,0.8900862068965517,0.7375
v100,17,3,450,83,1,26,560,560,451,476,84,0.011904761904761904,0.0546218487394958,0.9977827050997783,0.9453781512605042,0.8053571428571429
v100,17,4,346,120,1,93,560,560,347,439,121,0.008264462809917356,0.21184510250569477,0.9971181556195965,0.7881548974943052,0.6196428571428572
v100,17,5,297,138,0,125,560,560,297,422,138,0.0,0.2962085308056872,1.0,0.7037914691943128,0.5303571428571429
v100,17,6,314,138,1,107,560,560,315,421,139,0.007194244604316547,0.25415676959619954,0.9968253968253968,0.7458432304038005,0.5625
v100,17,7,324,145,0,91,560,560,324,415,145,0.0,0.21927710843373494,1.0,0.7807228915662651,0.5785714285714286
v100,18,0,409,99,1,51,560,560,410,460,100,0.01,0.1108695652173913,0.9975609756097561,0.8891304347826087,0.7321428571428571
v100,18,1,392,100,0,68,560,560,392,460,100,0.0,0.14782608695652175,1.0,0.8521739130434782,0.7
v100,18,2,429,103,0,28,560,560,429,457,103,0.0,0.061269146608315096,1.0,0.9387308533916849,0.7660714285714286
v100,18,3,445,92,1,22,560,560,446,467,93,0.010752688172043012,0.047109207708779445,0.9977578475336323,0.9528907922912205,0.7964285714285714
v100,18,4,276,146,0,138,560,560,276,414,146,0.0,0.3333333333333333,1.0,0.6666666666666666,0.4928571428571429
v100,18,5,353,124,0,83,560,560,353,436,124,0.0,0.19036697247706422,1.0,0.8096330275229358,0.6303571428571428
v100,18,6,388,114,2,56,560,560,390,444,116,0.017241379310344827,0.12612612612612611,0.9948717948717949,0.8738738738738738,0.6964285714285714
v100,18,7,361,126,0,73,560,560,361,434,126,0.0,0.16820276497695852,1.0,0.8317972350230415,0.6446428571428572
v100,19,0,414,95,0,51,560,560,414,465,95,0.0,0.10967741935483871,1.0,0.8903225806451613,0.7392857142857143
v100,19,1,382,109,1,68,560,560,383,450,110,0.00909090909090909,0.1511111111111111,0.9973890339425587,0.8488888888888889,0.6839285714285714
v100,19,2,417,105,1,37,560,560,418,454,106,0.009433962264150943,0.08149779735682819,0.9976076555023924,0.9185022026431718,0.7464285714285714
v100,19,3,348,127,4,81,560,560,352,429,131,0.030534351145038167,0.1888111888111888,0.9886363636363636,0.8111888111888111,0.6285714285714286
v100,19,4,361,113,0,86,560,560,361,447,113,0.0,0.19239373601789708,1.0,0.8076062639821029,0.6446428571428572
v100,19,5,345,119,1,95,560,560,346,440,120,0.008333333333333333,0.2159090909090909,0.9971098265895953,0.7840909090909091,0.6178571428571429
v100,19,6,266,156,2,136,560,560,268,402,158,0.012658227848101266,0.3383084577114428,0.9925373134328358,0.6616915422885572,0.4785714285714286
v100,19,7,484,71,0,5,560,560,484,489,71,0.0,0.010224948875255624,1.0,0.9897750511247444,0.8642857142857143
v100,2,0,302,149,0,109,560,560,302,411,149,0.0,0.26520681265206814,1.0,0.7347931873479319,0.5392857142857143
v100,2,1,437,97,0,26,560,560,437,463,97,0.0,0.056155507559395246,1.0,0.9438444924406048,0.7803571428571429
v100,2,2,368,122,0,70,560,560,368,438,122,0.0,0.1598173515981735,1.0,0.8401826484018264,0.6571428571428571
v100,2,3,488,71,0,1,560,560,488,489,71,0.0,0.002044989775051125,1.0,0.9979550102249489,0.8714285714285714
v100,2,4,363,126,0,71,560,560,363,434,126,0.0,0.16359447004608296,1.0,0.836405529953917,0.6482142857142857
v100,2,5,490,70,0,0,560,560,490,490,70,0.0,0.0,1.0,1.0,0.875
v100,2,6,489,70,1,0,560,560,490,489,71,0.014084507042253521,0.0,0.9979591836734694,1.0,0.875
v100,2,7,440,90,0,30,560,560,440,470,90,0.0,0.06382978723404255,1.0,0.9361702127659575,0.7857142857142857
v100,20,0,308,146,0,106,560,560,308,414,146,0.0,0.2560386473429952,1.0,0.7439613526570048,0.55
v100,20,1,330,133,0,97,560,560,330,427,133,0.0,0.22716627634660422,1.0,0.7728337236533958,0.5892857142857143
v100,20,2,407,93,0,60,560,560,407,467,93,0.0,0.1284796573875803,1.0,0.8715203426124197,0.7267857142857143
v100,20,3,386,111,1,62,560,560,387,448,112,0.008928571428571428,0.13839285714285715,0.9974160206718347,0.8616071428571429,0.6910714285714286
v100,20,4,472,75,1,12,560,560,473,484,76,0.013157894736842105,0.024793388429752067,0.9978858350951374,0.9752066115702479,0.8446428571428571
v100,20,5,358,118,0,84,560,560,358,442,118,0.0,0.19004524886877827,1.0,0.8099547511312217,0.6392857142857142
v100,20,6,399,107,1,53,560,560,400,452,108,0.009259259259259259,0.1172566371681416,0.9975,0.8827433628318584,0.7142857142857143
v100,20,7,354,106,0,100,560,560,354,454,106,0.0,0.22026431718061673,1.0,0.7797356828193832,0.6321428571428571
v100,21,0,352,125,0,83,560,560,352,435,125,0.0,0.19080459770114944,1.0,0.8091954022988506,0.6285714285714286
v100,21,1,489,70,0,1,560,560,489,490,70,0.0,0.0020408163265306124,1.0,0.9979591836734694,0.8732142857142857
v100,21,2,476,76,0,8,560,560,476,484,76,0.0,0.01652892561983471,1.0,0.9834710743801653,0.85
v100,21,3,349,123,0,88,560,560,349,437,123,0.0,0.20137299771167047,1.0,0.7986270022883295,0.6232142857142857
v100,21,4,475,75,0,10,560,560,475,485,75,0.0,0.020618556701030927,1.0,0.979381443298969,0.8482142857142857
v100,21,5,291,145,2,122,560,560,293,413,147,0.013605442176870748,0.29539951573849876,0.9931740614334471,0.7046004842615012,0.5232142857142857
v100,21,6,250,165,0,145,560,560,250,395,165,0.0,0.3670886075949367,1.0,0.6329113924050633,0.44642857142857145
v100,21,7,294,154,1,111,560,560,295,405,155,0.0064516129032258064,0.2740740740740741,0.9966101694915255,0.725925925925926,0.5267857142857143
v100,22,0,209,199,0,152,560,560,209,361,199,0.0,0.42105263157894735,1.0,0.5789473684210527,0.3732142857142857
v100,22,1,453,76,1,30,560,560,454,483,77,0.012987012987012988,0.062111801242236024,0.9977973568281938,0.937888198757764,0.8107142857142857
v100,22,2,328,136,2,94,560,560,330,422,138,0.014492753623188406,0.22274881516587677,0.9939393939393939,0.7772511848341233,0.5892857142857143
v100,22,3,333,134,4,89,560,560,337,422,138,0.028985507246376812,0.2109004739336493,0.9881305637982196,0.7890995260663507,0.6017857142857143
v100,22,4,383,111,0,66,560,560,383,449,111,0.0,0.14699331848552338,1.0,0.8530066815144766,0.6839285714285714
v100,22,5,388,103,2,67,560,560,390,455,105,0.01904761904761905,0.14725274725274726,0.9948717948717949,0.8527472527472527,0.6964285714285714
v100,22,6,328,141,2,89,560,560,330,417,143,0.013986013986013986,0.21342925659472423,0.9939393939393939,0.7865707434052758,0.5892857142857143
v100,22,7,224,173,1,162,560,560,225,386,174,0.005747126436781609,0.41968911917098445,0.9955555555555555,0.5803108808290155,0.4017857142857143
v100,23,0,458,81,0,21,560,560,458,479,81,0.0,0.04384133611691023,1.0,0.9561586638830898,0.8178571428571428
v100,23,1,359,116,1,84,560,560,360,443,117,0.008547008547008548,0.18961625282167044,0.9972222222222222,0.8103837471783296,0.6428571428571429
v100,23,2,431,97,1,31,560,560,432,462,98,0.01020408163265306,0.0670995670995671,0.9976851851851852,0.9329004329004329,0.7714285714285715
v100,23,3,269,163,1,127,560,560,270,396,164,0.006097560975609756,0.3207070707070707,0.9962962962962963,0.6792929292929293,0.48214285714285715
v100,23,4,367,114,0,79,560,560,367,446,114,0.0,0.17713004484304934,1.0,0.8228699551569507,0.6553571428571429
v100,23,5,207,191,1,161,560,560,208,368,192,0.005208333333333333,0.4375,0.9951923076923077,0.5625,0.37142857142857144
v100,23,6,278,151,1,130,560,560,279,408,152,0.006578947368421052,0.31862745098039214,0.996415770609319,0.6813725490196079,0.4982142857142857
v100,23,7,468,79,0,13,560,560,468,481,79,0.0,0.02702702702702703,1.0,0.972972972972973,0.8357142857142857
v100,24,0,398,100,0,62,560,560,398,460,100,0.0,0.13478260869565217,1.0,0.8652173913043478,0.7107142857142857
v100,24,1,383,109,2,66,560,560,385,449,111,0.018018018018018018,0.14699331848552338,0.9948051948051948,0.8530066815144766,0.6875
v100,24,2,380,103,0,77,560,560,380,457,103,0.0,0.16849015317286653,1.0,0.8315098468271335,0.6785714285714286
v100,24,3,440,86,0,34,560,560,440,474,86,0.0,0.07172995780590717,1.0,0.9282700421940928,0.7857142857142857
v100,24,4,215,180,0,165,560,560,215,380,180,0.0,0.4342105263157895,1.0,0.5657894736842105,0.38392857142857145
v100,24,5,252,162,0,146,560,560,252,398,162,0.0,0.36683417085427134,1.0,0.6331658291457286,0.45
v100,24,6,405,110,3,42,560,560,408,447,113,0.02654867256637168,0.09395973154362416,0.9926470588235294,0.9060402684563759,0.7285714285714285
v100,24,7,471,79,0,10,560,560,471,481,79,0.0,0.02079002079002079,1.0,0.9792099792099792,0.8410714285714286
v100,25,0,412,96,4,48,560,560,416,460,100,0.04,0.10434782608695652,0.9903846153846154,0.8956521739130435,0.7428571428571429
v100,25,1,231,175,2,152,560,560,233,383,177,0.011299435028248588,0.3968668407310705,0.9914163090128756,0.6031331592689295,0.4160714285714286
v100,25,2,422,97,0,41,560,560,422,463,97,0.0,0.08855291576673865,1.0,0.9114470842332614,0.7535714285714286
v100,25,3,285,158,2,115,560,560,287,400,160,0.0125,0.2875,0.9930313588850174,0.7125,0.5125
v100,25,4,390,107,0,63,560,560,390,453,107,0.0,0.1390728476821192,1.0,0.8609271523178808,0.6964285714285714
v100,25,5,490,70,0,0,560,560,490,490,70,0.0,0.0,1.0,1.0,0.875
v100,25,6,400,109,0,51,560,560,400,451,109,0.0,0.1130820399113082,1.0,0.8869179600886918,0.7142857142857143
v100,25,7,424,100,0,36,560,560,424,460,100,0.0,0.0782608695652174,1.0,0.9217391304347826,0.7571428571428571
v100,26,0,482,75,0,3,560,560,482,485,75,0.0,0.006185567010309278,1.0,0.9938144329896907,0.8607142857142858
v100,26,1,398,98,0,64,560,560,398,462,98,0.0,0.13852813852813853,1.0,0.8614718614718615,0.7107142857142857
v100,26,2,447,82,2,29,560,560,449,476,84,0.023809523809523808,0.06092436974789916,0.9955456570155902,0.9390756302521008,0.8017857142857143
v100,26,3,378,111,1,70,560,560,379,448,112,0.008928571428571428,0.15625,0.9973614775725593,0.84375,0.6767857142857143
v100,26,4,383,115,1,61,560,560,384,444,116,0.008620689655172414,0.1373873873873874,0.9973958333333334,0.8626126126126126,0.6857142857142857
v100,26,5,342,136,0,82,560,560,342,424,136,0.0,0.19339622641509435,1.0,0.8066037735849056,0.6107142857142858
v100,26,6,328,129,1,102,560,560,329,430,130,0.007692307692307693,0.2372093023255814,0.9969604863221885,0.7627906976744186,0.5875
v100,26,7,231,186,0,143,560,560,231,374,186,0.0,0.38235294117647056,1.0,0.6176470588235294,0.4125
v100,27,0,273,151,2,134,560,560,275,407,153,0.013071895424836602,0.32923832923832924,0.9927272727272727,0.6707616707616708,0.49107142857142855
v100,27,1,276,168,0,116,560,560,276,392,168,0.0,0.29591836734693877,1.0,0.7040816326530612,0.4928571428571429
v100,27,2,418,95,0,47,560,560,418,465,95,0.0,0.1010752688172043,1.0,0.8989247311827957,0.7464285714285714
v100,27,3,460,75,2,23,560,560,462,483,77,0.025974025974025976,0.047619047619047616,0.9956709956709957,0.9523809523809523,0.825
v100,27,4,402,115,2,41,560,560,404,443,117,0.017094017094017096,0.09255079006772009,0.995049504950495,0.90744920993228,0.7214285714285714
v100,27,5,231,176,1,152,560,560,232,383,177,0.005649717514124294,0.3968668407310705,0.9956896551724138,0.6031331592689295,0.4142857142857143
v100,27,6,397,115,0,48,560,560,397,445,115,0.0,0.10786516853932585,1.0,0.8921348314606742,0.7089285714285715
v100,27,7,485,71,0,4,560,560,485,489,71,0.0,0.0081799591002045,1.0,0.9918200408997955,0.8660714285714286
v100,28,0,323,139,1,97,560,560,324,420,140,0.007142857142857143,0.23095238095238096,0.9969135802469136,0.7690476190476191,0.5785714285714286
v100,28,1,425,91,2,42,560,560,427,467,93,0.021505376344086023,0.08993576017130621,0.9953161592505855,0.9100642398286938,0.7625
v100,28,2,382,115,1,62,560,560,383,444,116,0.008620689655172414,0.13963963963963963,0.9973890339425587,0.8603603603603603,0.6839285714285714
v100,28,3,340,112,1,107,560,560,341,447,113,0.008849557522123894,0.23937360178970918,0.9970674486803519,0.7606263982102909,0.6089285714285714
v100,28,4,349,108,1,102,560,560,350,451,109,0.009174311926605505,0.2261640798226164,0.9971428571428571,0.7738359201773836,0.625
v100,28,5,328,133,2,97,560,560,330,425,135,0.014814814814814815,0.22823529411764706,0.9939393939393939,0.7717647058823529,0.5892857142857143
v100,28,6,412,91,0,57,560,560,412,469,91,0.0,0.12153518123667377,1.0,0.8784648187633263,0.7357142857142858
v100,28,7,358,113,1,88,560,560,359,446,114,0.008771929824561403,0.19730941704035873,0.9972144846796658,0.8026905829596412,0.6410714285714286
v100,29,0,340,135,1,84,560,560,341,424,136,0.007352941176470588,0.19811320754716982,0.9970674486803519,0.8018867924528302,0.6089285714285714
v100,29,1,387,106,1,66,560,560,388,453,107,0.009345794392523364,0.1456953642384106,0.9974226804123711,0.8543046357615894,0.6928571428571428
v100,29,2,334,133,1,92,560,560,335,426,134,0.007462686567164179,0.215962441314554,0.9970149253731343,0.784037558685446,0.5982142857142857
v100,29,3,408,105,0,47,560,560,408,455,105,0.0,0.10329670329670329,1.0,0.8967032967032967,0.7285714285714285
v100,29,4,471,79,0,10,560,560,471,481,79,0.0,0.02079002079002079,1.0,0.9792099792099792,0.8410714285714286
v100,29,5,393,104,1,62,560,560,394,455,105,0.009523809523809525,0.13626373626373625,0.9974619289340102,0.8637362637362638,0.7035714285714286
v100,29,6,490,70,0,0,560,560,490,490,70,0.0,0.0,1.0,1.0,0.875
v100,29,7,427,101,0,32,560,560,427,459,101,0.0,0.06971677559912855,1.0,0.9302832244008714,0.7625
v100,3,0,281,163,0,116,560,560,281,397,163,0.0,0.29219143576826195,1.0,0.707808564231738,0.5017857142857143
v100,3,1,485,71,0,4,560,560,485,489,71,0.0,0.0081799591002045,1.0,0.9918200408997955,0.8660714285714286
v100,3,2,357,112,2,89,560,560,359,446,114,0.017543859649122806,0.19955156950672645,0.9944289693593314,0.8004484304932735,0.6410714285714286
v100,3,3,291,136,0,133,560,560,291,424,136,0.0,0.3136792452830189,1.0,0.6863207547169812,0.5196428571428572
v100,3,4,483,72,0,5,560,560,483,488,72,0.0,0.010245901639344262,1.0,0.9897540983606558,0.8625
v100,3,5,263,162,1,134,560,560,264,397,163,0.006134969325153374,0.33753148614609574,0.9962121212121212,0.6624685138539043,0.4714285714285714
v100,3,6,241,172,0,147,560,560,241,388,172,0.0,0.3788659793814433,1.0,0.6211340206185567,0.4303571428571429
v100,3,7,391,108,3,58,560,560,394,449,111,0.02702702702702703,0.1291759465478842,0.9923857868020305,0.8708240534521158,0.7035714285714286
v100,30,0,278,139,0,143,560,560,278,421,139,0.0,0.33966745843230406,1.0,0.6603325415676959,0.49642857142857144
v100,30,1,450,84,0,26,560,560,450,476,84,0.0,0.0546218487394958,1.0,0.9453781512605042,0.8035714285714286
v100,30,2,404,101,1,54,560,560,405,458,102,0.00980392156862745,0.11790393013100436,0.9975308641975309,0.8820960698689956,0.7232142857142857
v100,30,3,273,165,1,121,560,560,274,394,166,0.006024096385542169,0.30710659898477155,0.9963503649635036,0.6928934010152284,0.48928571428571427
v100,30,4,438,92,0,30,560,560,438,468,92,0.0,0.0641025641025641,1.0,0.9358974358974359,0.7821428571428571
v100,30,5,410,106,2,42,560,560,412,452,108,0.018518518518518517,0.09292035398230089,0.9951456310679612,0.9070796460176991,0.7357142857142858
v100,30,6,323,129,2,106,560,560,325,429,131,0.015267175572519083,0.24708624708624707,0.9938461538461538,0.752913752913753,0.5803571428571429
v100,30,7,249,165,2,144,560,560,251,393,167,0.011976047904191617,0.366412213740458,0.9920318725099602,0.6335877862595419,0.44821428571428573
v100,31,0,381,112,0,67,560,560,381,448,112,0.0,0.14955357142857142,1.0,0.8504464285714286,0.6803571428571429
v100,31,1,481,74,1,4,560,560,482,485,75,0.013333333333333334,0.008247422680412371,0.9979253112033195,0.9917525773195877,0.8607142857142858
v100,31,2,458,81,0,21,560,560,458,479,81,0.0,0.04384133611691023,1.0,0.9561586638830898,0.8178571428571428
v100,31,3,492,68,0,0,560,560,492,492,68,0.0,0.0,1.0,1.0,0.8785714285714286
v100,31,4,402,102,1,55,560,560,403,457,103,0.009708737864077669,0.12035010940919037,0.9975186104218362,0.8796498905908097,0.7196428571428571
v100,31,5,341,119,2,98,560,560,343,439,121,0.01652892561983471,0.22323462414578588,0.9941690962099126,0.7767653758542141,0.6125
v100,31,6,443,85,0,32,560,560,443,475,85,0.0,0.06736842105263158,1.0,0.9326315789473684,0.7910714285714285
v100,31,7,326,143,3,88,560,560,329,414,146,0.02054794520547945,0.21256038647342995,0.9908814589665653,0.7874396135265701,0.5875
v100,4,0,353,135,0,72,560,560,353,425,135,0.0,0.16941176470588235,1.0,0.8305882352941176,0.6303571428571428
v100,4,1,312,147,1,100,560,560,313,412,148,0.006756756756756757,0.24271844660194175,0.9968051118210862,0.7572815533980582,0.5589285714285714
v100,4,2,478,72,0,10,560,560,478,488,72,0.0,0.020491803278688523,1.0,0.9795081967213115,0.8535714285714285
v100,4,3,478,76,0,6,560,560,478,484,76,0.0,0.012396694214876033,1.0,0.987603305785124,0.8535714285714285
v100,4,4,455,78,1,26,560,560,456,481,79,0.012658227848101266,0.05405405405405406,0.9978070175438597,0.9459459459459459,0.8142857142857143
v100,4,5,294,147,0,119,560,560,294,413,147,0.0,0.288135593220339,1.0,0.711864406779661,0.525
v100,4,6,459,83,1,17,560,560,460,476,84,0.011904761904761904,0.03571428571428571,0.9978260869565218,0.9642857142857143,0.8214285714285714
v100,4,7,310,137,1,112,560,560,311,422,138,0.007246376811594203,0.26540284360189575,0.9967845659163987,0.7345971563981043,0.5553571428571429
