comparison,task_key,event,left_stop,right_stop,left_generated_tokens,right_generated_tokens,left_correct,right_correct
Pattern K2V2 -> K4V2,aime24:p15:s0:seed15042,NO_CHANGE,eos,eos,7401,16103,True,False
Pattern K2V2 -> K4V2,aime24:p17:s0:seed17042,NO_CHANGE,eos,eos,15262,11770,False,False
Pattern K2V2 -> K2V4,aime24:p12:s0:seed12042,NO_CHANGE,eos,eos,8781,14680,True,False
Pattern K2V2 -> K2V4,aime24:p14:s0:seed14042,NO_CHANGE,eos,eos,23163,18565,False,False
Pattern K2V2 -> K2V4,aime24:p15:s1:seed15043,NO_CHANGE,eos,eos,10492,13729,False,False
Pattern K2V2 -> K2V4,aime24:p16:s0:seed16042,NO_CHANGE,eos,eos,5574,18499,True,False
Pattern K2V2 -> K2V4,aime24:p11:s0:seed11042,NO_CHANGE,eos,eos,6059,6586,True,True
Pattern K2V2 -> K2V4,aime24:p12:s1:seed12043,NO_CHANGE,eos,eos,6798,5078,True,True
Pattern K2V2 -> K2V4,aime24:p6:s0:seed6042,NO_CHANGE,eos,eos,15674,15472,False,False
Pattern K2V2 -> K2V4,aime24:p6:s1:seed6043,NO_CHANGE,eos,eos,9772,12609,True,False
Pattern K2V2 -> K2V4,aime24:p0:s0:seed42,NO_CHANGE,eos,eos,3248,5462,True,True
Pattern K2V2 -> K2V4,aime24:p11:s1:seed11043,RESCUED_FROM_LENGTH_STOP,length,eos,32768,4978,False,True
Pattern K2V2 -> K2V4,aime24:p15:s0:seed15042,NO_CHANGE,eos,eos,7401,13791,True,False
Pattern K2V2 -> K2V4,aime24:p17:s0:seed17042,NO_CHANGE,eos,eos,15262,13050,False,False
