config,task_key,generated_tokens,initial_k_centroid_mean,final_k_centroid_mean,initial_v_centroid_mean,final_v_centroid_mean,k_centroid_updates_total,v_centroid_updates_total,centroid_updates_per_generated_token,packed_k_tokens_mean,packed_v_tokens_mean,k_assignment_tokens_mean,v_assignment_tokens_mean,v_pattern_selected_total,v_pattern_rejected_total,v_pattern_selected_rate
pattern_legacy_chunked_k2v2_r128,aime24:p16:s0:seed16042,32768,32.0,288.0,32.0,288.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,
pattern_legacy_chunked_k2v2_r128,aime24:p17:s0:seed17042,18616,32.0,178.0,32.0,178.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,
pattern_rolling_k2v2_s0_r128,aime24:p0:s0:seed42,3248,32.0,57.0,32.0,57.0,800,800,0.49261083743842365,3200.0,3200.0,3200.0,3200.0,570383,248817,0.696268310546875
pattern_rolling_k2v2_s0_r128,aime24:p6:s0:seed6042,15674,32.0,154.0,32.0,154.0,3904,3904,0.49814980222023736,15616.0,15616.0,15616.0,15616.0,2919082,1078614,0.7301910900678791
pattern_rolling_k2v2_s0_r128,aime24:p6:s1:seed6043,9772,32.0,108.0,32.0,108.0,2432,2432,0.49774866966844045,9728.0,9728.0,9728.0,9728.0,1753568,736800,0.7041401110197368
pattern_rolling_k2v2_s0_r128,aime24:p11:s0:seed11042,6059,32.0,78.0,32.0,78.0,1472,1472,0.48588876052153823,5888.0,5888.0,5888.0,5888.0,1054234,453094,0.6994058360224185
pattern_rolling_k2v2_s0_r128,aime24:p11:s1:seed11043,32768,32.0,287.0,32.0,287.0,8160,8160,0.498046875,32640.0,32640.0,32640.0,32640.0,6873375,1482465,0.8225833668428308
pattern_rolling_k2v2_s0_r128,aime24:p12:s0:seed12042,8781,32.0,100.0,32.0,100.0,2176,2176,0.4956155335383214,8704.0,8704.0,8704.0,8704.0,1557271,670953,0.6988844030043658
pattern_rolling_k2v2_s0_r128,aime24:p12:s1:seed12043,6798,32.0,84.0,32.0,84.0,1664,1664,0.48955575169167403,6656.0,6656.0,6656.0,6656.0,1176107,527829,0.6902295626126803
pattern_rolling_k2v2_s0_r128,aime24:p14:s0:seed14042,23163,32.0,212.0,32.0,212.0,5760,5760,0.49734490350990807,23040.0,23040.0,23040.0,23040.0,4596324,1301916,0.7792704264322917
pattern_rolling_k2v2_s0_r128,aime24:p15:s0:seed15042,7401,32.0,89.0,32.0,89.0,1824,1824,0.4929063640048642,7296.0,7296.0,7296.0,7296.0,1368089,499687,0.7324695252535636
pattern_rolling_k2v2_s0_r128,aime24:p15:s1:seed15043,10492,32.0,113.0,32.0,113.0,2592,2592,0.4940907357987038,10368.0,10368.0,10368.0,10368.0,1995416,658792,0.7517933786651234
pattern_rolling_k2v2_s0_r128,aime24:p16:s0:seed16042,5574,32.0,75.0,32.0,75.0,1376,1376,0.4937208467886616,5504.0,5504.0,5504.0,5504.0,941950,467074,0.6685123887172965
pattern_rolling_k2v2_s0_r128,aime24:p17:s0:seed17042,15262,32.0,151.0,32.0,151.0,3808,3808,0.4990171668195518,15232.0,15232.0,15232.0,15232.0,2945753,953639,0.7554390530626313
pattern_rolling_k2v2_s64_r256,aime24:p0:s0:seed42,3163,32.0,55.0,32.0,55.0,736,736,0.4653809674359785,2944.0,2944.0,2944.0,2944.0,510937,242727,0.6779373832370924
pattern_rolling_k2v2_s64_r256,aime24:p6:s0:seed6042,6262,32.0,79.0,32.0,79.0,1504,1504,0.4803577131906739,6016.0,6016.0,6016.0,6016.0,997293,542803,0.647552490234375
pattern_rolling_k2v2_s64_r256,aime24:p6:s1:seed6043,18079,32.0,171.0,32.0,171.0,4448,4448,0.4920626140826373,17792.0,17792.0,17792.0,17792.0,3289250,1265502,0.722157869407599
pattern_rolling_k2v2_s64_r256,aime24:p11:s0:seed11042,5579,32.0,73.0,32.0,73.0,1312,1312,0.4703351855171178,5248.0,5248.0,5248.0,5248.0,877072,466416,0.65283203125
pattern_rolling_k2v2_s64_r256,aime24:p11:s1:seed11043,5184,32.0,70.0,32.0,70.0,1216,1216,0.4691358024691358,4864.0,4864.0,4864.0,4864.0,818904,426280,0.6576570209703947
pattern_rolling_k2v2_s64_r256,aime24:p12:s0:seed12042,8789,32.0,98.0,32.0,98.0,2112,2112,0.4806007509386733,8448.0,8448.0,8448.0,8448.0,1458268,704420,0.6742849638967803
pattern_rolling_k2v2_s64_r256,aime24:p12:s1:seed12043,5593,32.0,73.0,32.0,73.0,1312,1312,0.46915787591632396,5248.0,5248.0,5248.0,5248.0,866644,476844,0.645070145769817
pattern_rolling_k2v2_s64_r256,aime24:p14:s0:seed14042,9199,32.0,102.0,32.0,102.0,2240,2240,0.4870094575497337,8960.0,8960.0,8960.0,8960.0,1586169,707591,0.6915148053850446
pattern_rolling_k2v2_s64_r256,aime24:p15:s0:seed15042,16142,32.0,156.0,32.0,156.0,3968,3968,0.4916367240738446,15872.0,15872.0,15872.0,15872.0,3065744,997488,0.7545087260584677
pattern_rolling_k2v2_s64_r256,aime24:p15:s1:seed15043,20151,32.0,187.0,32.0,187.0,4960,4960,0.4922832613766066,19840.0,19840.0,19840.0,19840.0,3890578,1188462,0.766006568170363
pattern_rolling_k2v2_s64_r256,aime24:p16:s0:seed16042,8875,32.0,99.0,32.0,99.0,2144,2144,0.4831549295774648,8576.0,8576.0,8576.0,8576.0,1468351,727105,0.6688136769764459
pattern_rolling_k2v2_s64_r256,aime24:p17:s0:seed17042,7924,32.0,92.0,32.0,92.0,1920,1920,0.4846037354871277,7680.0,7680.0,7680.0,7680.0,1355212,610868,0.6892964680989583
pattern_rolling_k4v2_s0_r128,aime24:p0:s0:seed42,2704,32.0,53.0,32.0,53.0,672,672,0.4970414201183432,2688.0,2688.0,2688.0,2688.0,466115,222013,0.6773667108444941
pattern_rolling_k4v2_s0_r128,aime24:p6:s0:seed6042,6222,32.0,80.0,32.0,80.0,1536,1536,0.49373191899710706,6144.0,6144.0,6144.0,6144.0,1043550,529314,0.6634712219238281
pattern_rolling_k4v2_s0_r128,aime24:p6:s1:seed6043,13906,32.0,140.0,32.0,140.0,3456,3456,0.4970516323888969,13824.0,13824.0,13824.0,13824.0,2550845,988099,0.7207926997432003
pattern_rolling_k4v2_s0_r128,aime24:p11:s0:seed11042,6207,32.0,80.0,32.0,80.0,1536,1536,0.49492508458192364,6144.0,6144.0,6144.0,6144.0,1072750,500114,0.6820360819498698
pattern_rolling_k4v2_s0_r128,aime24:p11:s1:seed11043,4475,32.0,66.0,32.0,66.0,1088,1088,0.4862569832402235,4352.0,4352.0,4352.0,4352.0,741600,372512,0.6656422334558824
pattern_rolling_k4v2_s0_r128,aime24:p12:s0:seed12042,4030,32.0,62.0,32.0,62.0,960,960,0.47642679900744417,3840.0,3840.0,3840.0,3840.0,630861,352179,0.6417449951171875
pattern_rolling_k4v2_s0_r128,aime24:p12:s1:seed12043,4042,32.0,63.0,32.0,63.0,992,992,0.49084611578426524,3968.0,3968.0,3968.0,3968.0,657355,358453,0.647125244140625
pattern_rolling_k4v2_s0_r128,aime24:p14:s0:seed14042,10672,32.0,115.0,32.0,115.0,2656,2656,0.49775112443778113,10624.0,10624.0,10624.0,10624.0,1960608,759136,0.7208796121987951
pattern_rolling_k4v2_s0_r128,aime24:p15:s0:seed15042,16103,32.0,157.0,32.0,157.0,4000,4000,0.49680183816680124,16000.0,16000.0,16000.0,16000.0,3123857,972143,0.762660400390625
pattern_rolling_k4v2_s0_r128,aime24:p15:s1:seed15043,5438,32.0,74.0,32.0,74.0,1344,1344,0.4942993747701361,5376.0,5376.0,5376.0,5376.0,960025,416231,0.6975628080822173
pattern_rolling_k4v2_s0_r128,aime24:p16:s0:seed16042,16298,32.0,158.0,32.0,158.0,4032,4032,0.49478463615167506,16128.0,16128.0,16128.0,16128.0,2968608,1160160,0.7190057663690477
pattern_rolling_k4v2_s0_r128,aime24:p17:s0:seed17042,11770,32.0,123.0,32.0,123.0,2912,2912,0.4948173322005098,11648.0,11648.0,11648.0,11648.0,2140763,841125,0.7179220010946085
pattern_rolling_k2v4_s0_r128,aime24:p0:s0:seed42,5462,32.0,74.0,32.0,74.0,1344,1344,0.4921274258513365,5376.0,5376.0,5376.0,5376.0,941320,434936,0.6839715866815477
pattern_rolling_k2v4_s0_r128,aime24:p6:s0:seed6042,15472,32.0,152.0,32.0,152.0,3840,3840,0.4963805584281282,15360.0,15360.0,15360.0,15360.0,2843726,1088434,0.7231969197591146
pattern_rolling_k2v4_s0_r128,aime24:p6:s1:seed6043,12609,32.0,130.0,32.0,130.0,3136,3136,0.49742247600919975,12544.0,12544.0,12544.0,12544.0,2273043,938221,0.707834360550861
pattern_rolling_k2v4_s0_r128,aime24:p11:s0:seed11042,6586,32.0,83.0,32.0,83.0,1632,1632,0.4955967203158214,6528.0,6528.0,6528.0,6528.0,1158986,512182,0.6935185451133579
pattern_rolling_k2v4_s0_r128,aime24:p11:s1:seed11043,4978,32.0,70.0,32.0,70.0,1216,1216,0.48854961832061067,4864.0,4864.0,4864.0,4864.0,845344,399840,0.6788908305921053
pattern_rolling_k2v4_s0_r128,aime24:p12:s0:seed12042,14680,32.0,146.0,32.0,146.0,3648,3648,0.49700272479564034,14592.0,14592.0,14592.0,14592.0,2687152,1048400,0.7193453604714912
pattern_rolling_k2v4_s0_r128,aime24:p12:s1:seed12043,5078,32.0,71.0,32.0,71.0,1248,1248,0.4915320992516739,4992.0,4992.0,4992.0,4992.0,838032,439920,0.65576171875
pattern_rolling_k2v4_s0_r128,aime24:p14:s0:seed14042,18565,32.0,176.0,32.0,176.0,4608,4608,0.4964179908429841,18432.0,18432.0,18432.0,18432.0,3515897,1202695,0.745115704006619
pattern_rolling_k2v4_s0_r128,aime24:p15:s0:seed15042,13791,32.0,139.0,32.0,139.0,3424,3424,0.49655572474802406,13696.0,13696.0,13696.0,13696.0,2633579,872597,0.7511257278584988
pattern_rolling_k2v4_s0_r128,aime24:p15:s1:seed15043,13729,32.0,139.0,32.0,139.0,3424,3424,0.4987981644693714,13696.0,13696.0,13696.0,13696.0,2652342,853834,0.7564771420487734
pattern_rolling_k2v4_s0_r128,aime24:p16:s0:seed16042,18499,32.0,176.0,32.0,176.0,4608,4608,0.49818909130223255,18432.0,18432.0,18432.0,18432.0,3470352,1248240,0.7354634602864584
pattern_rolling_k2v4_s0_r128,aime24:p17:s0:seed17042,13050,32.0,133.0,32.0,133.0,3232,3232,0.4953256704980843,12928.0,12928.0,12928.0,12928.0,2390935,918633,0.7224311450920483
