absolute_sequence_position,accumulation_metric_schema_version,checkpoint,config,generated_checkpoint,layer,matched_fp16_mode,matched_path_control_version,method,metric_name,metric_value,mode,reference_next_token_id,source_commit,task_key,trajectory_sha256
192,matched_path_accumulation_v1,128,kivi_paper_g128,128,final,static,v1,kivi_paper_g128,attention_output_relative_L2,0.002076638862490654,static,51052,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
192,matched_path_accumulation_v1,128,kivi_paper_g128,128,final,static,v1,kivi_paper_g128,next_token_KL,0.0,static,51052,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
192,matched_path_accumulation_v1,128,kivi_paper_g128,128,final,static,v1,kivi_paper_g128,next_token_JS,2.3636204105059733e-10,static,51052,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
192,matched_path_accumulation_v1,128,kivi_paper_g128,128,final,static,v1,kivi_paper_g128,target_token_NLL_delta,-1.1920838005607948e-07,static,51052,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
192,matched_path_accumulation_v1,128,kivi_paper_g128,128,final,static,v1,kivi_paper_g128,top1_disagreement,0.0,static,51052,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
192,matched_path_accumulation_v1,128,kivi_paper_g128,128,final,static,v1,kivi_paper_g128,logit_max_abs_diff,0.0234375,static,51052,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
576,matched_path_accumulation_v1,512,kivi_paper_g128,512,final,pseudo,v1,kivi_paper_g128,hidden_cosine_loss,0.12717831134796143,pseudo,279,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
576,matched_path_accumulation_v1,512,kivi_paper_g128,512,final,pseudo,v1,kivi_paper_g128,hidden_relative_L2,0.4954034984111786,pseudo,279,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
576,matched_path_accumulation_v1,512,kivi_paper_g128,512,final,pseudo,v1,kivi_paper_g128,attention_output_relative_L2,0.4954034984111786,pseudo,279,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
576,matched_path_accumulation_v1,512,kivi_paper_g128,512,final,pseudo,v1,kivi_paper_g128,next_token_KL,6.347902672132477e-05,pseudo,279,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
576,matched_path_accumulation_v1,512,kivi_paper_g128,512,final,pseudo,v1,kivi_paper_g128,next_token_JS,2.1012079741922207e-05,pseudo,279,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
576,matched_path_accumulation_v1,512,kivi_paper_g128,512,final,pseudo,v1,kivi_paper_g128,target_token_NLL_delta,-8.083740249276161e-05,pseudo,279,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
576,matched_path_accumulation_v1,512,kivi_paper_g128,512,final,pseudo,v1,kivi_paper_g128,top1_disagreement,0.0,pseudo,279,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
576,matched_path_accumulation_v1,512,kivi_paper_g128,512,final,pseudo,v1,kivi_paper_g128,logit_max_abs_diff,5.58984375,pseudo,279,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
576,matched_path_accumulation_v1,512,kivi_paper_g128,512,final,static,v1,kivi_paper_g128,hidden_cosine_loss,2.8014183044433594e-06,static,279,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
576,matched_path_accumulation_v1,512,kivi_paper_g128,512,final,static,v1,kivi_paper_g128,hidden_relative_L2,0.002327976282685995,static,279,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
576,matched_path_accumulation_v1,512,kivi_paper_g128,512,final,static,v1,kivi_paper_g128,attention_output_relative_L2,0.002327976282685995,static,279,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
576,matched_path_accumulation_v1,512,kivi_paper_g128,512,final,static,v1,kivi_paper_g128,next_token_KL,3.6643717749029747e-07,static,279,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
576,matched_path_accumulation_v1,512,kivi_paper_g128,512,final,static,v1,kivi_paper_g128,next_token_JS,4.2449809001254835e-08,static,279,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
576,matched_path_accumulation_v1,512,kivi_paper_g128,512,final,static,v1,kivi_paper_g128,target_token_NLL_delta,2.1071755327284336e-05,static,279,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
576,matched_path_accumulation_v1,512,kivi_paper_g128,512,final,static,v1,kivi_paper_g128,top1_disagreement,0.0,static,279,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
576,matched_path_accumulation_v1,512,kivi_paper_g128,512,final,static,v1,kivi_paper_g128,logit_max_abs_diff,0.021484375,static,279,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
1088,matched_path_accumulation_v1,1024,kivi_paper_g128,1024,final,pseudo,v1,kivi_paper_g128,hidden_cosine_loss,0.0778886079788208,pseudo,374,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
1088,matched_path_accumulation_v1,1024,kivi_paper_g128,1024,final,pseudo,v1,kivi_paper_g128,hidden_relative_L2,0.3935371935367584,pseudo,374,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
1088,matched_path_accumulation_v1,1024,kivi_paper_g128,1024,final,pseudo,v1,kivi_paper_g128,attention_output_relative_L2,0.3935371935367584,pseudo,374,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
1088,matched_path_accumulation_v1,1024,kivi_paper_g128,1024,final,pseudo,v1,kivi_paper_g128,next_token_KL,0.013135022483766079,pseudo,374,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
1088,matched_path_accumulation_v1,1024,kivi_paper_g128,1024,final,pseudo,v1,kivi_paper_g128,next_token_JS,0.004092957824468613,pseudo,374,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
1088,matched_path_accumulation_v1,1024,kivi_paper_g128,1024,final,pseudo,v1,kivi_paper_g128,target_token_NLL_delta,0.02040344849228859,pseudo,374,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
1088,matched_path_accumulation_v1,1024,kivi_paper_g128,1024,final,pseudo,v1,kivi_paper_g128,top1_disagreement,0.0,pseudo,374,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
1088,matched_path_accumulation_v1,1024,kivi_paper_g128,1024,final,pseudo,v1,kivi_paper_g128,logit_max_abs_diff,3.814453125,pseudo,374,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
1088,matched_path_accumulation_v1,1024,kivi_paper_g128,1024,final,static,v1,kivi_paper_g128,hidden_cosine_loss,2.205371856689453e-06,static,374,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
1088,matched_path_accumulation_v1,1024,kivi_paper_g128,1024,final,static,v1,kivi_paper_g128,hidden_relative_L2,0.002034825040027499,static,374,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
1088,matched_path_accumulation_v1,1024,kivi_paper_g128,1024,final,static,v1,kivi_paper_g128,attention_output_relative_L2,0.002034825040027499,static,374,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
1088,matched_path_accumulation_v1,1024,kivi_paper_g128,1024,final,static,v1,kivi_paper_g128,next_token_KL,1.5628359051333973e-08,static,374,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
1088,matched_path_accumulation_v1,1024,kivi_paper_g128,1024,final,static,v1,kivi_paper_g128,next_token_JS,3.8961569970297205e-08,static,374,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
1088,matched_path_accumulation_v1,1024,kivi_paper_g128,1024,final,static,v1,kivi_paper_g128,target_token_NLL_delta,-6.639398634433746e-06,static,374,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
1088,matched_path_accumulation_v1,1024,kivi_paper_g128,1024,final,static,v1,kivi_paper_g128,top1_disagreement,0.0,static,374,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
1088,matched_path_accumulation_v1,1024,kivi_paper_g128,1024,final,static,v1,kivi_paper_g128,logit_max_abs_diff,0.0234375,static,374,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
2112,matched_path_accumulation_v1,2048,kivi_paper_g128,2048,final,pseudo,v1,kivi_paper_g128,hidden_cosine_loss,0.05911517143249512,pseudo,5425,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
2112,matched_path_accumulation_v1,2048,kivi_paper_g128,2048,final,pseudo,v1,kivi_paper_g128,hidden_relative_L2,0.3423386216163635,pseudo,5425,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
2112,matched_path_accumulation_v1,2048,kivi_paper_g128,2048,final,pseudo,v1,kivi_paper_g128,attention_output_relative_L2,0.3423386216163635,pseudo,5425,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
2112,matched_path_accumulation_v1,2048,kivi_paper_g128,2048,final,pseudo,v1,kivi_paper_g128,next_token_KL,0.04510847106575966,pseudo,5425,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
2112,matched_path_accumulation_v1,2048,kivi_paper_g128,2048,final,pseudo,v1,kivi_paper_g128,next_token_JS,0.010823607444763184,pseudo,5425,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
2112,matched_path_accumulation_v1,2048,kivi_paper_g128,2048,final,pseudo,v1,kivi_paper_g128,target_token_NLL_delta,-0.09279483556747437,pseudo,5425,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
2112,matched_path_accumulation_v1,2048,kivi_paper_g128,2048,final,pseudo,v1,kivi_paper_g128,top1_disagreement,0.0,pseudo,5425,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
2112,matched_path_accumulation_v1,2048,kivi_paper_g128,2048,final,pseudo,v1,kivi_paper_g128,logit_max_abs_diff,3.796875,pseudo,5425,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
2112,matched_path_accumulation_v1,2048,kivi_paper_g128,2048,final,static,v1,kivi_paper_g128,hidden_cosine_loss,1.9073486328125e-06,static,5425,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
2112,matched_path_accumulation_v1,2048,kivi_paper_g128,2048,final,static,v1,kivi_paper_g128,hidden_relative_L2,0.0017464763950556517,static,5425,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
2112,matched_path_accumulation_v1,2048,kivi_paper_g128,2048,final,static,v1,kivi_paper_g128,attention_output_relative_L2,0.0017464763950556517,static,5425,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
2112,matched_path_accumulation_v1,2048,kivi_paper_g128,2048,final,static,v1,kivi_paper_g128,next_token_KL,9.671202505501242e-09,static,5425,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
2112,matched_path_accumulation_v1,2048,kivi_paper_g128,2048,final,static,v1,kivi_paper_g128,next_token_JS,3.941448056821173e-08,static,5425,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
2112,matched_path_accumulation_v1,2048,kivi_paper_g128,2048,final,static,v1,kivi_paper_g128,target_token_NLL_delta,5.960464477539062e-07,static,5425,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
2112,matched_path_accumulation_v1,2048,kivi_paper_g128,2048,final,static,v1,kivi_paper_g128,top1_disagreement,0.0,static,5425,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
2112,matched_path_accumulation_v1,2048,kivi_paper_g128,2048,final,static,v1,kivi_paper_g128,logit_max_abs_diff,0.01953125,static,5425,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
4160,matched_path_accumulation_v1,4096,kivi_paper_g128,4096,final,pseudo,v1,kivi_paper_g128,hidden_cosine_loss,0.09974592924118042,pseudo,279,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
4160,matched_path_accumulation_v1,4096,kivi_paper_g128,4096,final,pseudo,v1,kivi_paper_g128,hidden_relative_L2,0.44528499245643616,pseudo,279,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
4160,matched_path_accumulation_v1,4096,kivi_paper_g128,4096,final,pseudo,v1,kivi_paper_g128,attention_output_relative_L2,0.44528499245643616,pseudo,279,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
4160,matched_path_accumulation_v1,4096,kivi_paper_g128,4096,final,pseudo,v1,kivi_paper_g128,next_token_KL,0.05605915188789368,pseudo,279,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
4160,matched_path_accumulation_v1,4096,kivi_paper_g128,4096,final,pseudo,v1,kivi_paper_g128,next_token_JS,0.016788924112915993,pseudo,279,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
4160,matched_path_accumulation_v1,4096,kivi_paper_g128,4096,final,pseudo,v1,kivi_paper_g128,target_token_NLL_delta,0.11375176161527634,pseudo,279,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
4160,matched_path_accumulation_v1,4096,kivi_paper_g128,4096,final,pseudo,v1,kivi_paper_g128,top1_disagreement,0.0,pseudo,279,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
4160,matched_path_accumulation_v1,4096,kivi_paper_g128,4096,final,pseudo,v1,kivi_paper_g128,logit_max_abs_diff,4.8515625,pseudo,279,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
4160,matched_path_accumulation_v1,4096,kivi_paper_g128,4096,final,static,v1,kivi_paper_g128,hidden_cosine_loss,1.7285346984863281e-06,static,279,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
4160,matched_path_accumulation_v1,4096,kivi_paper_g128,4096,final,static,v1,kivi_paper_g128,hidden_relative_L2,0.0017410150030627847,static,279,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
4160,matched_path_accumulation_v1,4096,kivi_paper_g128,4096,final,static,v1,kivi_paper_g128,attention_output_relative_L2,0.0017410150030627847,static,279,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
4160,matched_path_accumulation_v1,4096,kivi_paper_g128,4096,final,static,v1,kivi_paper_g128,next_token_KL,1.4817214832874015e-06,static,279,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
4160,matched_path_accumulation_v1,4096,kivi_paper_g128,4096,final,static,v1,kivi_paper_g128,next_token_JS,2.924790010183642e-07,static,279,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
4160,matched_path_accumulation_v1,4096,kivi_paper_g128,4096,final,static,v1,kivi_paper_g128,target_token_NLL_delta,-7.910281419754028e-05,static,279,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
4160,matched_path_accumulation_v1,4096,kivi_paper_g128,4096,final,static,v1,kivi_paper_g128,top1_disagreement,0.0,static,279,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
4160,matched_path_accumulation_v1,4096,kivi_paper_g128,4096,final,static,v1,kivi_paper_g128,logit_max_abs_diff,0.0166015625,static,279,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
8256,matched_path_accumulation_v1,8192,kivi_paper_g128,8192,final,pseudo,v1,kivi_paper_g128,hidden_cosine_loss,0.04755038022994995,pseudo,220,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
8256,matched_path_accumulation_v1,8192,kivi_paper_g128,8192,final,pseudo,v1,kivi_paper_g128,hidden_relative_L2,0.30936890840530396,pseudo,220,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
8256,matched_path_accumulation_v1,8192,kivi_paper_g128,8192,final,pseudo,v1,kivi_paper_g128,attention_output_relative_L2,0.30936890840530396,pseudo,220,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
8256,matched_path_accumulation_v1,8192,kivi_paper_g128,8192,final,pseudo,v1,kivi_paper_g128,next_token_KL,0.1265234798192978,pseudo,220,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
8256,matched_path_accumulation_v1,8192,kivi_paper_g128,8192,final,pseudo,v1,kivi_paper_g128,next_token_JS,0.030163221061229706,pseudo,220,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
8256,matched_path_accumulation_v1,8192,kivi_paper_g128,8192,final,pseudo,v1,kivi_paper_g128,target_token_NLL_delta,1.3495397567749023,pseudo,220,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
8256,matched_path_accumulation_v1,8192,kivi_paper_g128,8192,final,pseudo,v1,kivi_paper_g128,top1_disagreement,0.0,pseudo,220,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
8256,matched_path_accumulation_v1,8192,kivi_paper_g128,8192,final,pseudo,v1,kivi_paper_g128,logit_max_abs_diff,2.94140625,pseudo,220,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
