acc_auc,classification,config,metric,negative_checkpoints,positive_checkpoints,task_key
1.5334138568141498,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,attention_output_relative_L2,0,5,aime24:p6:s1:seed6043
1.1837056249546514,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,next_token_KL,0,5,aime24:p0:s0:seed42
0.7428402377181555,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,next_token_KL,1,4,aime24:p11:s0:seed11042
0.6448326992311435,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,next_token_KL,1,4,aime24:p11:s1:seed11043
0.08636698884538418,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,next_token_KL,0,5,aime24:p12:s0:seed12042
0.4217120533662353,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,next_token_KL,0,5,aime24:p12:s1:seed12043
0.4096814685167016,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,next_token_KL,0,5,aime24:p14:s0:seed14042
0.3133043862139928,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,next_token_KL,1,4,aime24:p15:s0:seed15042
0.017414896332118346,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,next_token_KL,0,5,aime24:p15:s1:seed15043
0.09743528500392173,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,next_token_KL,0,5,aime24:p16:s0:seed16042
1.4828764125897367,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,next_token_KL,1,4,aime24:p17:s0:seed17042
0.03718055361160122,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,next_token_KL,1,4,aime24:p6:s0:seed6042
1.0340287320606762,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,next_token_KL,1,4,aime24:p6:s1:seed6043
