checkpoint,config,error,mode,reference_next_token_id,status,task_key,total_tokens
8192,kivi_paper_g128,"CUDA out of memory. Tried to allocate 3.97 GiB. GPU 0 has a total capacity of 23.56 GiB of which 3.17 GiB is free. Including non-PyTorch memory, this process has 20.37 GiB memory in use. Of the allocated memory 19.21 GiB is allocated by PyTorch, and 864.10 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",static,,oom,aime24:p15:s1:seed15043,
16384,kivi_paper_g128,,pseudo,43324,ok,aime24:p15:s1:seed15043,16504
16384,kivi_paper_g128,"CUDA out of memory. Tried to allocate 3.94 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.38 GiB is free. Including non-PyTorch memory, this process has 22.15 GiB memory in use. Of the allocated memory 19.43 GiB is allocated by PyTorch, and 2.41 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",static,,oom,aime24:p15:s1:seed15043,
128,kivi_paper_g128,,pseudo,77933,ok,aime24:p16:s0:seed16042,202
128,kivi_paper_g128,,static,77933,ok,aime24:p16:s0:seed16042,202
512,kivi_paper_g128,,pseudo,387,ok,aime24:p16:s0:seed16042,586
512,kivi_paper_g128,,static,387,ok,aime24:p16:s0:seed16042,586
1024,kivi_paper_g128,,pseudo,430,ok,aime24:p16:s0:seed16042,1098
1024,kivi_paper_g128,,static,430,ok,aime24:p16:s0:seed16042,1098
2048,kivi_paper_g128,,pseudo,16,ok,aime24:p16:s0:seed16042,2122
2048,kivi_paper_g128,,static,16,ok,aime24:p16:s0:seed16042,2122
4096,kivi_paper_g128,,pseudo,44301,ok,aime24:p16:s0:seed16042,4170
4096,kivi_paper_g128,,static,44301,ok,aime24:p16:s0:seed16042,4170
8192,kivi_paper_g128,,pseudo,5738,ok,aime24:p16:s0:seed16042,8266
8192,kivi_paper_g128,"CUDA out of memory. Tried to allocate 3.95 GiB. GPU 0 has a total capacity of 23.56 GiB of which 3.41 GiB is free. Including non-PyTorch memory, this process has 20.12 GiB memory in use. Of the allocated memory 19.19 GiB is allocated by PyTorch, and 645.27 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",static,,oom,aime24:p16:s0:seed16042,
128,kivi_paper_g128,,pseudo,570,ok,aime24:p11:s0:seed11042,203
128,kivi_paper_g128,,static,570,ok,aime24:p11:s0:seed11042,203
512,kivi_paper_g128,,pseudo,6041,ok,aime24:p11:s0:seed11042,587
512,kivi_paper_g128,,static,6041,ok,aime24:p11:s0:seed11042,587
1024,kivi_paper_g128,,pseudo,284,ok,aime24:p11:s0:seed11042,1099
1024,kivi_paper_g128,,static,284,ok,aime24:p11:s0:seed11042,1099
2048,kivi_paper_g128,,pseudo,432,ok,aime24:p11:s0:seed11042,2123
2048,kivi_paper_g128,,static,432,ok,aime24:p11:s0:seed11042,2123
4096,kivi_paper_g128,,pseudo,432,ok,aime24:p11:s0:seed11042,4171
4096,kivi_paper_g128,,static,432,ok,aime24:p11:s0:seed11042,4171
128,kivi_paper_g128,,pseudo,7429,ok,aime24:p12:s1:seed12043,192
128,kivi_paper_g128,,static,7429,ok,aime24:p12:s1:seed12043,192
512,kivi_paper_g128,,pseudo,489,ok,aime24:p12:s1:seed12043,576
512,kivi_paper_g128,,static,489,ok,aime24:p12:s1:seed12043,576
1024,kivi_paper_g128,,pseudo,11,ok,aime24:p12:s1:seed12043,1088
1024,kivi_paper_g128,,static,11,ok,aime24:p12:s1:seed12043,1088
2048,kivi_paper_g128,,pseudo,89290,ok,aime24:p12:s1:seed12043,2112
2048,kivi_paper_g128,,static,89290,ok,aime24:p12:s1:seed12043,2112
4096,kivi_paper_g128,,pseudo,220,ok,aime24:p12:s1:seed12043,4160
4096,kivi_paper_g128,,static,220,ok,aime24:p12:s1:seed12043,4160
128,kivi_paper_g128,,pseudo,512,ok,aime24:p6:s0:seed6042,245
128,kivi_paper_g128,,static,512,ok,aime24:p6:s0:seed6042,245
512,kivi_paper_g128,,pseudo,284,ok,aime24:p6:s0:seed6042,629
512,kivi_paper_g128,,static,284,ok,aime24:p6:s0:seed6042,629
1024,kivi_paper_g128,,pseudo,1473,ok,aime24:p6:s0:seed6042,1141
1024,kivi_paper_g128,,static,1473,ok,aime24:p6:s0:seed6042,1141
2048,kivi_paper_g128,,pseudo,284,ok,aime24:p6:s0:seed6042,2165
2048,kivi_paper_g128,,static,284,ok,aime24:p6:s0:seed6042,2165
4096,kivi_paper_g128,,pseudo,49438,ok,aime24:p6:s0:seed6042,4213
4096,kivi_paper_g128,,static,49438,ok,aime24:p6:s0:seed6042,4213
128,kivi_paper_g128,,pseudo,16168,ok,aime24:p6:s1:seed6043,245
128,kivi_paper_g128,,static,16168,ok,aime24:p6:s1:seed6043,245
512,kivi_paper_g128,,pseudo,13,ok,aime24:p6:s1:seed6043,629
512,kivi_paper_g128,,static,13,ok,aime24:p6:s1:seed6043,629
1024,kivi_paper_g128,,pseudo,304,ok,aime24:p6:s1:seed6043,1141
1024,kivi_paper_g128,,static,304,ok,aime24:p6:s1:seed6043,1141
2048,kivi_paper_g128,,pseudo,27986,ok,aime24:p6:s1:seed6043,2165
2048,kivi_paper_g128,,static,27986,ok,aime24:p6:s1:seed6043,2165
4096,kivi_paper_g128,,pseudo,44223,ok,aime24:p6:s1:seed6043,4213
4096,kivi_paper_g128,,static,44223,ok,aime24:p6:s1:seed6043,4213
8192,kivi_paper_g128,,pseudo,505,ok,aime24:p6:s1:seed6043,8309
8192,kivi_paper_g128,"CUDA out of memory. Tried to allocate 3.97 GiB. GPU 0 has a total capacity of 23.56 GiB of which 3.43 GiB is free. Including non-PyTorch memory, this process has 20.11 GiB memory in use. Of the allocated memory 19.21 GiB is allocated by PyTorch, and 599.88 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",static,,oom,aime24:p6:s1:seed6043,
128,kivi_paper_g128,,pseudo,21701,ok,aime24:p0:s0:seed42,282
128,kivi_paper_g128,,static,21701,ok,aime24:p0:s0:seed42,282
512,kivi_paper_g128,,pseudo,3878,ok,aime24:p0:s0:seed42,666
512,kivi_paper_g128,,static,3878,ok,aime24:p0:s0:seed42,666
1024,kivi_paper_g128,,pseudo,4520,ok,aime24:p0:s0:seed42,1178
1024,kivi_paper_g128,,static,4520,ok,aime24:p0:s0:seed42,1178
2048,kivi_paper_g128,,pseudo,13,ok,aime24:p0:s0:seed42,2202
2048,kivi_paper_g128,,static,13,ok,aime24:p0:s0:seed42,2202
4096,kivi_paper_g128,,pseudo,13437,ok,aime24:p0:s0:seed42,4250
4096,kivi_paper_g128,,static,13437,ok,aime24:p0:s0:seed42,4250
128,kivi_paper_g128,,pseudo,584,ok,aime24:p11:s1:seed11043,203
128,kivi_paper_g128,,static,584,ok,aime24:p11:s1:seed11043,203
512,kivi_paper_g128,,pseudo,304,ok,aime24:p11:s1:seed11043,587
512,kivi_paper_g128,,static,304,ok,aime24:p11:s1:seed11043,587
1024,kivi_paper_g128,,pseudo,584,ok,aime24:p11:s1:seed11043,1099
1024,kivi_paper_g128,,static,584,ok,aime24:p11:s1:seed11043,1099
2048,kivi_paper_g128,,pseudo,17168,ok,aime24:p11:s1:seed11043,2123
2048,kivi_paper_g128,,static,17168,ok,aime24:p11:s1:seed11043,2123
4096,kivi_paper_g128,,pseudo,433,ok,aime24:p11:s1:seed11043,4171
4096,kivi_paper_g128,,static,433,ok,aime24:p11:s1:seed11043,4171
128,kivi_paper_g128,,pseudo,13,ok,aime24:p15:s0:seed15042,248
128,kivi_paper_g128,,static,13,ok,aime24:p15:s0:seed15042,248
512,kivi_paper_g128,,pseudo,4071,ok,aime24:p15:s0:seed15042,632
512,kivi_paper_g128,,static,4071,ok,aime24:p15:s0:seed15042,632
1024,kivi_paper_g128,,pseudo,1473,ok,aime24:p15:s0:seed15042,1144
1024,kivi_paper_g128,,static,1473,ok,aime24:p15:s0:seed15042,1144
2048,kivi_paper_g128,,pseudo,19635,ok,aime24:p15:s0:seed15042,2168
2048,kivi_paper_g128,,static,19635,ok,aime24:p15:s0:seed15042,2168
4096,kivi_paper_g128,,pseudo,765,ok,aime24:p15:s0:seed15042,4216
4096,kivi_paper_g128,,static,765,ok,aime24:p15:s0:seed15042,4216
8192,kivi_paper_g128,,pseudo,33,ok,aime24:p15:s0:seed15042,8312
8192,kivi_paper_g128,"CUDA out of memory. Tried to allocate 3.97 GiB. GPU 0 has a total capacity of 23.56 GiB of which 3.43 GiB is free. Including non-PyTorch memory, this process has 20.11 GiB memory in use. Of the allocated memory 19.21 GiB is allocated by PyTorch, and 598.10 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",static,,oom,aime24:p15:s0:seed15042,
128,kivi_paper_g128,,pseudo,1695,ok,aime24:p17:s0:seed17042,230
128,kivi_paper_g128,,static,1695,ok,aime24:p17:s0:seed17042,230
512,kivi_paper_g128,,pseudo,17,ok,aime24:p17:s0:seed17042,614
512,kivi_paper_g128,,static,17,ok,aime24:p17:s0:seed17042,614
1024,kivi_paper_g128,,pseudo,21,ok,aime24:p17:s0:seed17042,1126
1024,kivi_paper_g128,,static,21,ok,aime24:p17:s0:seed17042,1126
2048,kivi_paper_g128,,pseudo,64,ok,aime24:p17:s0:seed17042,2150
2048,kivi_paper_g128,,static,64,ok,aime24:p17:s0:seed17042,2150
4096,kivi_paper_g128,,pseudo,11281,ok,aime24:p17:s0:seed17042,4198
4096,kivi_paper_g128,,static,11281,ok,aime24:p17:s0:seed17042,4198
8192,kivi_paper_g128,,pseudo,4516,ok,aime24:p17:s0:seed17042,8294
8192,kivi_paper_g128,"CUDA out of memory. Tried to allocate 3.96 GiB. GPU 0 has a total capacity of 23.56 GiB of which 3.43 GiB is free. Including non-PyTorch memory, this process has 20.11 GiB memory in use. Of the allocated memory 19.20 GiB is allocated by PyTorch, and 606.78 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",static,,oom,aime24:p17:s0:seed17042,
128,kivi_rolling_k2v2_s0_r128,,pseudo,51052,ok,aime24:p12:s0:seed12042,192
128,kivi_rolling_k2v2_s0_r128,,static,51052,ok,aime24:p12:s0:seed12042,192
512,kivi_rolling_k2v2_s0_r128,,pseudo,279,ok,aime24:p12:s0:seed12042,576
512,kivi_rolling_k2v2_s0_r128,,static,279,ok,aime24:p12:s0:seed12042,576
1024,kivi_rolling_k2v2_s0_r128,,pseudo,374,ok,aime24:p12:s0:seed12042,1088
1024,kivi_rolling_k2v2_s0_r128,,static,374,ok,aime24:p12:s0:seed12042,1088
2048,kivi_rolling_k2v2_s0_r128,,pseudo,5425,ok,aime24:p12:s0:seed12042,2112
2048,kivi_rolling_k2v2_s0_r128,,static,5425,ok,aime24:p12:s0:seed12042,2112
4096,kivi_rolling_k2v2_s0_r128,,pseudo,279,ok,aime24:p12:s0:seed12042,4160
4096,kivi_rolling_k2v2_s0_r128,,static,279,ok,aime24:p12:s0:seed12042,4160
8192,kivi_rolling_k2v2_s0_r128,,pseudo,220,ok,aime24:p12:s0:seed12042,8256
8192,kivi_rolling_k2v2_s0_r128,"CUDA out of memory. Tried to allocate 3.95 GiB. GPU 0 has a total capacity of 23.56 GiB of which 3.12 GiB is free. Including non-PyTorch memory, this process has 20.41 GiB memory in use. Of the allocated memory 19.18 GiB is allocated by PyTorch, and 943.37 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",static,,oom,aime24:p12:s0:seed12042,
128,kivi_rolling_k2v2_s0_r128,,pseudo,362,ok,aime24:p14:s0:seed14042,232
128,kivi_rolling_k2v2_s0_r128,,static,362,ok,aime24:p14:s0:seed14042,232
512,kivi_rolling_k2v2_s0_r128,,pseudo,11314,ok,aime24:p14:s0:seed14042,616
512,kivi_rolling_k2v2_s0_r128,,static,11314,ok,aime24:p14:s0:seed14042,616
1024,kivi_rolling_k2v2_s0_r128,,pseudo,17,ok,aime24:p14:s0:seed14042,1128
1024,kivi_rolling_k2v2_s0_r128,,static,17,ok,aime24:p14:s0:seed14042,1128
2048,kivi_rolling_k2v2_s0_r128,,pseudo,420,ok,aime24:p14:s0:seed14042,2152
2048,kivi_rolling_k2v2_s0_r128,,static,420,ok,aime24:p14:s0:seed14042,2152
4096,kivi_rolling_k2v2_s0_r128,,pseudo,304,ok,aime24:p14:s0:seed14042,4200
4096,kivi_rolling_k2v2_s0_r128,,static,304,ok,aime24:p14:s0:seed14042,4200
128,kivi_rolling_k2v2_s0_r128,,pseudo,578,ok,aime24:p15:s1:seed15043,248
128,kivi_rolling_k2v2_s0_r128,,static,578,ok,aime24:p15:s1:seed15043,248
512,kivi_rolling_k2v2_s0_r128,,pseudo,356,ok,aime24:p15:s1:seed15043,632
512,kivi_rolling_k2v2_s0_r128,,static,356,ok,aime24:p15:s1:seed15043,632
1024,kivi_rolling_k2v2_s0_r128,,pseudo,12264,ok,aime24:p15:s1:seed15043,1144
1024,kivi_rolling_k2v2_s0_r128,,static,12264,ok,aime24:p15:s1:seed15043,1144
2048,kivi_rolling_k2v2_s0_r128,,pseudo,293,ok,aime24:p15:s1:seed15043,2168
2048,kivi_rolling_k2v2_s0_r128,,static,293,ok,aime24:p15:s1:seed15043,2168
4096,kivi_rolling_k2v2_s0_r128,,pseudo,220,ok,aime24:p15:s1:seed15043,4216
4096,kivi_rolling_k2v2_s0_r128,,static,220,ok,aime24:p15:s1:seed15043,4216
8192,kivi_rolling_k2v2_s0_r128,,pseudo,482,ok,aime24:p15:s1:seed15043,8312
8192,kivi_rolling_k2v2_s0_r128,"CUDA out of memory. Tried to allocate 3.97 GiB. GPU 0 has a total capacity of 23.56 GiB of which 3.17 GiB is free. Including non-PyTorch memory, this process has 20.37 GiB memory in use. Of the allocated memory 19.21 GiB is allocated by PyTorch, and 864.10 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",static,,oom,aime24:p15:s1:seed15043,
16384,kivi_rolling_k2v2_s0_r128,,pseudo,43324,ok,aime24:p15:s1:seed15043,16504
16384,kivi_rolling_k2v2_s0_r128,"CUDA out of memory. Tried to allocate 3.94 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.38 GiB is free. Including non-PyTorch memory, this process has 22.15 GiB memory in use. Of the allocated memory 19.43 GiB is allocated by PyTorch, and 2.41 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",static,,oom,aime24:p15:s1:seed15043,
128,kivi_rolling_k2v2_s0_r128,,pseudo,77933,ok,aime24:p16:s0:seed16042,202
128,kivi_rolling_k2v2_s0_r128,,static,77933,ok,aime24:p16:s0:seed16042,202
512,kivi_rolling_k2v2_s0_r128,,pseudo,387,ok,aime24:p16:s0:seed16042,586
512,kivi_rolling_k2v2_s0_r128,,static,387,ok,aime24:p16:s0:seed16042,586
1024,kivi_rolling_k2v2_s0_r128,,pseudo,430,ok,aime24:p16:s0:seed16042,1098
1024,kivi_rolling_k2v2_s0_r128,,static,430,ok,aime24:p16:s0:seed16042,1098
2048,kivi_rolling_k2v2_s0_r128,,pseudo,16,ok,aime24:p16:s0:seed16042,2122
2048,kivi_rolling_k2v2_s0_r128,,static,16,ok,aime24:p16:s0:seed16042,2122
4096,kivi_rolling_k2v2_s0_r128,,pseudo,44301,ok,aime24:p16:s0:seed16042,4170
4096,kivi_rolling_k2v2_s0_r128,,static,44301,ok,aime24:p16:s0:seed16042,4170
8192,kivi_rolling_k2v2_s0_r128,,pseudo,5738,ok,aime24:p16:s0:seed16042,8266
8192,kivi_rolling_k2v2_s0_r128,"CUDA out of memory. Tried to allocate 3.95 GiB. GPU 0 has a total capacity of 23.56 GiB of which 3.41 GiB is free. Including non-PyTorch memory, this process has 20.12 GiB memory in use. Of the allocated memory 19.19 GiB is allocated by PyTorch, and 645.27 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",static,,oom,aime24:p16:s0:seed16042,
128,kivi_rolling_k2v2_s0_r128,,pseudo,570,ok,aime24:p11:s0:seed11042,203
128,kivi_rolling_k2v2_s0_r128,,static,570,ok,aime24:p11:s0:seed11042,203
512,kivi_rolling_k2v2_s0_r128,,pseudo,6041,ok,aime24:p11:s0:seed11042,587
512,kivi_rolling_k2v2_s0_r128,,static,6041,ok,aime24:p11:s0:seed11042,587
1024,kivi_rolling_k2v2_s0_r128,,pseudo,284,ok,aime24:p11:s0:seed11042,1099
1024,kivi_rolling_k2v2_s0_r128,,static,284,ok,aime24:p11:s0:seed11042,1099
2048,kivi_rolling_k2v2_s0_r128,,pseudo,432,ok,aime24:p11:s0:seed11042,2123
2048,kivi_rolling_k2v2_s0_r128,,static,432,ok,aime24:p11:s0:seed11042,2123
4096,kivi_rolling_k2v2_s0_r128,,pseudo,432,ok,aime24:p11:s0:seed11042,4171
4096,kivi_rolling_k2v2_s0_r128,,static,432,ok,aime24:p11:s0:seed11042,4171
128,kivi_rolling_k2v2_s0_r128,,pseudo,7429,ok,aime24:p12:s1:seed12043,192
128,kivi_rolling_k2v2_s0_r128,,static,7429,ok,aime24:p12:s1:seed12043,192
512,kivi_rolling_k2v2_s0_r128,,pseudo,489,ok,aime24:p12:s1:seed12043,576
512,kivi_rolling_k2v2_s0_r128,,static,489,ok,aime24:p12:s1:seed12043,576
1024,kivi_rolling_k2v2_s0_r128,,pseudo,11,ok,aime24:p12:s1:seed12043,1088
1024,kivi_rolling_k2v2_s0_r128,,static,11,ok,aime24:p12:s1:seed12043,1088
2048,kivi_rolling_k2v2_s0_r128,,pseudo,89290,ok,aime24:p12:s1:seed12043,2112
2048,kivi_rolling_k2v2_s0_r128,,static,89290,ok,aime24:p12:s1:seed12043,2112
4096,kivi_rolling_k2v2_s0_r128,,pseudo,220,ok,aime24:p12:s1:seed12043,4160
4096,kivi_rolling_k2v2_s0_r128,,static,220,ok,aime24:p12:s1:seed12043,4160
128,kivi_rolling_k2v2_s0_r128,,pseudo,512,ok,aime24:p6:s0:seed6042,245
128,kivi_rolling_k2v2_s0_r128,,static,512,ok,aime24:p6:s0:seed6042,245
512,kivi_rolling_k2v2_s0_r128,,pseudo,284,ok,aime24:p6:s0:seed6042,629
512,kivi_rolling_k2v2_s0_r128,,static,284,ok,aime24:p6:s0:seed6042,629
1024,kivi_rolling_k2v2_s0_r128,,pseudo,1473,ok,aime24:p6:s0:seed6042,1141
1024,kivi_rolling_k2v2_s0_r128,,static,1473,ok,aime24:p6:s0:seed6042,1141
2048,kivi_rolling_k2v2_s0_r128,,pseudo,284,ok,aime24:p6:s0:seed6042,2165
2048,kivi_rolling_k2v2_s0_r128,,static,284,ok,aime24:p6:s0:seed6042,2165
4096,kivi_rolling_k2v2_s0_r128,,pseudo,49438,ok,aime24:p6:s0:seed6042,4213
4096,kivi_rolling_k2v2_s0_r128,,static,49438,ok,aime24:p6:s0:seed6042,4213
128,kivi_rolling_k2v2_s0_r128,,pseudo,16168,ok,aime24:p6:s1:seed6043,245
128,kivi_rolling_k2v2_s0_r128,,static,16168,ok,aime24:p6:s1:seed6043,245
512,kivi_rolling_k2v2_s0_r128,,pseudo,13,ok,aime24:p6:s1:seed6043,629
512,kivi_rolling_k2v2_s0_r128,,static,13,ok,aime24:p6:s1:seed6043,629
1024,kivi_rolling_k2v2_s0_r128,,pseudo,304,ok,aime24:p6:s1:seed6043,1141
1024,kivi_rolling_k2v2_s0_r128,,static,304,ok,aime24:p6:s1:seed6043,1141
2048,kivi_rolling_k2v2_s0_r128,,pseudo,27986,ok,aime24:p6:s1:seed6043,2165
2048,kivi_rolling_k2v2_s0_r128,,static,27986,ok,aime24:p6:s1:seed6043,2165
4096,kivi_rolling_k2v2_s0_r128,,pseudo,44223,ok,aime24:p6:s1:seed6043,4213
4096,kivi_rolling_k2v2_s0_r128,,static,44223,ok,aime24:p6:s1:seed6043,4213
8192,kivi_rolling_k2v2_s0_r128,,pseudo,505,ok,aime24:p6:s1:seed6043,8309
8192,kivi_rolling_k2v2_s0_r128,"CUDA out of memory. Tried to allocate 3.97 GiB. GPU 0 has a total capacity of 23.56 GiB of which 3.43 GiB is free. Including non-PyTorch memory, this process has 20.11 GiB memory in use. Of the allocated memory 19.21 GiB is allocated by PyTorch, and 599.88 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",static,,oom,aime24:p6:s1:seed6043,
128,kivi_rolling_k2v2_s0_r128,,pseudo,21701,ok,aime24:p0:s0:seed42,282
128,kivi_rolling_k2v2_s0_r128,,static,21701,ok,aime24:p0:s0:seed42,282
512,kivi_rolling_k2v2_s0_r128,,pseudo,3878,ok,aime24:p0:s0:seed42,666
512,kivi_rolling_k2v2_s0_r128,,static,3878,ok,aime24:p0:s0:seed42,666
1024,kivi_rolling_k2v2_s0_r128,,pseudo,4520,ok,aime24:p0:s0:seed42,1178
1024,kivi_rolling_k2v2_s0_r128,,static,4520,ok,aime24:p0:s0:seed42,1178
2048,kivi_rolling_k2v2_s0_r128,,pseudo,13,ok,aime24:p0:s0:seed42,2202
2048,kivi_rolling_k2v2_s0_r128,,static,13,ok,aime24:p0:s0:seed42,2202
4096,kivi_rolling_k2v2_s0_r128,,pseudo,13437,ok,aime24:p0:s0:seed42,4250
4096,kivi_rolling_k2v2_s0_r128,,static,13437,ok,aime24:p0:s0:seed42,4250
128,kivi_rolling_k2v2_s0_r128,,pseudo,584,ok,aime24:p11:s1:seed11043,203
128,kivi_rolling_k2v2_s0_r128,,static,584,ok,aime24:p11:s1:seed11043,203
512,kivi_rolling_k2v2_s0_r128,,pseudo,304,ok,aime24:p11:s1:seed11043,587
512,kivi_rolling_k2v2_s0_r128,,static,304,ok,aime24:p11:s1:seed11043,587
1024,kivi_rolling_k2v2_s0_r128,,pseudo,584,ok,aime24:p11:s1:seed11043,1099
1024,kivi_rolling_k2v2_s0_r128,,static,584,ok,aime24:p11:s1:seed11043,1099
2048,kivi_rolling_k2v2_s0_r128,,pseudo,17168,ok,aime24:p11:s1:seed11043,2123
2048,kivi_rolling_k2v2_s0_r128,,static,17168,ok,aime24:p11:s1:seed11043,2123
4096,kivi_rolling_k2v2_s0_r128,,pseudo,433,ok,aime24:p11:s1:seed11043,4171
4096,kivi_rolling_k2v2_s0_r128,,static,433,ok,aime24:p11:s1:seed11043,4171
128,kivi_rolling_k2v2_s0_r128,,pseudo,13,ok,aime24:p15:s0:seed15042,248
128,kivi_rolling_k2v2_s0_r128,,static,13,ok,aime24:p15:s0:seed15042,248
512,kivi_rolling_k2v2_s0_r128,,pseudo,4071,ok,aime24:p15:s0:seed15042,632
512,kivi_rolling_k2v2_s0_r128,,static,4071,ok,aime24:p15:s0:seed15042,632
1024,kivi_rolling_k2v2_s0_r128,,pseudo,1473,ok,aime24:p15:s0:seed15042,1144
1024,kivi_rolling_k2v2_s0_r128,,static,1473,ok,aime24:p15:s0:seed15042,1144
