kv_type,metric,task,layer,kv_head,count,contrib,weighted_mean
k,range_contraction,dureader,8,7,751,550.1840331469327,0.7326019083181528
k,range_contraction,dureader,9,0,751,456.9707472289401,0.6084830189466579
k,range_contraction,dureader,9,1,751,365.71490826166655,0.48697058357079437
k,range_contraction,dureader,9,2,751,402.4790912740991,0.535924222735152
k,range_contraction,dureader,9,3,751,524.9668217488547,0.6990237306908851
k,range_contraction,dureader,9,4,751,425.37439857589635,0.5664106505671057
k,range_contraction,dureader,9,5,751,507.85911821876715,0.6762438325150029
k,range_contraction,dureader,9,6,751,501.7343978061167,0.6680884125247892
k,range_contraction,dureader,9,7,751,481.83885491896484,0.641596344765599
k,range_contraction,dureader,10,0,751,448.72379278831175,0.597501721422519
k,range_contraction,dureader,10,1,751,408.3141579612132,0.5436939520122679
k,range_contraction,dureader,10,2,751,546.3019797041867,0.7274327292998491
k,range_contraction,dureader,10,3,751,542.5653543638209,0.7224571962234633
k,range_contraction,dureader,10,4,751,527.4446548474102,0.7023231089845675
k,range_contraction,dureader,10,5,751,412.95825774225267,0.5498778398698437
k,range_contraction,dureader,10,6,751,500.60827121744745,0.6665889097436052
k,range_contraction,dureader,10,7,751,478.0121859225844,0.6365009133456517
k,range_contraction,dureader,11,0,751,398.16644490967116,0.5301816843004942
k,range_contraction,dureader,11,1,751,525.2367855348471,0.699383203108984
k,range_contraction,dureader,11,2,751,406.4457056259715,0.5412059995019595
k,range_contraction,dureader,11,3,751,473.04720038067313,0.629889747510883
k,range_contraction,dureader,11,4,751,391.47592016179703,0.5212728630649761
k,range_contraction,dureader,11,5,751,389.0431785700215,0.5180335267243962
k,range_contraction,dureader,11,6,751,417.00563765123707,0.5552671606541106
k,range_contraction,dureader,11,7,751,463.33561156722135,0.6169582044836502
k,range_contraction,dureader,12,0,751,394.0305670994327,0.524674523434664
k,range_contraction,dureader,12,1,751,328.2570165248346,0.43709323105836834
k,range_contraction,dureader,12,2,751,345.39441152767796,0.4599126651500372
k,range_contraction,dureader,12,3,751,415.60931123837105,0.5534078711562863
k,range_contraction,dureader,12,4,751,414.39404212161617,0.5517896699355741
k,range_contraction,dureader,12,5,751,367.605859306447,0.48948849441604125
k,range_contraction,dureader,12,6,751,417.55229857821865,0.5559950713425016
k,range_contraction,dureader,12,7,751,367.38536797122794,0.4891948974317283
k,range_contraction,dureader,13,0,751,513.214662537227,0.683375049982992
k,range_contraction,dureader,13,1,751,458.6768271674857,0.6107547632057067
k,range_contraction,dureader,13,2,751,542.9394028828561,0.7229552634924848
k,range_contraction,dureader,13,3,751,533.6422536900566,0.7105755708256413
k,range_contraction,dureader,13,4,751,482.5096189735225,0.6424895059567544
k,range_contraction,dureader,13,5,751,514.5905841587122,0.6852071693191907
k,range_contraction,dureader,13,6,751,407.1536604842828,0.542148682402507
k,range_contraction,dureader,13,7,751,346.76632564901377,0.46173944826766145
k,range_contraction,dureader,14,0,751,443.97702262101905,0.5911811219986938
k,range_contraction,dureader,14,1,751,483.45443586679505,0.643747584376558
k,range_contraction,dureader,14,2,751,468.91629745580474,0.6243892109930822
k,range_contraction,dureader,14,3,751,446.4122630308407,0.5944237856602406
k,range_contraction,dureader,14,4,751,413.13897044839786,0.5501184693054565
k,range_contraction,dureader,14,5,751,524.0878604231955,0.6978533427738954
k,range_contraction,dureader,14,6,751,453.05356593248143,0.6032670651564334
k,range_contraction,dureader,14,7,751,495.57912727101984,0.6598923132769905
k,range_contraction,dureader,15,0,751,475.24898189524595,0.6328215471308202
k,range_contraction,dureader,15,1,751,418.62147331413234,0.5574187394329325
k,range_contraction,dureader,15,2,751,462.21761710755754,0.6154695301032723
k,range_contraction,dureader,15,3,751,484.2289197226288,0.6447788544908506
k,range_contraction,dureader,15,4,751,520.1626628200544,0.6926267148069966
k,range_contraction,dureader,15,5,751,433.17684753401414,0.5768000632942931
k,range_contraction,dureader,15,6,751,442.1545197871906,0.5887543539110395
k,range_contraction,dureader,15,7,751,502.53097382216015,0.6691490996300401
k,range_contraction,dureader,16,0,751,487.2041396100723,0.6487405321039578
k,range_contraction,dureader,16,1,751,330.03969193278044,0.4394669666215452
k,range_contraction,dureader,16,2,751,501.99084912069014,0.6684298923045142
k,range_contraction,dureader,16,3,751,337.7982651781376,0.4497979562957891
k,range_contraction,dureader,16,4,751,444.6899720633093,0.5921304554771096
k,range_contraction,dureader,16,5,751,477.7703514370952,0.6361788967204997
k,range_contraction,dureader,16,6,751,547.6513720936503,0.7292295234269643
k,range_contraction,dureader,16,7,751,404.62092219945987,0.538776194673049
k,range_contraction,dureader,17,0,751,477.9046222619727,0.6363576861011621
k,range_contraction,dureader,17,1,751,410.79156344938224,0.5469927609179523
k,range_contraction,dureader,17,2,751,450.98076306792984,0.6005070080798001
k,range_contraction,dureader,17,3,751,351.5450676421121,0.46810262002944353
k,range_contraction,dureader,17,4,751,388.4110409046011,0.5171917988077245
k,range_contraction,dureader,17,5,751,421.4830034970404,0.5612290326192282
k,range_contraction,dureader,17,6,751,508.4871795894139,0.6770801326090732
k,range_contraction,dureader,17,7,751,482.6657932906695,0.6426974611060846
k,range_contraction,dureader,18,0,751,408.64438330919904,0.5441336661906778
k,range_contraction,dureader,18,1,751,427.8246565014369,0.5696733109206883
k,range_contraction,dureader,18,2,751,449.1791491802145,0.5981080548338409
k,range_contraction,dureader,18,3,751,351.0681586778769,0.4674675881196763
k,range_contraction,dureader,18,4,751,469.35472408136263,0.624973001439897
k,range_contraction,dureader,18,5,751,500.4891999713628,0.6664303594825071
k,range_contraction,dureader,18,6,751,375.3929881470574,0.499857507519384
k,range_contraction,dureader,18,7,751,401.251018436457,0.5342889726184514
k,range_contraction,dureader,19,0,751,477.74682789147494,0.6361475737569573
k,range_contraction,dureader,19,1,751,373.96113609783606,0.4979509135790094
k,range_contraction,dureader,19,2,751,397.5367076633096,0.5293431526808383
k,range_contraction,dureader,19,3,751,462.56063055928036,0.6159262723825304
k,range_contraction,dureader,19,4,751,438.1024045499131,0.583358727762867
k,range_contraction,dureader,19,5,751,392.3132522925825,0.522387819297713
k,range_contraction,dureader,19,6,751,387.0858327629468,0.5154272074073859
k,range_contraction,dureader,19,7,751,355.78632924803895,0.4737501055233541
k,range_contraction,dureader,20,0,751,590.6514173368541,0.7864865743500055
k,range_contraction,dureader,20,1,751,332.7021273983769,0.44301215365962304
k,range_contraction,dureader,20,2,751,377.7312438386753,0.5029710304110191
k,range_contraction,dureader,20,3,751,521.4542173168174,0.6943464944298501
k,range_contraction,dureader,20,4,751,356.9604106314933,0.4753134628914691
k,range_contraction,dureader,20,5,751,419.4977456908288,0.5585855468586269
k,range_contraction,dureader,20,6,751,519.9433607806973,0.692334701439011
k,range_contraction,dureader,20,7,751,406.9009816100662,0.5418122258456274
k,range_contraction,dureader,21,0,751,448.1523195003621,0.5967407716382984
k,range_contraction,dureader,21,1,751,495.89371927501116,0.6603112107523451
k,range_contraction,dureader,21,2,751,366.3224962705371,0.48777962219778576
k,range_contraction,dureader,21,3,751,462.02913255760086,0.6152185520074579
k,range_contraction,dureader,21,4,751,417.6065906090066,0.5560673643262405
k,range_contraction,dureader,21,5,751,438.7461171306775,0.5842158683497702
k,range_contraction,dureader,21,6,751,392.75523683554195,0.5229763473176324
k,range_contraction,dureader,21,7,751,503.7180363751627,0.6707297421773138
k,range_contraction,dureader,22,0,751,533.9423386718313,0.7109751513606276
k,range_contraction,dureader,22,1,751,361.49582736237795,0.48135263297254055
k,range_contraction,dureader,22,2,751,443.44932873402473,0.5904784670226694
k,range_contraction,dureader,22,3,751,511.88613989692203,0.6816060451357151
k,range_contraction,dureader,22,4,751,380.97838190688685,0.5072947828320731
k,range_contraction,dureader,22,5,751,420.26307336144885,0.5596046249819558
k,range_contraction,dureader,22,6,751,366.01589666280285,0.48737136706098916
k,range_contraction,dureader,22,7,751,499.58197706558826,0.6652223396346049
k,range_contraction,dureader,23,0,751,275.4121646125649,0.36672724981699717
k,range_contraction,dureader,23,1,751,485.8470391824289,0.6469334742775351
k,range_contraction,dureader,23,2,751,316.7163684154019,0.42172618963435676
k,range_contraction,dureader,23,3,751,530.4526983173448,0.7063284930989944
k,range_contraction,dureader,23,4,751,318.8893054834981,0.42461958120306004
k,range_contraction,dureader,23,5,751,437.12311425987536,0.5820547460184758
k,range_contraction,dureader,23,6,751,423.6534004115513,0.5641190418263
k,range_contraction,dureader,23,7,751,510.06214972602004,0.6791772965725966
k,range_contraction,dureader,24,0,751,308.4438902942286,0.4107109058511699
k,range_contraction,dureader,24,1,751,337.71215265511006,0.4496832924835021
k,range_contraction,dureader,24,2,751,350.2293570478587,0.46635067516359346
k,range_contraction,dureader,24,3,751,305.5216645286956,0.4068197929809529
k,range_contraction,dureader,24,4,751,570.5442258851044,0.7597126842677822
k,range_contraction,dureader,24,5,751,513.6672219156521,0.6839776590088577
k,range_contraction,dureader,24,6,751,505.79938082008897,0.673501172862968
k,range_contraction,dureader,24,7,751,391.97297853021234,0.5219347250735185
k,range_contraction,dureader,25,0,751,364.11582017873377,0.4848413051647587
k,range_contraction,dureader,25,1,751,561.7028253253413,0.7479398473040497
k,range_contraction,dureader,25,2,751,314.280838497777,0.4184831404764008
k,range_contraction,dureader,25,3,751,590.1418900288213,0.7858081092261269
k,range_contraction,dureader,25,4,751,315.4703738452089,0.42006707569268825
k,range_contraction,dureader,25,5,751,323.9853634303563,0.4314052775370923
k,range_contraction,dureader,25,6,751,356.9096300373282,0.47524584558898564
k,range_contraction,dureader,25,7,751,361.38832919730635,0.48120949293915627
k,range_contraction,dureader,26,0,751,369.3978256074321,0.49187460134145417
k,range_contraction,dureader,26,1,751,327.58651238800815,0.43620041596272724
k,range_contraction,dureader,26,2,751,339.2287466576346,0.45170272524318855
k,range_contraction,dureader,26,3,751,557.3556934479077,0.7421513894113285
k,range_contraction,dureader,26,4,751,377.4222240466009,0.5025595526585898
k,range_contraction,dureader,26,5,751,320.32738213781914,0.4265344635656713
k,range_contraction,dureader,26,6,751,309.2622364824751,0.4118005812016979
k,range_contraction,dureader,26,7,751,499.4244590038003,0.6650125952114517
k,range_contraction,dureader,27,0,751,388.4202699231347,0.5172040877804723
k,range_contraction,dureader,27,1,751,597.8813648767774,0.7961136682779992
k,range_contraction,dureader,27,2,751,458.0652340433985,0.6099403915358169
k,range_contraction,dureader,27,3,751,381.2867211004989,0.5077053543282275
k,range_contraction,dureader,27,4,751,346.8554995738327,0.46185818851375854
k,range_contraction,dureader,27,5,751,535.6751918591651,0.7132825457512185
k,range_contraction,dureader,27,6,751,400.29712339106516,0.5330188061132691
k,range_contraction,dureader,27,7,751,415.6801610106736,0.5535022117319223
k,range_contraction,dureader,28,0,751,410.8565782889242,0.547079331942642
k,range_contraction,dureader,28,1,751,341.6533369549193,0.45493120766300843
k,range_contraction,dureader,28,2,751,341.5824133666495,0.4548367687971365
k,range_contraction,dureader,28,3,751,427.9056016679501,0.5697810940984689
k,range_contraction,dureader,28,4,751,317.3033287639279,0.42250776133678813
k,range_contraction,dureader,28,5,751,314.96634864126406,0.41939593693909993
k,range_contraction,dureader,28,6,751,453.7701853072547,0.6042212853625228
k,range_contraction,dureader,28,7,751,342.90250059510635,0.4565945414049352
k,range_contraction,dureader,29,0,751,334.46710434785234,0.4453623227002029
k,range_contraction,dureader,29,1,751,325.9637325139814,0.4340395905645558
k,range_contraction,dureader,29,2,751,373.5249050761596,0.4973700467059382
k,range_contraction,dureader,29,3,751,368.7227580378577,0.4909757097707826
k,range_contraction,dureader,29,4,751,298.9699968967892,0.3980958680383345
k,range_contraction,dureader,29,5,751,443.54193122479006,0.5906017726029162
k,range_contraction,dureader,29,6,751,253.08421834368164,0.33699629606349085
k,range_contraction,dureader,29,7,751,328.9527094022731,0.438019586421136
k,range_contraction,dureader,30,0,751,412.7609559930603,0.5496151211625303
k,range_contraction,dureader,30,1,751,365.1369438151785,0.486200990432994
k,range_contraction,dureader,30,2,751,385.2521629539874,0.5129855698455225
k,range_contraction,dureader,30,3,751,485.8492046186017,0.6469363576812273
k,range_contraction,dureader,30,4,751,397.41819595717146,0.5291853474795891
k,range_contraction,dureader,30,5,751,470.9447182347383,0.6270901707519817
k,range_contraction,dureader,30,6,751,455.13188498522925,0.6060344673571628
k,range_contraction,dureader,30,7,751,434.2731833654177,0.5782598979566148
k,range_contraction,dureader,31,0,751,418.54531510557706,0.5573173303669469
k,range_contraction,dureader,31,1,751,448.2762860588597,0.5969058402914243
k,range_contraction,dureader,31,2,751,388.47868240574564,0.5172818673844816
k,range_contraction,dureader,31,3,751,384.2699183988991,0.5116776543260974
k,range_contraction,dureader,31,4,751,369.045879805845,0.4914059651209654
k,range_contraction,dureader,31,5,751,452.68271280250707,0.6027732527330321
k,range_contraction,dureader,31,6,751,442.89125370739544,0.5897353577994613
k,range_contraction,dureader,31,7,751,492.1941091524525,0.6553849655824934
k,range_contraction,gsm8k,0,0,10,8.462663568974273,0.8462663568974274
k,range_contraction,gsm8k,0,1,10,8.10728991116665,0.810728991116665
k,range_contraction,gsm8k,0,2,10,9.222198663300546,0.9222198663300546
k,range_contraction,gsm8k,0,3,10,8.402904288312651,0.8402904288312651
k,range_contraction,gsm8k,0,4,10,6.022514951841719,0.602251495184172
k,range_contraction,gsm8k,0,5,10,5.995196927971609,0.5995196927971609
k,range_contraction,gsm8k,0,6,10,7.515298318538781,0.7515298318538781
k,range_contraction,gsm8k,0,7,10,11.250663465149431,1.125066346514943
k,range_contraction,gsm8k,1,0,10,8.230458221023786,0.8230458221023786
k,range_contraction,gsm8k,1,1,10,7.588218609105921,0.7588218609105921
k,range_contraction,gsm8k,1,2,10,5.684401903895752,0.5684401903895753
k,range_contraction,gsm8k,1,3,10,8.8185133680943,0.88185133680943
k,range_contraction,gsm8k,1,4,10,8.610733391951989,0.8610733391951989
k,range_contraction,gsm8k,1,5,10,10.888179000992942,1.0888179000992941
k,range_contraction,gsm8k,1,6,10,9.230591497226813,0.9230591497226813
k,range_contraction,gsm8k,1,7,10,9.345540073058917,0.9345540073058917
k,range_contraction,gsm8k,2,0,10,6.476882454344213,0.6476882454344213
k,range_contraction,gsm8k,2,1,10,6.646038235397479,0.6646038235397479
k,range_contraction,gsm8k,2,2,10,7.4888280929634625,0.7488828092963462
k,range_contraction,gsm8k,2,3,10,6.777094959532793,0.6777094959532792
k,range_contraction,gsm8k,2,4,10,6.924961953683065,0.6924961953683064
k,range_contraction,gsm8k,2,5,10,6.856086291232225,0.6856086291232225
k,range_contraction,gsm8k,2,6,10,7.02375394104711,0.702375394104711
k,range_contraction,gsm8k,2,7,10,8.186081276856838,0.8186081276856838
k,range_contraction,gsm8k,3,0,10,5.3904805537456095,0.5390480553745609
k,range_contraction,gsm8k,3,1,10,8.285683307598173,0.8285683307598173
k,range_contraction,gsm8k,3,2,10,7.756639507781246,0.7756639507781247
k,range_contraction,gsm8k,3,3,10,6.0715333893006305,0.6071533389300631
k,range_contraction,gsm8k,3,4,10,6.872806388127087,0.6872806388127086
k,range_contraction,gsm8k,3,5,10,6.214180306697992,0.6214180306697992
k,range_contraction,gsm8k,3,6,10,6.97489383006481,0.697489383006481
k,range_contraction,gsm8k,3,7,10,6.202434493993119,0.6202434493993119
k,range_contraction,gsm8k,4,0,10,7.509807410592772,0.7509807410592771
k,range_contraction,gsm8k,4,1,10,7.198069867757547,0.7198069867757547
k,range_contraction,gsm8k,4,2,10,6.239116175978965,0.6239116175978965
k,range_contraction,gsm8k,4,3,10,8.631382261211918,0.8631382261211918
k,range_contraction,gsm8k,4,4,10,5.747736023122254,0.5747736023122254
k,range_contraction,gsm8k,4,5,10,6.5604720300565225,0.6560472030056522
k,range_contraction,gsm8k,4,6,10,8.116545950886,0.8116545950885999
k,range_contraction,gsm8k,4,7,10,8.170192449090365,0.8170192449090365
k,range_contraction,gsm8k,5,0,10,6.864557263055417,0.6864557263055417
k,range_contraction,gsm8k,5,1,10,5.990351765493335,0.5990351765493335
k,range_contraction,gsm8k,5,2,10,6.6182557428077775,0.6618255742807777
k,range_contraction,gsm8k,5,3,10,7.148159332871725,0.7148159332871724
k,range_contraction,gsm8k,5,4,10,6.203779227274765,0.6203779227274765
k,range_contraction,gsm8k,5,5,10,6.357112114051828,0.6357112114051828
k,range_contraction,gsm8k,5,6,10,5.597931518763694,0.5597931518763695
k,range_contraction,gsm8k,5,7,10,7.862232166718369,0.7862232166718369
k,range_contraction,gsm8k,6,0,10,8.090183644152773,0.8090183644152773
k,range_contraction,gsm8k,6,1,10,7.389674190816905,0.7389674190816905
k,range_contraction,gsm8k,6,2,10,8.35513396623774,0.8355133966237741
k,range_contraction,gsm8k,6,3,10,7.450706643076588,0.7450706643076588
k,range_contraction,gsm8k,6,4,10,6.613648028098085,0.6613648028098085
k,range_contraction,gsm8k,6,5,10,6.475573040111463,0.6475573040111463
k,range_contraction,gsm8k,6,6,10,6.799369925505671,0.679936992550567
k,range_contraction,gsm8k,6,7,10,7.177391194655344,0.7177391194655345
k,range_contraction,gsm8k,7,0,10,7.503114510759994,0.7503114510759994
k,range_contraction,gsm8k,7,1,10,6.441320254109998,0.6441320254109998
k,range_contraction,gsm8k,7,2,10,6.530273712861755,0.6530273712861755
k,range_contraction,gsm8k,7,3,10,5.450526021680507,0.5450526021680507
k,range_contraction,gsm8k,7,4,10,5.8920682570016005,0.58920682570016
k,range_contraction,gsm8k,7,5,10,7.0880483308300395,0.7088048330830039
k,range_contraction,gsm8k,7,6,10,6.292753358867843,0.6292753358867843
k,range_contraction,gsm8k,7,7,10,7.901743943148655,0.7901743943148655
k,range_contraction,gsm8k,8,0,10,6.899098010505048,0.6899098010505048
k,range_contraction,gsm8k,8,1,10,6.993040036220009,0.6993040036220008
k,range_contraction,gsm8k,8,2,10,6.101264314282833,0.6101264314282833
k,range_contraction,gsm8k,8,3,10,7.305372185255978,0.7305372185255978
k,range_contraction,gsm8k,8,4,10,5.687350900882857,0.5687350900882857
k,range_contraction,gsm8k,8,5,10,6.405492900568333,0.6405492900568334
k,range_contraction,gsm8k,8,6,10,7.375441082290869,0.7375441082290869
k,range_contraction,gsm8k,8,7,10,7.198929211007984,0.7198929211007984
k,range_contraction,gsm8k,9,0,10,6.573632321528729,0.6573632321528728
k,range_contraction,gsm8k,9,1,10,6.684448350968189,0.668444835096819
k,range_contraction,gsm8k,9,2,10,7.660852620624775,0.7660852620624775
k,range_contraction,gsm8k,9,3,10,5.69203429347364,0.569203429347364
k,range_contraction,gsm8k,9,4,10,5.766487666063782,0.5766487666063782
k,range_contraction,gsm8k,9,5,10,6.596450709723922,0.6596450709723922
k,range_contraction,gsm8k,9,6,10,8.065024701318992,0.8065024701318991
k,range_contraction,gsm8k,9,7,10,7.197065161218461,0.7197065161218461
k,range_contraction,gsm8k,10,0,10,6.948332919990051,0.6948332919990051
k,range_contraction,gsm8k,10,1,10,5.816169955205876,0.5816169955205875
k,range_contraction,gsm8k,10,2,10,7.32059393535459,0.732059393535459
k,range_contraction,gsm8k,10,3,10,7.488849291200934,0.7488849291200934
k,range_contraction,gsm8k,10,4,10,6.760916393478917,0.6760916393478917
k,range_contraction,gsm8k,10,5,10,6.982099135633701,0.6982099135633701
k,range_contraction,gsm8k,10,6,10,8.52687150470326,0.8526871504703261
k,range_contraction,gsm8k,10,7,10,7.516849210384915,0.7516849210384915
k,range_contraction,gsm8k,11,0,10,5.617235439349378,0.5617235439349378
k,range_contraction,gsm8k,11,1,10,7.0040746214760325,0.7004074621476033
k,range_contraction,gsm8k,11,2,10,6.464248625122052,0.6464248625122052
k,range_contraction,gsm8k,11,3,10,7.325833938464781,0.7325833938464781
k,range_contraction,gsm8k,11,4,10,5.713307346728696,0.5713307346728695
k,range_contraction,gsm8k,11,5,10,6.652787509973772,0.6652787509973772
k,range_contraction,gsm8k,11,6,10,7.229537894419716,0.7229537894419715
k,range_contraction,gsm8k,11,7,10,6.715547483991621,0.6715547483991621
k,range_contraction,gsm8k,12,0,10,6.008217642757784,0.6008217642757784
k,range_contraction,gsm8k,12,1,10,4.513370697921674,0.4513370697921674
k,range_contraction,gsm8k,12,2,10,5.787071990222337,0.5787071990222337
k,range_contraction,gsm8k,12,3,10,5.9457077891618635,0.5945707789161864
k,range_contraction,gsm8k,12,4,10,5.952030800610181,0.5952030800610182
k,range_contraction,gsm8k,12,5,10,4.993585253031581,0.4993585253031581
k,range_contraction,gsm8k,12,6,10,6.945082533556224,0.6945082533556224
k,range_contraction,gsm8k,12,7,10,7.076297656558531,0.7076297656558531
k,range_contraction,gsm8k,13,0,10,5.646622001091901,0.5646622001091901
k,range_contraction,gsm8k,13,1,10,5.756357488063973,0.5756357488063972
k,range_contraction,gsm8k,13,2,10,6.230594809304016,0.6230594809304015
k,range_contraction,gsm8k,13,3,10,6.254458792854731,0.6254458792854731
k,range_contraction,gsm8k,13,4,10,5.8639830796209225,0.5863983079620922
k,range_contraction,gsm8k,13,5,10,5.426006560077303,0.5426006560077303
k,range_contraction,gsm8k,13,6,10,6.848634528124733,0.6848634528124733
k,range_contraction,gsm8k,13,7,10,6.59157610168675,0.6591576101686749
k,range_contraction,gsm8k,14,0,10,6.708838605646502,0.6708838605646502
k,range_contraction,gsm8k,14,1,10,6.77317639275863,0.6773176392758631
k,range_contraction,gsm8k,14,2,10,7.968676081463046,0.7968676081463046
k,range_contraction,gsm8k,14,3,10,6.033871236880929,0.6033871236880929
k,range_contraction,gsm8k,14,4,10,5.955489693804141,0.5955489693804141
k,range_contraction,gsm8k,14,5,10,6.079602798714338,0.6079602798714338
k,range_contraction,gsm8k,14,6,10,8.663524109949332,0.8663524109949332
k,range_contraction,gsm8k,14,7,10,5.687744885586177,0.5687744885586177
k,range_contraction,gsm8k,15,0,10,5.664625444689399,0.56646254446894
k,range_contraction,gsm8k,15,1,10,5.859712388825812,0.5859712388825812
k,range_contraction,gsm8k,15,2,10,5.3936794889059625,0.5393679488905962
k,range_contraction,gsm8k,15,3,10,5.7352367428885636,0.5735236742888563
k,range_contraction,gsm8k,15,4,10,6.225155667109873,0.6225155667109873
k,range_contraction,gsm8k,15,5,10,5.863772169384099,0.5863772169384098
k,range_contraction,gsm8k,15,6,10,6.248996776730272,0.6248996776730272
k,range_contraction,gsm8k,15,7,10,7.284571507780128,0.7284571507780128
k,range_contraction,gsm8k,16,0,10,5.6974157468269215,0.5697415746826922
k,range_contraction,gsm8k,16,1,10,5.612056289266054,0.5612056289266054
k,range_contraction,gsm8k,16,2,10,5.657413547799759,0.5657413547799759
k,range_contraction,gsm8k,16,3,10,5.14841119396674,0.514841119396674
k,range_contraction,gsm8k,16,4,10,5.5422128094244005,0.55422128094244
k,range_contraction,gsm8k,16,5,10,5.641942249211751,0.5641942249211751
k,range_contraction,gsm8k,16,6,10,6.313493337954881,0.6313493337954881
