kv_type,metric,layer,kv_head,count,contrib,weighted_mean
k,range_contraction,9,2,3241,1743.4184704946751,0.5379260939508408
k,range_contraction,9,3,3241,2239.413080786139,0.69096361641041
k,range_contraction,9,4,3241,1754.647293728417,0.541390710807904
k,range_contraction,9,5,3241,2208.9251682769045,0.6815566702489677
k,range_contraction,9,6,3241,2059.863212579564,0.635564089040285
k,range_contraction,9,7,3241,2081.874523711761,0.6423556074396054
k,range_contraction,10,0,3241,1923.7832057212552,0.5935770458874592
k,range_contraction,10,1,3241,1679.599385191685,0.5182349229224577
k,range_contraction,10,2,3241,2312.1777823218536,0.7134149282079153
k,range_contraction,10,3,3241,2315.5770731251987,0.7144637683200242
k,range_contraction,10,4,3241,2259.593443449032,0.6971902016195717
k,range_contraction,10,5,3241,1775.6740916211204,0.5478784608519347
k,range_contraction,10,6,3241,2112.21622060613,0.6517174392490372
k,range_contraction,10,7,3241,2025.7177859565265,0.6250286288048523
k,range_contraction,11,0,3241,1739.7250025533178,0.5367864864403943
k,range_contraction,11,1,3241,2277.17929831119,0.7026162598923759
k,range_contraction,11,2,3241,1723.791757521857,0.5318703355513289
k,range_contraction,11,3,3241,1999.2982525169828,0.6168769677621051
k,range_contraction,11,4,3241,1674.3853238887489,0.516626141280083
k,range_contraction,11,5,3241,1691.1292876005668,0.5217924367789469
k,range_contraction,11,6,3241,1809.719685220408,0.5583831179328628
k,range_contraction,11,7,3241,1925.5684260797912,0.594127869817893
k,range_contraction,12,0,3241,1713.9157966332502,0.5288231399670628
k,range_contraction,12,1,3241,1414.3371778254757,0.43638913231270465
k,range_contraction,12,2,3241,1504.66656289796,0.4642599700394816
k,range_contraction,12,3,3241,1789.4883902172949,0.5521408177159194
k,range_contraction,12,4,3241,1793.4603304247098,0.553366346937584
k,range_contraction,12,5,3241,1561.2562525117878,0.4817205345608725
k,range_contraction,12,6,3241,1849.6502417261863,0.5707035611620446
k,range_contraction,12,7,3241,1603.5768674681717,0.49477842254494653
k,range_contraction,13,0,3241,2159.019904595523,0.6661585635901027
k,range_contraction,13,1,3241,1884.9505411174305,0.5815953536308024
k,range_contraction,13,2,3241,2356.8114594023987,0.7271865039809932
k,range_contraction,13,3,3241,2272.9370567984083,0.7013073300828165
k,range_contraction,13,4,3241,2085.486383960543,0.6434700351621546
k,range_contraction,13,5,3241,2177.2017249641044,0.6717685050799458
k,range_contraction,13,6,3241,1657.998474822825,0.5115700323427415
k,range_contraction,13,7,3241,1525.335209546614,0.4706372136830034
k,range_contraction,14,0,3241,1875.5925176307285,0.5787079659459206
k,range_contraction,14,1,3241,2019.3217698786566,0.6230551588641334
k,range_contraction,14,2,3241,1948.367508375802,0.6011624524454804
k,range_contraction,14,3,3241,1956.2769318021487,0.6036028792971764
k,range_contraction,14,4,3241,1783.9565923455825,0.5504339994895349
k,range_contraction,14,5,3241,2287.923316742116,0.7059312918056514
k,range_contraction,14,6,3241,2002.739675892183,0.6179388077421114
k,range_contraction,14,7,3241,2135.607730672135,0.6589348135366044
k,range_contraction,15,0,3241,2027.3489209769632,0.6255319102057894
k,range_contraction,15,1,3241,1746.098617721624,0.5387530446533859
k,range_contraction,15,2,3241,1980.3308561984613,0.6110246393700899
k,range_contraction,15,3,3241,2133.7533536337946,0.6583626515377337
k,range_contraction,15,4,3241,2140.8506708915324,0.6605525056746475
k,range_contraction,15,5,3241,1931.4212356500125,0.5959337351589055
k,range_contraction,15,6,3241,1941.444438083374,0.5990263616425098
k,range_contraction,15,7,3241,2163.524518239029,0.6675484474665316
k,range_contraction,16,0,3241,2045.900948047058,0.6312560777682993
k,range_contraction,16,1,3241,1433.3113564387795,0.44224355335969745
k,range_contraction,16,2,3241,2225.1467379788087,0.6865617827765531
k,range_contraction,16,3,3241,1448.3638023789536,0.44688793655629544
k,range_contraction,16,4,3241,1957.9946168229526,0.6041328654189918
k,range_contraction,16,5,3241,2012.2525776991863,0.6208739826285672
k,range_contraction,16,6,3241,2343.029684235188,0.722934182115146
k,range_contraction,16,7,3241,1715.6985372479705,0.5293731987806142
k,range_contraction,17,0,3241,2006.3711957322091,0.6190593013675437
k,range_contraction,17,1,3241,1699.5319856062742,0.5243850618964129
k,range_contraction,17,2,3241,1940.8890900812846,0.5988550108242162
k,range_contraction,17,3,3241,1515.723127945294,0.46767143719385806
k,range_contraction,17,4,3241,1667.9654772690762,0.5146453185032632
k,range_contraction,17,5,3241,1781.7010958399987,0.5497380733847574
k,range_contraction,17,6,3241,2181.7110639664506,0.673159846950463
k,range_contraction,17,7,3241,2048.404854074138,0.6320286498223195
k,range_contraction,18,0,3241,1779.7553996964018,0.5491377351732187
k,range_contraction,18,1,3241,1951.9019694013164,0.6022529988896379
k,range_contraction,18,2,3241,1910.80599431327,0.5895729695505307
k,range_contraction,18,3,3241,1550.9408594710317,0.47853775361648615
k,range_contraction,18,4,3241,2094.676930391775,0.6463057483467372
k,range_contraction,18,5,3241,2207.4133028235433,0.6810901890847094
k,range_contraction,18,6,3241,1622.7495407896142,0.5006940884880019
k,range_contraction,18,7,3241,1723.3232560966032,0.5317257809616178
k,range_contraction,19,0,3241,1990.8219689687387,0.6142616380650228
k,range_contraction,19,1,3241,1634.4138868376958,0.5042930844917297
k,range_contraction,19,2,3241,1691.1520416387962,0.5217994574633743
k,range_contraction,19,3,3241,1966.0192323054528,0.6066088344046445
k,range_contraction,19,4,3241,1813.2699816018596,0.5594785503245479
k,range_contraction,19,5,3241,1719.1821318326636,0.5304480505500351
k,range_contraction,19,6,3241,1765.3020536189163,0.5446782022890825
k,range_contraction,19,7,3241,1577.2914183075463,0.4866681327699927
k,range_contraction,20,0,3241,2519.3670945905037,0.7773425160723554
k,range_contraction,20,1,3241,1480.3267122787859,0.45674998836124214
k,range_contraction,20,2,3241,1598.7387602224849,0.49328564030314254
k,range_contraction,20,3,3241,2210.5568776386317,0.6820601288610403
k,range_contraction,20,4,3241,1523.0284740773297,0.46992547796276757
k,range_contraction,20,5,3241,1731.3324954746909,0.5341970057003057
k,range_contraction,20,6,3241,2177.053106631516,0.6717226493772034
k,range_contraction,20,7,3241,1762.8785734957812,0.5439304453859245
k,range_contraction,21,0,3241,1890.029511433296,0.5831624533888602
k,range_contraction,21,1,3241,2100.0456630815843,0.64796225334205
k,range_contraction,21,2,3241,1580.2114738499947,0.4875691064023433
k,range_contraction,21,3,3241,1990.7224241216657,0.6142309238264936
k,range_contraction,21,4,3241,1844.2499751116281,0.5690373264768985
k,range_contraction,21,5,3241,1861.0780300187232,0.5742295680403342
k,range_contraction,21,6,3241,1704.4420530944585,0.5259000472367968
k,range_contraction,21,7,3241,2200.228095663647,0.6788732168045809
k,range_contraction,22,0,3241,2282.54810000536,0.7042727861787597
k,range_contraction,22,1,3241,1514.3810854315957,0.4672573543448305
k,range_contraction,22,2,3241,1901.4793897497873,0.5866952760721343
k,range_contraction,22,3,3241,2194.3789454933685,0.677068480559509
k,range_contraction,22,4,3241,1592.1156325924271,0.49124209583228234
k,range_contraction,22,5,3241,1880.5211666460514,0.5802286845560171
k,range_contraction,22,6,3241,1535.5198288206445,0.4737796448073572
k,range_contraction,22,7,3241,2124.0269053269317,0.6553615875738759
k,range_contraction,23,0,3241,1259.111072408475,0.38849462277336466
k,range_contraction,23,1,3241,2113.3358289611474,0.6520628907624645
k,range_contraction,23,2,3241,1393.0894763109513,0.42983322317523953
k,range_contraction,23,3,3241,2286.139758946378,0.7053809808535569
k,range_contraction,23,4,3241,1398.2892750432923,0.43143760414788407
k,range_contraction,23,5,3241,1919.010094515272,0.5921043179621327
k,range_contraction,23,6,3241,1820.3704103019759,0.5616693644868793
k,range_contraction,23,7,3241,2171.1060596979787,0.6698877074044982
k,range_contraction,24,0,3241,1383.3065604888898,0.4268147363433785
k,range_contraction,24,1,3241,1440.4744522869603,0.44445370326657213
k,range_contraction,24,2,3241,1495.8258681079624,0.46153220243997606
k,range_contraction,24,3,3241,1328.193970023298,0.4098099259559698
k,range_contraction,24,4,3241,2445.0930116244003,0.754425489547794
k,range_contraction,24,5,3241,2220.555972893975,0.68514531715334
k,range_contraction,24,6,3241,2157.806082887507,0.6657840428532881
k,range_contraction,24,7,3241,1662.8717315993495,0.5130736598578678
k,range_contraction,25,0,3241,1548.2676167098218,0.4777129332643696
k,range_contraction,25,1,3241,2433.932079990011,0.7509818204227124
k,range_contraction,25,2,3241,1389.3215845104742,0.4286706524253237
k,range_contraction,25,3,3241,2514.4533573866515,0.7758263984531476
k,range_contraction,25,4,3241,1380.6353802377596,0.4259905523720332
k,range_contraction,25,5,3241,1392.8458885553123,0.4297580649661562
k,range_contraction,25,6,3241,1564.9417610398386,0.4828576862202526
k,range_contraction,25,7,3241,1568.462539507808,0.48394401095581857
k,range_contraction,26,0,3241,1584.3443735729438,0.4888442991585757
k,range_contraction,26,1,3241,1423.0648617844631,0.43908203078817126
k,range_contraction,26,2,3241,1521.8931932253645,0.4695751907514238
k,range_contraction,26,3,3241,2379.8075487941005,0.7342818725066648
k,range_contraction,26,4,3241,1664.9550641028666,0.5137164653202303
k,range_contraction,26,5,3241,1369.3500826605268,0.42250851054011934
k,range_contraction,26,6,3241,1388.7264176925382,0.42848701564101765
k,range_contraction,26,7,3241,2119.225550568537,0.6538801451923903
k,range_contraction,27,0,3241,1632.6173091682913,0.5037387562999973
k,range_contraction,27,1,3241,2558.292907556749,0.7893529489530234
k,range_contraction,27,2,3241,1977.2598234072966,0.6100770821991042
k,range_contraction,27,3,3241,1637.9354268834047,0.5053796442096281
k,range_contraction,27,4,3241,1541.8260810554868,0.4757254184065063
k,range_contraction,27,5,3241,2254.795031708959,0.6957096672968093
k,range_contraction,27,6,3241,1686.9506071512023,0.520503118528603
k,range_contraction,27,7,3241,1759.2912785129388,0.5428235971962169
k,range_contraction,28,0,3241,1776.0845619655402,0.5480051101405554
k,range_contraction,28,1,3241,1442.5283835796633,0.4450874370810439
k,range_contraction,28,2,3241,1487.5017565310436,0.4589638249093007
k,range_contraction,28,3,3241,1788.8509046579898,0.5519441236217185
k,range_contraction,28,4,3241,1357.4889537286876,0.4188487978181696
k,range_contraction,28,5,3241,1325.876442492166,0.40909486038018084
k,range_contraction,28,6,3241,1971.4764827315016,0.6082926512593341
k,range_contraction,28,7,3241,1504.0582895518946,0.4640722892785852
k,range_contraction,29,0,3241,1508.3205409256948,0.46538739306562626
k,range_contraction,29,1,3241,1488.0123081447362,0.4591213539477742
k,range_contraction,29,2,3241,1602.6974687456018,0.4945070869316883
k,range_contraction,29,3,3241,1503.201617060558,0.4638079657699963
k,range_contraction,29,4,3241,1300.2061921729369,0.4011743882051641
k,range_contraction,29,5,3241,1856.138571092806,0.5727055140675119
k,range_contraction,29,6,3241,1020.0435230312821,0.31473110861810616
k,range_contraction,29,7,3241,1412.6879016854348,0.4358802535283662
k,range_contraction,30,0,3241,1761.825831785368,0.5436056253580278
k,range_contraction,30,1,3241,1562.9702584172862,0.4822493855036366
k,range_contraction,30,2,3241,1698.859254686088,0.5241774929608417
k,range_contraction,30,3,3241,2069.7396180733667,0.6386114218060372
k,range_contraction,30,4,3241,1758.0051854758444,0.5424267773760705
k,range_contraction,30,5,3241,2057.6423167057287,0.6348788388478027
k,range_contraction,30,6,3241,1961.4301966791913,0.6051929024002441
k,range_contraction,30,7,3241,1877.8029018609761,0.579389972804991
k,range_contraction,31,0,3241,1745.3276701409127,0.5385151712869215
k,range_contraction,31,1,3241,2003.352681193067,0.6181279485322638
k,range_contraction,31,2,3241,1611.482767178607,0.49721776216556834
k,range_contraction,31,3,3241,1737.118652025652,0.5359823054691922
k,range_contraction,31,4,3241,1605.550603737994,0.4953874124461567
k,range_contraction,31,5,3241,1898.8014363458412,0.5858690022665354
k,range_contraction,31,6,3241,1801.7737031616032,0.5559314110341262
k,range_contraction,31,7,3241,1998.945999907551,0.6167682813661064
k,relative_benefit,0,0,3241,540.3190885247471,0.1667136959348186
k,relative_benefit,0,1,3241,78.49870121597374,0.024220518733716057
k,relative_benefit,0,2,3241,538.4108215305561,0.1661249063654909
k,relative_benefit,0,3,3241,560.0458507038455,0.17280032419125133
k,relative_benefit,0,4,3241,243.54623369582856,0.07514539762290298
k,relative_benefit,0,5,3241,799.3921635347428,0.24664984990272842
k,relative_benefit,0,6,3241,129.52901311782335,0.03996575535878536
k,relative_benefit,0,7,3241,810.0226811966104,0.24992986152317506
k,relative_benefit,1,0,3241,129.51528445248772,0.03996151942378517
k,relative_benefit,1,1,3241,457.42945769304777,0.1411383701613847
k,relative_benefit,1,2,3241,-3.4191382918812585,-0.0010549639900898668
k,relative_benefit,1,3,3241,468.1676508599417,0.14445160470840535
k,relative_benefit,1,4,3241,523.2383261111984,0.16144348229287206
k,relative_benefit,1,5,3241,-51.293566346622356,-0.015826462927066447
k,relative_benefit,1,6,3241,382.7644422250863,0.11810072268592604
k,relative_benefit,1,7,3241,124.58684384474473,0.038440865117169
k,relative_benefit,2,0,3241,139.6347785541381,0.04308385638819442
k,relative_benefit,2,1,3241,16.981850784187944,0.0052396947806812545
k,relative_benefit,2,2,3241,41.02529533485329,0.012658221331333937
k,relative_benefit,2,3,3241,460.501230525669,0.14208615566975286
k,relative_benefit,2,4,3241,36.00436436719788,0.011109029425238469
k,relative_benefit,2,5,3241,554.841912634865,0.17119466603976088
k,relative_benefit,2,6,3241,130.76327946094196,0.04034658422121011
k,relative_benefit,2,7,3241,32.74634386739874,0.010103777805430035
k,relative_benefit,3,0,3241,22.614156337779974,0.0069775243251403805
k,relative_benefit,3,1,3241,105.85693016885193,0.03266181122149088
k,relative_benefit,3,2,3241,46.05633033249655,0.014210530802991839
k,relative_benefit,3,3,3241,29.99765742017396,0.009255679549575428
k,relative_benefit,3,4,3241,144.92057502269896,0.044714771682412516
k,relative_benefit,3,5,3241,84.72440882210394,0.02614144054986237
k,relative_benefit,3,6,3241,173.19326691264163,0.05343821873268795
k,relative_benefit,3,7,3241,44.48914957768872,0.013726982282532774
k,relative_benefit,4,0,3241,76.15767900348973,0.02349820395047508
k,relative_benefit,4,1,3241,35.152805067930004,0.010846283575418081
k,relative_benefit,4,2,3241,57.98100125796261,0.0178898492002353
k,relative_benefit,4,3,3241,42.426201198944135,0.013090466275515007
k,relative_benefit,4,4,3241,15.478755709984494,0.004775919688363004
k,relative_benefit,4,5,3241,15.37174187613802,0.004742900918277698
k,relative_benefit,4,6,3241,94.71467453880977,0.029223904516757104
k,relative_benefit,4,7,3241,110.23729720077048,0.034013359210358064
k,relative_benefit,5,0,3241,74.10668084069292,0.022865375143688034
k,relative_benefit,5,1,3241,71.53946462069304,0.022073268935727565
k,relative_benefit,5,2,3241,452.2426697924271,0.13953800363851498
k,relative_benefit,5,3,3241,132.87004769177818,0.04099662070094976
k,relative_benefit,5,4,3241,45.38789024490047,0.014004285789848957
k,relative_benefit,5,5,3241,100.2231446997784,0.030923525053927307
k,relative_benefit,5,6,3241,32.980999554736876,0.010176180053914494
k,relative_benefit,5,7,3241,145.70841529732928,0.04495785723459712
k,relative_benefit,6,0,3241,57.026186603180534,0.01759524424658455
k,relative_benefit,6,1,3241,33.97715251045024,0.01048353980575447
k,relative_benefit,6,2,3241,121.18765789778075,0.03739205735815512
k,relative_benefit,6,3,3241,123.07223481701402,0.03797353743196977
k,relative_benefit,6,4,3241,52.851283472431,0.016307091475603518
k,relative_benefit,6,5,3241,35.36337788870615,0.01091125513381862
k,relative_benefit,6,6,3241,120.34767646950303,0.03713288382274083
k,relative_benefit,6,7,3241,63.96984060344272,0.01973768608560405
k,relative_benefit,7,0,3241,85.31864955440194,0.02632479159345941
k,relative_benefit,7,1,3241,72.87147367350258,0.022484255993058495
k,relative_benefit,7,2,3241,85.81848148170027,0.026479013107590335
k,relative_benefit,7,3,3241,101.45918573446797,0.031304901491659355
k,relative_benefit,7,4,3241,110.2636579061927,0.03402149272020756
k,relative_benefit,7,5,3241,83.62217452803037,0.025801349746383945
k,relative_benefit,7,6,3241,37.998062677019156,0.01172417854891057
k,relative_benefit,7,7,3241,96.22219742263587,0.029689045795321157
k,relative_benefit,8,0,3241,56.47740182513595,0.017425918489705632
k,relative_benefit,8,1,3241,35.9428420639552,0.011090046918838383
k,relative_benefit,8,2,3241,120.53020945772846,0.037189203782082215
k,relative_benefit,8,3,3241,65.79887372895108,0.02030202830266926
k,relative_benefit,8,4,3241,91.66344315541001,0.02828245700568035
k,relative_benefit,8,5,3241,110.34244957301074,0.034045803632524144
k,relative_benefit,8,6,3241,124.58854332996263,0.038441389487800876
k,relative_benefit,8,7,3241,195.8619637957984,0.06043257136556569
k,relative_benefit,9,0,3241,242.27034614917744,0.0747517266736123
k,relative_benefit,9,1,3241,173.94505261692262,0.05367017976455496
k,relative_benefit,9,2,3241,83.09820897409412,0.025639681880312903
k,relative_benefit,9,3,3241,191.59939511771987,0.05911736967532239
k,relative_benefit,9,4,3241,145.20687120138362,0.044803107436403464
k,relative_benefit,9,5,3241,115.19128836569386,0.035541897058220875
k,relative_benefit,9,6,3241,76.73227672955905,0.023675494208441544
k,relative_benefit,9,7,3241,129.17404517016936,0.03985623115401708
k,relative_benefit,10,0,3241,281.03433201716786,0.08671222832988826
k,relative_benefit,10,1,3241,314.2135067594859,0.09694955469283736
k,relative_benefit,10,2,3241,126.85020735187365,0.03913921855966481
k,relative_benefit,10,3,3241,64.98928149049489,0.02005223125285248
k,relative_benefit,10,4,3241,307.06777126710006,0.09474476126723236
k,relative_benefit,10,5,3241,139.98793295582462,0.043192821029257825
k,relative_benefit,10,6,3241,154.4673928841936,0.04766041125707917
k,relative_benefit,10,7,3241,99.67338546406963,0.030753898631308122
k,relative_benefit,11,0,3241,189.66071243718096,0.05851919544498024
k,relative_benefit,11,1,3241,394.7071801883524,0.12178561560887147
k,relative_benefit,11,2,3241,150.97534263628,0.04658295052029621
k,relative_benefit,11,3,3241,145.6685322020589,0.04494555143537764
k,relative_benefit,11,4,3241,164.56998822753422,0.05077753416462025
k,relative_benefit,11,5,3241,161.11882581921742,0.04971268923764808
k,relative_benefit,11,6,3241,187.78683979985576,0.05794101814250409
k,relative_benefit,11,7,3241,185.94295778364,0.057372094348546746
k,relative_benefit,12,0,3241,88.27526067117935,0.027237044329274717
k,relative_benefit,12,1,3241,114.88861035882024,0.03544850674446783
k,relative_benefit,12,2,3241,121.39550826709869,0.03745618891302027
k,relative_benefit,12,3,3241,86.54111950941959,0.026701980718734832
k,relative_benefit,12,4,3241,164.09047097680138,0.050629580677815915
k,relative_benefit,12,5,3241,165.6159411820919,0.05110025954399626
k,relative_benefit,12,6,3241,156.79349540241932,0.04837812261722287
k,relative_benefit,12,7,3241,95.27063076655025,0.02939544300109542
k,relative_benefit,13,0,3241,275.1009740837623,0.0848815100536138
k,relative_benefit,13,1,3241,216.32527150958862,0.06674645834914798
k,relative_benefit,13,2,3241,263.28161910558674,0.0812346865490857
k,relative_benefit,13,3,3241,177.4320409395081,0.05474607866075536
k,relative_benefit,13,4,3241,252.23760602056853,0.07782709226182306
k,relative_benefit,13,5,3241,189.4403444728218,0.058451201626912
k,relative_benefit,13,6,3241,158.4927454134301,0.04890242067677572
k,relative_benefit,13,7,3241,175.20723582948756,0.05405962228617327
k,relative_benefit,14,0,3241,230.30169813388648,0.07105883928845617
k,relative_benefit,14,1,3241,207.1098317492773,0.06390306440891
k,relative_benefit,14,2,3241,185.32401866357282,0.05718112269780093
k,relative_benefit,14,3,3241,265.6640816086542,0.08196978759909108
k,relative_benefit,14,4,3241,145.84615053986266,0.04500035499532942
k,relative_benefit,14,5,3241,212.04781407492,0.06542666278152423
k,relative_benefit,14,6,3241,40.604119064285634,0.012528268764049872
k,relative_benefit,14,7,3241,322.9348288931129,0.09964049024779788
k,relative_benefit,15,0,3241,108.6712793764101,0.03353016950830302
k,relative_benefit,15,1,3241,155.22227918421345,0.04789332896766845
k,relative_benefit,15,2,3241,136.53618067896002,0.042127794100265355
k,relative_benefit,15,3,3241,93.06787902459722,0.02871579112144314
k,relative_benefit,15,4,3241,185.50710086180243,0.05723761211410133
k,relative_benefit,15,5,3241,203.32494091653425,0.06273524866292325
k,relative_benefit,15,6,3241,173.9933270145123,0.05368507467278997
k,relative_benefit,15,7,3241,51.962437919833754,0.01603284107369138
k,relative_benefit,16,0,3241,120.73835156388813,0.03725342535140023
k,relative_benefit,16,1,3241,177.59660081231993,0.054796853073841384
k,relative_benefit,16,2,3241,168.3898078382276,0.051956127071344525
k,relative_benefit,16,3,3241,211.2578980297405,0.06518293675709363
k,relative_benefit,16,4,3241,141.72369521154795,0.04372838482306324
k,relative_benefit,16,5,3241,68.2653709502045,0.02106305799142379
k,relative_benefit,16,6,3241,230.02548456137436,0.0709736144897792
k,relative_benefit,16,7,3241,145.35040949403208,0.04484739570935886
k,relative_benefit,17,0,3241,153.48438350619307,0.047357106913357934
k,relative_benefit,17,1,3241,132.85785673918392,0.0409928592222104
k,relative_benefit,17,2,3241,99.24677385580542,0.030622269008270725
k,relative_benefit,17,3,3241,128.1676479419453,0.039545710565240755
k,relative_benefit,17,4,3241,78.1461821499157,0.02411175012339269
k,relative_benefit,17,5,3241,169.62789213863755,0.05233813395206342
k,relative_benefit,17,6,3241,263.93862491184217,0.08143740355194143
k,relative_benefit,17,7,3241,179.41465980373954,0.055357809257556165
k,relative_benefit,18,0,3241,146.37030811887252,0.04516208211011185
k,relative_benefit,18,1,3241,115.69916959914478,0.03569860215956334
k,relative_benefit,18,2,3241,181.98291452827021,0.05615023589270911
k,relative_benefit,18,3,3241,138.56785549544526,0.04275466075144871
k,relative_benefit,18,4,3241,122.53638959407996,0.03780820413269977
k,relative_benefit,18,5,3241,266.34879842960197,0.08218105474532612
k,relative_benefit,18,6,3241,92.75504692700268,0.02861926779605143
k,relative_benefit,18,7,3241,135.4222726591985,0.04178410140672586
k,relative_benefit,19,0,3241,188.35930338731714,0.05811764991895006
k,relative_benefit,19,1,3241,86.71563181944748,0.026755825923927022
k,relative_benefit,19,2,3241,125.79762203914997,0.03881444678776611
k,relative_benefit,19,3,3241,158.54075503165518,0.048917233888199685
k,relative_benefit,19,4,3241,117.03843439137393,0.03611182795167354
k,relative_benefit,19,5,3241,69.4401283167995,0.021425525552853902
k,relative_benefit,19,6,3241,82.68928256904081,0.025513508969157918
k,relative_benefit,19,7,3241,101.68667832866213,0.03137509359107131
k,relative_benefit,20,0,3241,125.33592234312762,0.03867199084946857
k,relative_benefit,20,1,3241,58.83308962286918,0.01815275829153631
k,relative_benefit,20,2,3241,139.3905740420122,0.04300850788090472
k,relative_benefit,20,3,3241,226.83759451100676,0.06999000139185645
k,relative_benefit,20,4,3241,88.18887920705943,0.027210391609706706
k,relative_benefit,20,5,3241,71.14654409965713,0.021952034587984306
k,relative_benefit,20,6,3241,216.3145129660429,0.06674313883555782
k,relative_benefit,20,7,3241,92.21917152740201,0.02845392518586918
k,relative_benefit,21,0,3241,199.24844366668083,0.06147745870616502
