base_auc_median,comparison_type,error_type,hadamard_auc_median,median_delta,metric_name,mode,object_type,paired_n,region,statistic,tasks_improved,tasks_regressed,ties
0.07637225826823851,norm_accumulation_auc,source_state_norm_drift,0.08031288628990291,-0.000284529381897429,abs_log_norm_ratio,,hidden,6,all_tokens,p99,3,3,0
0.5645271439570934,norm_accumulation_auc,source_state_norm_drift,0.536076578166103,-0.03967581316828728,abs_log_norm_ratio,,k_source,6,all_tokens,max,6,0,0
0.01871712184089013,norm_accumulation_auc,source_state_norm_drift,0.019429089667881892,0.0004096159401942318,abs_log_norm_ratio,,k_source,6,all_tokens,mean,2,4,0
0.009710157685731247,norm_accumulation_auc,source_state_norm_drift,0.010349017213229672,0.00042395775381010026,abs_log_norm_ratio,,k_source,6,all_tokens,p50,2,4,0
0.045594695826730494,norm_accumulation_auc,source_state_norm_drift,0.04662491751732889,0.00032728756777939544,abs_log_norm_ratio,,k_source,6,all_tokens,p90,3,3,0
0.06400891106859487,norm_accumulation_auc,source_state_norm_drift,0.06383461305995294,0.0006107615074142855,abs_log_norm_ratio,,k_source,6,all_tokens,p95,2,4,0
0.13180712566259897,norm_accumulation_auc,source_state_norm_drift,0.12359946742959418,-0.0042222372628749685,abs_log_norm_ratio,,k_source,6,all_tokens,p99,4,2,0
0.07429305464029312,norm_accumulation_auc,representation_norm_error,0.06506851315498352,-0.0092245414853096,abs_log_norm_ratio,,k_stored,1,packed_history,max,1,0,0
0.02897711565989873,norm_accumulation_auc,representation_norm_error,0.033431767481950356,0.004454651822051625,abs_log_norm_ratio,,k_stored,1,packed_history,mean,0,1,0
0.02986838109791279,norm_accumulation_auc,representation_norm_error,0.0330269280821085,0.0031585469841957092,abs_log_norm_ratio,,k_stored,1,packed_history,p50,0,1,0
0.041698867827653904,norm_accumulation_auc,representation_norm_error,0.05310707539319995,0.011408207565546044,abs_log_norm_ratio,,k_stored,1,packed_history,p90,0,1,0
0.04361088760197154,norm_accumulation_auc,representation_norm_error,0.05321782436221837,0.009606936760246827,abs_log_norm_ratio,,k_stored,1,packed_history,p95,0,1,0
0.0412390607967974,norm_accumulation_auc,representation_norm_error,0.0579132561385633,0.016674195341765903,abs_log_norm_ratio,,k_stored,1,packed_history,p99,0,1,0
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,k_stored,6,pending_history,max,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,k_stored,6,pending_history,mean,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,k_stored,6,pending_history,p50,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,k_stored,6,pending_history,p90,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,k_stored,6,pending_history,p95,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,k_stored,6,pending_history,p99,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,k_stored,6,recent,max,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,k_stored,6,recent,mean,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,k_stored,6,recent,p50,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,k_stored,6,recent,p90,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,k_stored,6,recent,p95,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,k_stored,6,recent,p99,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,k_stored,6,sink,max,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,k_stored,6,sink,mean,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,k_stored,6,sink,p50,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,k_stored,6,sink,p90,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,k_stored,6,sink,p95,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,k_stored,6,sink,p99,0,0,6
0.2701913043856621,norm_accumulation_auc,stored_norm_error,0.19844403117895126,-0.07174727320671082,abs_log_norm_ratio,,k_stored,1,packed_history,max,1,0,0
0.03534877533341034,norm_accumulation_auc,stored_norm_error,0.03740326206700129,0.002054486733590953,abs_log_norm_ratio,,k_stored,1,packed_history,mean,0,1,0
0.03523902129381895,norm_accumulation_auc,stored_norm_error,0.036381918005645275,0.0011428967118263245,abs_log_norm_ratio,,k_stored,1,packed_history,p50,0,1,0
0.0541482374072075,norm_accumulation_auc,stored_norm_error,0.05895233824849132,0.004804100841283819,abs_log_norm_ratio,,k_stored,1,packed_history,p90,0,1,0
0.05937539190053939,norm_accumulation_auc,stored_norm_error,0.06239742189645765,0.00302202999591826,abs_log_norm_ratio,,k_stored,1,packed_history,p95,0,1,0
0.07267661042511453,norm_accumulation_auc,stored_norm_error,0.07665541693568226,0.003978806510567728,abs_log_norm_ratio,,k_stored,1,packed_history,p99,0,1,0
0.3029439082602039,norm_accumulation_auc,stored_norm_error,0.2753161774016917,-0.017712173517793417,abs_log_norm_ratio,,k_stored,6,pending_history,max,4,2,0
0.02787579794013094,norm_accumulation_auc,stored_norm_error,0.029549254173151462,0.0021673614126628514,abs_log_norm_ratio,,k_stored,6,pending_history,mean,2,4,0
0.020433995659004722,norm_accumulation_auc,stored_norm_error,0.020997188103137887,0.001350002276012674,abs_log_norm_ratio,,k_stored,6,pending_history,p50,1,5,0
0.05696607528516325,norm_accumulation_auc,stored_norm_error,0.05957307855205729,0.004242950328625747,abs_log_norm_ratio,,k_stored,6,pending_history,p90,2,4,0
0.07749886715610044,norm_accumulation_auc,stored_norm_error,0.07842334580200258,0.0009244786459021437,abs_log_norm_ratio,,k_stored,6,pending_history,p95,1,5,0
0.1474695712269748,norm_accumulation_auc,stored_norm_error,0.14936172455592875,-0.008456070907414043,abs_log_norm_ratio,,k_stored,6,pending_history,p99,4,2,0
0.3308759057545103,norm_accumulation_auc,stored_norm_error,0.3421609751530923,-0.012841231189668179,abs_log_norm_ratio,,k_stored,6,recent,max,4,2,0
0.029104625460008863,norm_accumulation_auc,stored_norm_error,0.029947983084893534,0.000871966418884984,abs_log_norm_ratio,,k_stored,6,recent,mean,2,4,0
0.02015549202042166,norm_accumulation_auc,stored_norm_error,0.022118954442703398,0.0005134564125910401,abs_log_norm_ratio,,k_stored,6,recent,p50,1,5,0
0.06278194416663611,norm_accumulation_auc,stored_norm_error,0.06140598625934218,0.0009900190401822377,abs_log_norm_ratio,,k_stored,6,recent,p90,2,4,0
0.08465074679952518,norm_accumulation_auc,stored_norm_error,0.08323059049689616,-0.0005852534552104396,abs_log_norm_ratio,,k_stored,6,recent,p95,3,3,0
0.16249300847222903,norm_accumulation_auc,stored_norm_error,0.157022524148342,-0.001177597176283629,abs_log_norm_ratio,,k_stored,6,recent,p99,3,3,0
-0.00027093300013802946,norm_accumulation_auc,stored_norm_error,-0.00027093300013802946,0.0,abs_log_norm_ratio,,k_stored,6,sink,max,0,0,6
3.079432025843154e-05,norm_accumulation_auc,stored_norm_error,3.079432025843154e-05,0.0,abs_log_norm_ratio,,k_stored,6,sink,mean,0,0,6
-9.335333743365481e-06,norm_accumulation_auc,stored_norm_error,-9.335333743365481e-06,0.0,abs_log_norm_ratio,,k_stored,6,sink,p50,0,0,6
0.00015968488223734288,norm_accumulation_auc,stored_norm_error,0.00015968488223734288,0.0,abs_log_norm_ratio,,k_stored,6,sink,p90,0,0,6
8.931089287216387e-05,norm_accumulation_auc,stored_norm_error,8.931089287216387e-05,0.0,abs_log_norm_ratio,,k_stored,6,sink,p95,0,0,6
1.2520778109319336e-05,norm_accumulation_auc,stored_norm_error,1.2520778109319336e-05,0.0,abs_log_norm_ratio,,k_stored,6,sink,p99,0,0,6
0.5153489370131865,norm_accumulation_auc,source_state_norm_drift,0.5000390541390516,-0.022986765950918198,abs_log_norm_ratio,,q_source,6,all_tokens,max,5,1,0
0.01876779277760673,norm_accumulation_auc,source_state_norm_drift,0.020367979550421012,0.0015547157940035208,abs_log_norm_ratio,,q_source,6,all_tokens,mean,1,5,0
0.0116988633035362,norm_accumulation_auc,source_state_norm_drift,0.013201629593822872,0.0018275518195878249,abs_log_norm_ratio,,q_source,6,all_tokens,p50,0,6,0
0.04403047534433426,norm_accumulation_auc,source_state_norm_drift,0.04664149239470135,0.0029360133106820265,abs_log_norm_ratio,,q_source,6,all_tokens,p90,1,5,0
0.05765817577193955,norm_accumulation_auc,source_state_norm_drift,0.06021925180393735,0.002915325315552768,abs_log_norm_ratio,,q_source,6,all_tokens,p95,1,5,0
0.10310719836168569,norm_accumulation_auc,source_state_norm_drift,0.10545202053748659,0.0018572002579459526,abs_log_norm_ratio,,q_source,6,all_tokens,p99,2,4,0
0.8248411418753676,norm_accumulation_auc,source_state_norm_drift,0.9560851411661133,0.034519802778959274,abs_log_norm_ratio,,v_source,6,all_tokens,max,2,4,0
0.03479103181470506,norm_accumulation_auc,source_state_norm_drift,0.036029578602884776,0.0007143896360695505,abs_log_norm_ratio,,v_source,6,all_tokens,mean,2,4,0
0.01802740301900485,norm_accumulation_auc,source_state_norm_drift,0.0185888796531799,0.000561476634175051,abs_log_norm_ratio,,v_source,6,all_tokens,p50,1,5,0
0.08723649954481517,norm_accumulation_auc,source_state_norm_drift,0.09044964934291785,0.001873967493884257,abs_log_norm_ratio,,v_source,6,all_tokens,p90,1,5,0
0.12058194841156361,norm_accumulation_auc,source_state_norm_drift,0.12391698181163519,0.002181730885058644,abs_log_norm_ratio,,v_source,6,all_tokens,p95,2,4,0
0.22884123673429702,norm_accumulation_auc,source_state_norm_drift,0.23343194378219745,0.0013991312682624935,abs_log_norm_ratio,,v_source,6,all_tokens,p99,3,3,0
-0.22766444087028503,norm_accumulation_auc,representation_norm_error,0.18587175011634827,0.4135361909866333,abs_log_norm_ratio,,v_stored,1,packed_history,max,0,1,0
0.056356962324119124,norm_accumulation_auc,representation_norm_error,0.09225380546664874,0.03589684314252962,abs_log_norm_ratio,,v_stored,1,packed_history,mean,0,1,0
0.07333352975547314,norm_accumulation_auc,representation_norm_error,0.10335138998925686,0.030017860233783722,abs_log_norm_ratio,,v_stored,1,packed_history,p50,0,1,0
0.04563769921660421,norm_accumulation_auc,representation_norm_error,0.10693990960717198,0.06130221039056777,abs_log_norm_ratio,,v_stored,1,packed_history,p90,0,1,0
0.02910433933138855,norm_accumulation_auc,representation_norm_error,0.1070722542703152,0.07796791493892666,abs_log_norm_ratio,,v_stored,1,packed_history,p95,0,1,0
-0.023896606266498907,norm_accumulation_auc,representation_norm_error,0.08837750643491783,0.11227411270141674,abs_log_norm_ratio,,v_stored,1,packed_history,p99,0,1,0
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,v_stored,6,pending_history,max,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,v_stored,6,pending_history,mean,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,v_stored,6,pending_history,p50,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,v_stored,6,pending_history,p90,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,v_stored,6,pending_history,p95,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,v_stored,6,pending_history,p99,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,v_stored,6,recent,max,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,v_stored,6,recent,mean,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,v_stored,6,recent,p50,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,v_stored,6,recent,p90,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,v_stored,6,recent,p95,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,v_stored,6,recent,p99,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,v_stored,6,sink,max,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,v_stored,6,sink,mean,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,v_stored,6,sink,p50,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,v_stored,6,sink,p90,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,v_stored,6,sink,p95,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,abs_log_norm_ratio,,v_stored,6,sink,p99,0,0,6
0.5128461718559265,norm_accumulation_auc,stored_norm_error,0.7034165263175964,0.19057035446166992,abs_log_norm_ratio,,v_stored,1,packed_history,max,0,1,0
0.05888688278700832,norm_accumulation_auc,stored_norm_error,0.099155987410603,0.040269104623594676,abs_log_norm_ratio,,v_stored,1,packed_history,mean,0,1,0
0.07444572821259499,norm_accumulation_auc,stored_norm_error,0.10779883153736591,0.03335310332477093,abs_log_norm_ratio,,v_stored,1,packed_history,p50,0,1,0
0.06116219013929364,norm_accumulation_auc,stored_norm_error,0.1288599416613579,0.06769775152206425,abs_log_norm_ratio,,v_stored,1,packed_history,p90,0,1,0
0.051423007622361266,norm_accumulation_auc,stored_norm_error,0.13509880304336552,0.08367579542100426,abs_log_norm_ratio,,v_stored,1,packed_history,p95,0,1,0
0.007228737398982041,norm_accumulation_auc,stored_norm_error,0.12546517245471459,0.11823643505573254,abs_log_norm_ratio,,v_stored,1,packed_history,p99,0,1,0
0.510791469248943,norm_accumulation_auc,stored_norm_error,0.49782751707243733,0.02512006927281618,abs_log_norm_ratio,,v_stored,6,pending_history,max,2,4,0
0.047917748911768684,norm_accumulation_auc,stored_norm_error,0.05050965938528238,0.0015390148055711879,abs_log_norm_ratio,,v_stored,6,pending_history,mean,2,4,0
0.0347085663179314,norm_accumulation_auc,stored_norm_error,0.037197968684267835,0.0008792581502348185,abs_log_norm_ratio,,v_stored,6,pending_history,p50,1,5,0
0.10342211657552981,norm_accumulation_auc,stored_norm_error,0.10617274614123745,-0.00048388401046393914,abs_log_norm_ratio,,v_stored,6,pending_history,p90,3,3,0
0.13722910826909354,norm_accumulation_auc,stored_norm_error,0.14261213283971294,-0.0008676473051309336,abs_log_norm_ratio,,v_stored,6,pending_history,p95,3,3,0
0.241582924302347,norm_accumulation_auc,stored_norm_error,0.27693399446216016,0.008266337988897962,abs_log_norm_ratio,,v_stored,6,pending_history,p99,1,5,0
0.5719211441464722,norm_accumulation_auc,stored_norm_error,0.5807466464757454,0.0331994891166687,abs_log_norm_ratio,,v_stored,6,recent,max,2,4,0
0.051844028352701334,norm_accumulation_auc,stored_norm_error,0.055925666489099246,0.002725387636757892,abs_log_norm_ratio,,v_stored,6,recent,mean,2,4,0
0.03780601941252826,norm_accumulation_auc,stored_norm_error,0.03856122107390547,0.0011494641657918692,abs_log_norm_ratio,,v_stored,6,recent,p50,1,5,0
0.11164472041491538,norm_accumulation_auc,stored_norm_error,0.11892067919325203,0.004876619111746555,abs_log_norm_ratio,,v_stored,6,recent,p90,2,4,0
0.15588882611482385,norm_accumulation_auc,stored_norm_error,0.1603936309475101,0.007763523794710639,abs_log_norm_ratio,,v_stored,6,recent,p95,2,4,0
0.2957006858901876,norm_accumulation_auc,stored_norm_error,0.29710755058273197,0.019697376685216983,abs_log_norm_ratio,,v_stored,6,recent,p99,1,5,0
7.408489182125777e-05,norm_accumulation_auc,stored_norm_error,7.408489182125777e-05,0.0,abs_log_norm_ratio,,v_stored,6,sink,max,0,0,6
7.466820265464302e-05,norm_accumulation_auc,stored_norm_error,7.466820265464302e-05,0.0,abs_log_norm_ratio,,v_stored,6,sink,mean,0,0,6
2.4390099497395568e-05,norm_accumulation_auc,stored_norm_error,2.4390099497395568e-05,0.0,abs_log_norm_ratio,,v_stored,6,sink,p50,0,0,6
0.0002649802554515187,norm_accumulation_auc,stored_norm_error,0.0002649802554515187,0.0,abs_log_norm_ratio,,v_stored,6,sink,p90,0,0,6
0.00036734067252837106,norm_accumulation_auc,stored_norm_error,0.00036734067252837106,0.0,abs_log_norm_ratio,,v_stored,6,sink,p95,0,0,6
0.00040767779806628743,norm_accumulation_auc,stored_norm_error,0.00040767779806628743,0.0,abs_log_norm_ratio,,v_stored,6,sink,p99,0,0,6
1.0611337572336197,norm_accumulation_auc,source_state_norm_drift,0.8704862147569656,-0.055355340242385864,direction_error,,hidden,6,all_tokens,max,3,3,0
0.030303190411620263,norm_accumulation_auc,source_state_norm_drift,0.030222100441227143,-0.00015262344827839634,direction_error,,hidden,6,all_tokens,mean,4,2,0
0.01737968623638153,norm_accumulation_auc,source_state_norm_drift,0.01829826831817627,0.0007741004228591919,direction_error,,hidden,6,all_tokens,p50,1,5,0
0.06003934293985366,norm_accumulation_auc,source_state_norm_drift,0.06032983660697938,0.0014128863811492913,direction_error,,hidden,6,all_tokens,p90,2,4,0
0.08736479952931397,norm_accumulation_auc,source_state_norm_drift,0.09008360877633094,0.001266024261712996,direction_error,,hidden,6,all_tokens,p95,2,4,0
0.2923937547206876,norm_accumulation_auc,source_state_norm_drift,0.2906068873405453,-0.000778593271971828,direction_error,,hidden,6,all_tokens,p99,3,3,0
0.4188072234392166,norm_accumulation_auc,source_state_norm_drift,0.3279811143875122,-0.05123212933540344,direction_error,,k_source,6,all_tokens,max,5,1,0
0.004247267051479402,norm_accumulation_auc,source_state_norm_drift,0.004270883132974907,-0.00012860158871329046,direction_error,,k_source,6,all_tokens,mean,4,2,0
0.001956552267074585,norm_accumulation_auc,source_state_norm_drift,0.0021067187190055847,0.00011499226093292236,direction_error,,k_source,6,all_tokens,p50,1,5,0
0.008070735633373263,norm_accumulation_auc,source_state_norm_drift,0.008023469150066378,0.0001345589756965651,direction_error,,k_source,6,all_tokens,p90,3,3,0
0.012885251641273496,norm_accumulation_auc,source_state_norm_drift,0.012588703632354733,0.00030507594346998804,direction_error,,k_source,6,all_tokens,p95,3,3,0
0.04809891462326067,norm_accumulation_auc,source_state_norm_drift,0.04978344202041625,-0.0015822786092759486,direction_error,,k_source,6,all_tokens,p99,4,2,0
0.11838042736053467,norm_accumulation_auc,representation_norm_error,0.18339303135871887,0.0650126039981842,direction_error,,k_stored,1,packed_history,max,0,1,0
0.01984483056003228,norm_accumulation_auc,representation_norm_error,0.03418548438457947,0.01434065382454719,direction_error,,k_stored,1,packed_history,mean,0,1,0
0.02022966742515564,norm_accumulation_auc,representation_norm_error,0.034974321722984314,0.014744654297828674,direction_error,,k_stored,1,packed_history,p50,0,1,0
0.022724059224128727,norm_accumulation_auc,representation_norm_error,0.04542610645294189,0.022702047228813166,direction_error,,k_stored,1,packed_history,p90,0,1,0
0.02533224225044247,norm_accumulation_auc,representation_norm_error,0.04940744936466224,0.024075207114219767,direction_error,,k_stored,1,packed_history,p95,0,1,0
0.030591338276863084,norm_accumulation_auc,representation_norm_error,0.055432492494583104,0.02484115421772002,direction_error,,k_stored,1,packed_history,p99,0,1,0
5.960464477539063e-08,norm_accumulation_auc,representation_norm_error,8.940696716308594e-08,1.4901161193847656e-08,direction_error,,k_stored,6,pending_history,max,2,3,1
5.7828180656483955e-09,norm_accumulation_auc,representation_norm_error,8.205697087260461e-09,2.8806807358393845e-09,direction_error,,k_stored,6,pending_history,mean,3,3,0
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,direction_error,,k_stored,6,pending_history,p50,0,0,6
2.9802322387695312e-08,norm_accumulation_auc,representation_norm_error,1.639127731323255e-08,0.0,direction_error,,k_stored,6,pending_history,p90,1,0,5
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,direction_error,,k_stored,6,pending_history,p95,0,0,6
5.960464477539063e-08,norm_accumulation_auc,representation_norm_error,4.1574239730832725e-08,-3.129243850710244e-09,direction_error,,k_stored,6,pending_history,p99,3,2,1
2.9802322387695312e-08,norm_accumulation_auc,representation_norm_error,-4.470348358154297e-08,2.9802322387695312e-08,direction_error,,k_stored,6,recent,max,2,3,1
-4.220055416226387e-09,norm_accumulation_auc,representation_norm_error,-8.585629984736443e-10,3.0850060284137726e-09,direction_error,,k_stored,6,recent,mean,2,4,0
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,direction_error,,k_stored,6,recent,p50,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,direction_error,,k_stored,6,recent,p90,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,direction_error,,k_stored,6,recent,p95,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,1.1473894119262424e-08,1.1473894119262424e-08,direction_error,,k_stored,6,recent,p99,1,3,2
5.960464477539063e-08,norm_accumulation_auc,representation_norm_error,5.960464477539063e-08,0.0,direction_error,,k_stored,6,sink,max,0,0,6
-1.7811544239521027e-08,norm_accumulation_auc,representation_norm_error,-1.7811544239521027e-08,0.0,direction_error,,k_stored,6,sink,mean,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,direction_error,,k_stored,6,sink,p50,0,0,6
0.0,norm_accumulation_auc,representation_norm_error,0.0,0.0,direction_error,,k_stored,6,sink,p90,0,0,6
-1.93715095520017e-08,norm_accumulation_auc,representation_norm_error,-1.93715095520017e-08,0.0,direction_error,,k_stored,6,sink,p95,0,0,6
-1.0266900062560994e-07,norm_accumulation_auc,representation_norm_error,-1.0266900062560994e-07,0.0,direction_error,,k_stored,6,sink,p99,0,0,6
0.1575314700603485,norm_accumulation_auc,stored_norm_error,0.352719783782959,0.19518831372261047,direction_error,,k_stored,1,packed_history,max,0,1,0
0.024142597265381482,norm_accumulation_auc,stored_norm_error,0.03807140658955177,0.013928809324170288,direction_error,,k_stored,1,packed_history,mean,0,1,0
0.024005770683288574,norm_accumulation_auc,stored_norm_error,0.03871901333332062,0.014713242650032043,direction_error,,k_stored,1,packed_history,p50,0,1,0
0.029240599274635303,norm_accumulation_auc,stored_norm_error,0.05093961954116821,0.02169902026653291,direction_error,,k_stored,1,packed_history,p90,0,1,0
0.03269162178039548,norm_accumulation_auc,stored_norm_error,0.05535667538642884,0.02266505360603336,direction_error,,k_stored,1,packed_history,p95,0,1,0
0.046628064215183326,norm_accumulation_auc,stored_norm_error,0.06702147126197819,0.020393407046794862,direction_error,,k_stored,1,packed_history,p99,0,1,0
0.1284143626689911,norm_accumulation_auc,stored_norm_error,0.16799986362457275,-0.008776232600212097,direction_error,,k_stored,6,pending_history,max,4,2,0
0.005218066172594591,norm_accumulation_auc,stored_norm_error,0.006244769375003581,-0.0003699525895685253,direction_error,,k_stored,6,pending_history,mean,4,2,0
0.0036436915397644043,norm_accumulation_auc,stored_norm_error,0.003769397735595703,2.7991831302642822e-05,direction_error,,k_stored,6,pending_history,p50,3,3,0
0.0091019943356514,norm_accumulation_auc,stored_norm_error,0.009244832396507271,-0.0001988768577575661,direction_error,,k_stored,6,pending_history,p90,3,3,0
0.013150312751531591,norm_accumulation_auc,stored_norm_error,0.017651426792144768,-8.393302559853068e-05,direction_error,,k_stored,6,pending_history,p95,3,3,0
0.053883247971534376,norm_accumulation_auc,stored_norm_error,0.07064775288104976,0.0030631308257579055,direction_error,,k_stored,6,pending_history,p99,3,3,0
0.19517096877098083,norm_accumulation_auc,stored_norm_error,0.17521673440933228,-0.008754849433898926,direction_error,,k_stored,6,recent,max,4,2,0
0.007113655679859221,norm_accumulation_auc,stored_norm_error,0.007219249164336361,0.00016129040159285069,direction_error,,k_stored,6,recent,mean,2,4,0
0.003591686487197876,norm_accumulation_auc,stored_norm_error,0.0040410831570625305,0.0002896413207054138,direction_error,,k_stored,6,recent,p50,1,5,0
0.011946952342987066,norm_accumulation_auc,stored_norm_error,0.011488634347915652,0.00015340596437454085,direction_error,,k_stored,6,recent,p90,3,3,0
0.02155707105994223,norm_accumulation_auc,stored_norm_error,0.023425795882940262,-5.587786436081314e-05,direction_error,,k_stored,6,recent,p95,3,3,0
0.07802241921424853,norm_accumulation_auc,stored_norm_error,0.06922590777277943,-0.00984490379691124,direction_error,,k_stored,6,recent,p99,4,2,0
