config,task_key,generated_tokens,initial_k_centroid_mean,final_k_centroid_mean,initial_v_centroid_mean,final_v_centroid_mean,k_centroid_updates_total,v_centroid_updates_total,centroid_updates_per_generated_token,packed_k_tokens_mean,packed_v_tokens_mean,k_assignment_tokens_mean,v_assignment_tokens_mean,v_pattern_selected_total,v_pattern_rejected_total,v_pattern_selected_rate
pattern_rolling_k2v2_s0_r256,aime24:p12:s1:seed12043,6095,32.0,78.0,32.0,78.0,1472,1472,0.4830188679245283,5888.0,5888.0,5888.0,5888.0,1009921,497407,0.6700074569038723
pattern_rolling_k2v2_s0_r256,aime24:p14:s0:seed14042,17683,32.0,168.0,32.0,168.0,4352,4352,0.4922241701068823,17408.0,17408.0,17408.0,17408.0,3393445,1063003,0.7614685507381663
pattern_rolling_k2v2_s0_r256,aime24:p15:s0:seed15042,14855,32.0,146.0,32.0,146.0,3648,3648,0.4911477616963985,14592.0,14592.0,14592.0,14592.0,2871221,864331,0.7686202735231634
pattern_rolling_k2v2_s0_r256,aime24:p15:s1:seed15043,4320,32.0,64.0,32.0,64.0,1024,1024,0.4740740740740741,4096.0,4096.0,4096.0,4096.0,715670,332906,0.6825160980224609
pattern_rolling_k2v2_s0_r256,aime24:p16:s0:seed16042,16099,32.0,156.0,32.0,156.0,3968,3968,0.4929498726628983,15872.0,15872.0,15872.0,15872.0,2969182,1094050,0.730743900422127
pattern_rolling_k2v2_s0_r256,aime24:p17:s0:seed17042,15154,32.0,149.0,32.0,149.0,3744,3744,0.4941269631780388,14976.0,14976.0,14976.0,14976.0,2907195,926661,0.7582953037359775
pattern_rolling_k2v2_s64_r256,aime24:p0:s0:seed42,3163,32.0,55.0,32.0,55.0,736,736,0.4653809674359785,2944.0,2944.0,2944.0,2944.0,510937,242727,0.6779373832370924
pattern_rolling_k2v2_s64_r256,aime24:p6:s0:seed6042,6262,32.0,79.0,32.0,79.0,1504,1504,0.4803577131906739,6016.0,6016.0,6016.0,6016.0,997293,542803,0.647552490234375
pattern_rolling_k2v2_s64_r256,aime24:p6:s1:seed6043,18079,32.0,171.0,32.0,171.0,4448,4448,0.4920626140826373,17792.0,17792.0,17792.0,17792.0,3289250,1265502,0.722157869407599
pattern_rolling_k2v2_s64_r256,aime24:p11:s0:seed11042,5579,32.0,73.0,32.0,73.0,1312,1312,0.4703351855171178,5248.0,5248.0,5248.0,5248.0,877072,466416,0.65283203125
pattern_rolling_k2v2_s64_r256,aime24:p11:s1:seed11043,5184,32.0,70.0,32.0,70.0,1216,1216,0.4691358024691358,4864.0,4864.0,4864.0,4864.0,818904,426280,0.6576570209703947
pattern_rolling_k2v2_s64_r256,aime24:p12:s0:seed12042,8789,32.0,98.0,32.0,98.0,2112,2112,0.4806007509386733,8448.0,8448.0,8448.0,8448.0,1458268,704420,0.6742849638967803
pattern_rolling_k2v2_s64_r256,aime24:p12:s1:seed12043,5593,32.0,73.0,32.0,73.0,1312,1312,0.46915787591632396,5248.0,5248.0,5248.0,5248.0,866644,476844,0.645070145769817
pattern_rolling_k2v2_s64_r256,aime24:p14:s0:seed14042,9199,32.0,102.0,32.0,102.0,2240,2240,0.4870094575497337,8960.0,8960.0,8960.0,8960.0,1586169,707591,0.6915148053850446
pattern_rolling_k2v2_s64_r256,aime24:p15:s0:seed15042,16142,32.0,156.0,32.0,156.0,3968,3968,0.4916367240738446,15872.0,15872.0,15872.0,15872.0,3065744,997488,0.7545087260584677
pattern_rolling_k2v2_s64_r256,aime24:p15:s1:seed15043,20151,32.0,187.0,32.0,187.0,4960,4960,0.4922832613766066,19840.0,19840.0,19840.0,19840.0,3890578,1188462,0.766006568170363
pattern_rolling_k2v2_s64_r256,aime24:p16:s0:seed16042,8875,32.0,99.0,32.0,99.0,2144,2144,0.4831549295774648,8576.0,8576.0,8576.0,8576.0,1468351,727105,0.6688136769764459
pattern_rolling_k2v2_s64_r256,aime24:p17:s0:seed17042,7924,32.0,92.0,32.0,92.0,1920,1920,0.4846037354871277,7680.0,7680.0,7680.0,7680.0,1355212,610868,0.6892964680989583
