problem_id,method,value_precision_selector,is_correct,parsed_answer,reference_answer,generated_tokens,input_tokens,tokens_per_second,wall_time_seconds,stop_reason,physical_gpu_id,config_hash
772,importance_only_v4_25,importance_only_v4,True,50,50,526,119,9.6032,54.7735,eos,1,f6547824af38e5e3
785,importance_only_v4_25,importance_only_v4,True,155,155,209,87,13.0181,16.0546,eos,1,f6547824af38e5e3
789,importance_only_v4_25,importance_only_v4,True,4,4,259,121,11.0642,23.4089,eos,1,f6547824af38e5e3
809,importance_only_v4_25,importance_only_v4,True,50,50,270,124,10.9053,24.7585,eos,1,f6547824af38e5e3
848,importance_only_v4_25,importance_only_v4,True,10,10,258,93,11.8101,21.8457,eos,1,f6547824af38e5e3
855,importance_only_v4_25,importance_only_v4,False,28,13,716,94,7.9775,89.7522,eos,1,f6547824af38e5e3
858,importance_only_v4_25,importance_only_v4,False,3790,3430,519,69,10.0869,51.453,eos,1,f6547824af38e5e3
864,importance_only_v4_25,importance_only_v4,True,80,80,184,102,13.1308,14.0129,eos,1,f6547824af38e5e3
872,importance_only_v4_25,importance_only_v4,True,13,13,275,84,11.7661,23.3722,eos,1,f6547824af38e5e3
894,importance_only_v4_25,importance_only_v4,False,24,26,2048,122,8.292,246.9852,length,1,f6547824af38e5e3
923,importance_only_v4_25,importance_only_v4,False,12,2,2048,114,8.7239,234.7561,length,1,f6547824af38e5e3
928,importance_only_v4_25,importance_only_v4,True,60,60,234,116,11.4893,20.3669,eos,1,f6547824af38e5e3
987,importance_only_v4_25,importance_only_v4,True,3,3,320,108,10.6784,29.9671,eos,1,f6547824af38e5e3
991,importance_only_v4_25,importance_only_v4,False,41,15,2048,105,8.7544,233.9403,length,1,f6547824af38e5e3
1003,importance_only_v4_25,importance_only_v4,False,300,480,580,103,9.5481,60.7452,eos,1,f6547824af38e5e3
1076,importance_only_v4_25,importance_only_v4,True,162,162,216,87,12.806,16.8671,eos,1,f6547824af38e5e3
1077,importance_only_v4_25,importance_only_v4,False,135,145,458,227,8.7855,52.1311,eos,1,f6547824af38e5e3
1166,importance_only_v4_25,importance_only_v4,False,10,2350,616,154,9.1605,67.245,eos,1,f6547824af38e5e3
1174,importance_only_v4_25,importance_only_v4,False,5,240,561,116,9.3799,59.8085,eos,1,f6547824af38e5e3
1190,importance_only_v4_25,importance_only_v4,False,38,19,414,137,9.64,42.9463,eos,1,f6547824af38e5e3
1203,importance_only_v4_25,importance_only_v4,True,240,240,2048,96,8.7757,233.3713,length,1,f6547824af38e5e3
1230,importance_only_v4_25,importance_only_v4,True,440,440,200,138,11.3046,17.6919,eos,1,f6547824af38e5e3
1305,importance_only_v4_25,importance_only_v4,True,2325,2325,155,91,14.195,10.9193,eos,1,f6547824af38e5e3
12,error_only_v4_25,error_only_v4,True,13,13,1076,108,8.788,122.4393,eos,4,f6547824af38e5e3
13,error_only_v4_25,error_only_v4,True,18,18,444,100,9.7972,45.3191,eos,4,f6547824af38e5e3
65,error_only_v4_25,error_only_v4,False,4,36,209,89,11.7655,17.7638,eos,4,f6547824af38e5e3
100,error_only_v4_25,error_only_v4,True,175,175,269,134,9.6298,27.934,eos,4,f6547824af38e5e3
111,error_only_v4_25,error_only_v4,True,16,16,359,111,9.9645,36.0278,eos,4,f6547824af38e5e3
136,error_only_v4_25,error_only_v4,True,6,6,130,85,13.0276,9.9788,eos,4,f6547824af38e5e3
140,error_only_v4_25,error_only_v4,True,20,20,176,79,12.9284,13.6134,eos,4,f6547824af38e5e3
162,error_only_v4_25,error_only_v4,False,538.66,92,1262,81,8.7863,143.6334,eos,4,f6547824af38e5e3
186,error_only_v4_25,error_only_v4,True,5,5,957,154,8.6309,110.8809,eos,4,f6547824af38e5e3
330,error_only_v4_25,error_only_v4,True,31,31,225,117,11.0931,20.2829,eos,4,f6547824af38e5e3
359,error_only_v4_25,error_only_v4,False,8,4,2048,106,8.4887,241.262,length,4,f6547824af38e5e3
371,error_only_v4_25,error_only_v4,True,50,50,220,126,10.9295,20.129,eos,4,f6547824af38e5e3
412,error_only_v4_25,error_only_v4,False,30,5,190,111,11.4031,16.6621,eos,4,f6547824af38e5e3
427,error_only_v4_25,error_only_v4,False,50,150,454,112,9.6578,47.0088,eos,4,f6547824af38e5e3
481,error_only_v4_25,error_only_v4,True,84,84,251,103,10.5445,23.8038,eos,4,f6547824af38e5e3
525,error_only_v4_25,error_only_v4,False,27,12,2048,129,8.4495,242.3817,length,4,f6547824af38e5e3
543,error_only_v4_25,error_only_v4,True,6,6,167,84,13.5993,12.28,eos,4,f6547824af38e5e3
560,error_only_v4_25,error_only_v4,True,45,45,194,85,10.8937,17.8085,eos,4,f6547824af38e5e3
566,error_only_v4_25,error_only_v4,True,10,10,327,77,10.2287,31.9688,eos,4,f6547824af38e5e3
607,error_only_v4_25,error_only_v4,False,20,10,491,96,9.7334,50.4448,eos,4,f6547824af38e5e3
637,error_only_v4_25,error_only_v4,True,17,17,143,84,13.0122,10.9897,eos,4,f6547824af38e5e3
660,error_only_v4_25,error_only_v4,True,15,15,524,86,9.7451,53.7707,eos,4,f6547824af38e5e3
672,error_only_v4_25,error_only_v4,True,2,2,315,122,9.5574,32.9587,eos,4,f6547824af38e5e3
692,error_only_v4_25,error_only_v4,True,32,32,209,134,10.3004,20.2905,eos,4,f6547824af38e5e3
714,error_only_v4_25,error_only_v4,True,10,10,212,98,11.9545,17.734,eos,4,f6547824af38e5e3
731,error_only_v4_25,error_only_v4,False,3,1,281,104,10.2061,27.5324,eos,4,f6547824af38e5e3
740,error_only_v4_25,error_only_v4,True,25,25,290,102,10.2078,28.4096,eos,4,f6547824af38e5e3
772,error_only_v4_25,error_only_v4,False,25,50,517,119,9.4374,54.7823,eos,4,f6547824af38e5e3
785,error_only_v4_25,error_only_v4,True,155,155,209,87,11.8544,17.6306,eos,4,f6547824af38e5e3
789,error_only_v4_25,error_only_v4,True,4,4,259,121,10.0488,25.7743,eos,4,f6547824af38e5e3
809,error_only_v4_25,error_only_v4,True,50,50,270,124,9.9226,27.2105,eos,4,f6547824af38e5e3
848,error_only_v4_25,error_only_v4,True,10,10,258,93,10.7461,24.0087,eos,4,f6547824af38e5e3
855,error_only_v4_25,error_only_v4,False,87,13,417,94,9.4746,44.0125,eos,4,f6547824af38e5e3
858,error_only_v4_25,error_only_v4,False,5950,3430,495,69,10.0077,49.4619,eos,4,f6547824af38e5e3
864,error_only_v4_25,error_only_v4,True,80,80,184,102,11.9932,15.342,eos,4,f6547824af38e5e3
872,error_only_v4_25,error_only_v4,False,2,13,273,84,11.2964,24.1671,eos,4,f6547824af38e5e3
894,error_only_v4_25,error_only_v4,False,1.5,26,2048,122,7.8473,260.9827,length,4,f6547824af38e5e3
923,error_only_v4_25,error_only_v4,False,4,2,1365,114,8.5586,159.4887,eos,4,f6547824af38e5e3
928,error_only_v4_25,error_only_v4,True,60,60,234,116,11.0252,21.2241,eos,4,f6547824af38e5e3
987,error_only_v4_25,error_only_v4,True,3,3,320,108,9.7188,32.9257,eos,4,f6547824af38e5e3
991,error_only_v4_25,error_only_v4,False,44,15,2048,105,8.4605,242.0667,length,4,f6547824af38e5e3
1003,error_only_v4_25,error_only_v4,True,480,480,624,103,9.188,67.9146,eos,4,f6547824af38e5e3
1076,error_only_v4_25,error_only_v4,True,162,162,216,87,11.6743,18.5021,eos,4,f6547824af38e5e3
1077,error_only_v4_25,error_only_v4,False,155,145,454,227,8.5791,52.9191,eos,4,f6547824af38e5e3
1166,error_only_v4_25,error_only_v4,True,2350,2350,628,154,8.7542,71.7371,eos,4,f6547824af38e5e3
1174,error_only_v4_25,error_only_v4,False,5,240,504,116,9.2933,54.2326,eos,4,f6547824af38e5e3
1190,error_only_v4_25,error_only_v4,False,169,19,623,137,8.9452,69.6464,eos,4,f6547824af38e5e3
1203,error_only_v4_25,error_only_v4,False,180,240,289,96,10.6977,27.0152,eos,4,f6547824af38e5e3
1230,error_only_v4_25,error_only_v4,True,440,440,200,138,10.2581,19.4968,eos,4,f6547824af38e5e3
1305,error_only_v4_25,error_only_v4,True,2325,2325,155,91,13.4698,11.5073,eos,4,f6547824af38e5e3
12,causal_v4_25,causal_v4,True,13,13,1076,108,8.9858,119.7441,eos,4,f6547824af38e5e3
13,causal_v4_25,causal_v4,True,18,18,539,100,9.8442,54.7532,eos,1,f6547824af38e5e3
65,causal_v4_25,causal_v4,False,4,36,209,89,13.0994,15.9549,eos,1,f6547824af38e5e3
100,causal_v4_25,causal_v4,True,175,175,269,134,10.613,25.3463,eos,4,f6547824af38e5e3
111,causal_v4_25,causal_v4,True,16,16,2048,111,8.9503,228.8179,length,1,f6547824af38e5e3
136,causal_v4_25,causal_v4,True,6,6,130,85,14.6577,8.8691,eos,1,f6547824af38e5e3
140,causal_v4_25,causal_v4,True,20,20,176,79,14.4443,12.1847,eos,4,f6547824af38e5e3
162,causal_v4_25,causal_v4,False,538.66,92,1303,81,9.2013,141.6106,eos,1,f6547824af38e5e3
186,causal_v4_25,causal_v4,False,110,5,2048,154,8.834,231.8306,length,4,f6547824af38e5e3
330,causal_v4_25,causal_v4,True,31,31,228,117,11.7055,19.478,eos,4,f6547824af38e5e3
359,causal_v4_25,causal_v4,False,1.5,4,2048,106,8.93,229.3393,length,4,f6547824af38e5e3
371,causal_v4_25,causal_v4,True,50,50,220,126,11.5126,19.1096,eos,4,f6547824af38e5e3
412,causal_v4_25,causal_v4,False,30,5,190,111,12.7086,14.9505,eos,1,f6547824af38e5e3
427,causal_v4_25,causal_v4,False,50,150,483,112,9.746,49.5586,eos,4,f6547824af38e5e3
481,causal_v4_25,causal_v4,True,84,84,251,103,11.7597,21.344,eos,4,f6547824af38e5e3
525,causal_v4_25,causal_v4,True,12,12,775,129,9.2318,83.949,eos,1,f6547824af38e5e3
543,causal_v4_25,causal_v4,True,6,6,167,84,14.403,11.5948,eos,4,f6547824af38e5e3
560,causal_v4_25,causal_v4,True,45,45,194,85,12.1909,15.9135,eos,1,f6547824af38e5e3
566,causal_v4_25,causal_v4,False,7,10,2048,77,9.0281,226.8465,length,1,f6547824af38e5e3
607,causal_v4_25,causal_v4,False,20,10,491,96,10.002,49.0903,eos,1,f6547824af38e5e3
637,causal_v4_25,causal_v4,True,17,17,143,84,14.5544,9.8252,eos,4,f6547824af38e5e3
660,causal_v4_25,causal_v4,True,15,15,504,86,9.9491,50.6579,eos,4,f6547824af38e5e3
672,causal_v4_25,causal_v4,False,8,2,2048,122,8.8297,231.944,length,4,f6547824af38e5e3
692,causal_v4_25,causal_v4,True,32,32,209,134,11.4284,18.2878,eos,1,f6547824af38e5e3
714,causal_v4_25,causal_v4,True,10,10,212,98,12.6708,16.7314,eos,1,f6547824af38e5e3
731,causal_v4_25,causal_v4,True,1,1,2048,104,8.9807,228.0435,length,1,f6547824af38e5e3
740,causal_v4_25,causal_v4,True,25,25,290,102,11.3477,25.5558,eos,1,f6547824af38e5e3
772,causal_v4_25,causal_v4,True,50,50,529,119,9.5818,55.2091,eos,4,f6547824af38e5e3
785,causal_v4_25,causal_v4,True,155,155,209,87,13.1861,15.85,eos,1,f6547824af38e5e3
789,causal_v4_25,causal_v4,True,4,4,259,121,11.2201,23.0835,eos,1,f6547824af38e5e3
809,causal_v4_25,causal_v4,True,50,50,270,124,11.0032,24.5382,eos,4,f6547824af38e5e3
848,causal_v4_25,causal_v4,True,10,10,258,93,11.9176,21.6486,eos,4,f6547824af38e5e3
855,causal_v4_25,causal_v4,False,5,13,2048,94,8.7678,233.583,length,4,f6547824af38e5e3
858,causal_v4_25,causal_v4,False,3790,3430,519,69,10.1896,50.9343,eos,1,f6547824af38e5e3
864,causal_v4_25,causal_v4,True,80,80,184,102,13.2408,13.8965,eos,4,f6547824af38e5e3
872,causal_v4_25,causal_v4,False,2,13,273,84,11.9841,22.7802,eos,1,f6547824af38e5e3
894,causal_v4_25,causal_v4,False,21.5,26,2048,122,8.5592,239.2757,length,1,f6547824af38e5e3
923,causal_v4_25,causal_v4,False,12,2,2048,114,8.7316,234.5505,length,4,f6547824af38e5e3
928,causal_v4_25,causal_v4,True,60,60,234,116,11.6764,20.0405,eos,1,f6547824af38e5e3
987,causal_v4_25,causal_v4,True,3,3,321,108,10.1058,31.764,eos,4,f6547824af38e5e3
991,causal_v4_25,causal_v4,False,30,15,2048,105,8.9721,228.2621,length,1,f6547824af38e5e3
1003,causal_v4_25,causal_v4,True,480,480,556,103,9.6801,57.4373,eos,1,f6547824af38e5e3
1076,causal_v4_25,causal_v4,True,162,162,216,87,12.9124,16.7281,eos,4,f6547824af38e5e3
1077,causal_v4_25,causal_v4,False,155,145,454,227,8.7601,51.826,eos,4,f6547824af38e5e3
1166,causal_v4_25,causal_v4,False,2450,2350,574,154,9.2785,61.8636,eos,1,f6547824af38e5e3
1174,causal_v4_25,causal_v4,False,5,240,561,116,9.4885,59.124,eos,4,f6547824af38e5e3
1190,causal_v4_25,causal_v4,True,19,19,633,137,9.2305,68.5773,eos,4,f6547824af38e5e3
1203,causal_v4_25,causal_v4,False,,240,2048,96,8.7664,233.6199,length,4,f6547824af38e5e3
1230,causal_v4_25,causal_v4,True,440,440,200,138,11.4724,17.4332,eos,1,f6547824af38e5e3
1305,causal_v4_25,causal_v4,True,2325,2325,155,91,14.4046,10.7605,eos,1,f6547824af38e5e3
