method,problem_id,stratum,packed_history_tokens,generated_tokens,tokens_per_second,is_correct
error_only_v4_25,412,UNIFORM_RANDOM,128,190,11.4031,False
error_only_v4_25,427,LENGTH_PROXY_ACTIVATION_ENRICHED,384,454,9.6578,False
error_only_v4_25,481,UNIFORM_RANDOM,128,251,10.5445,True
error_only_v4_25,525,LENGTH_PROXY_ACTIVATION_ENRICHED,1920,2048,8.4495,False
error_only_v4_25,543,UNIFORM_RANDOM,0,167,13.5993,True
error_only_v4_25,560,UNIFORM_RANDOM,128,194,10.8937,True
error_only_v4_25,566,LENGTH_PROXY_ACTIVATION_ENRICHED,256,327,10.2287,True
error_only_v4_25,607,LENGTH_PROXY_ACTIVATION_ENRICHED,384,491,9.7334,False
error_only_v4_25,637,UNIFORM_RANDOM,0,143,13.0122,True
error_only_v4_25,660,LENGTH_PROXY_ACTIVATION_ENRICHED,384,524,9.7451,True
error_only_v4_25,672,LENGTH_PROXY_ACTIVATION_ENRICHED,256,315,9.5574,True
error_only_v4_25,692,UNIFORM_RANDOM,128,209,10.3004,True
error_only_v4_25,714,UNIFORM_RANDOM,128,212,11.9545,True
error_only_v4_25,731,LENGTH_PROXY_ACTIVATION_ENRICHED,128,281,10.2061,False
error_only_v4_25,740,UNIFORM_RANDOM,128,290,10.2078,True
error_only_v4_25,772,LENGTH_PROXY_ACTIVATION_ENRICHED,384,517,9.4374,False
error_only_v4_25,785,UNIFORM_RANDOM,128,209,11.8544,True
error_only_v4_25,789,UNIFORM_RANDOM,128,259,10.0488,True
error_only_v4_25,809,UNIFORM_RANDOM,128,270,9.9226,True
error_only_v4_25,848,UNIFORM_RANDOM,128,258,10.7461,True
error_only_v4_25,855,LENGTH_PROXY_ACTIVATION_ENRICHED,256,417,9.4746,False
error_only_v4_25,858,LENGTH_PROXY_ACTIVATION_ENRICHED,384,495,10.0077,False
error_only_v4_25,864,UNIFORM_RANDOM,128,184,11.9932,True
error_only_v4_25,872,UNIFORM_RANDOM,128,273,11.2964,False
error_only_v4_25,894,LENGTH_PROXY_ACTIVATION_ENRICHED,1920,2048,7.8473,False
error_only_v4_25,923,LENGTH_PROXY_ACTIVATION_ENRICHED,1280,1365,8.5586,False
error_only_v4_25,928,UNIFORM_RANDOM,128,234,11.0252,True
error_only_v4_25,987,UNIFORM_RANDOM,256,320,9.7188,True
error_only_v4_25,991,LENGTH_PROXY_ACTIVATION_ENRICHED,1920,2048,8.4605,False
error_only_v4_25,1003,LENGTH_PROXY_ACTIVATION_ENRICHED,512,624,9.188,True
error_only_v4_25,1076,UNIFORM_RANDOM,128,216,11.6743,True
error_only_v4_25,1077,LENGTH_PROXY_ACTIVATION_ENRICHED,512,454,8.5791,False
error_only_v4_25,1166,LENGTH_PROXY_ACTIVATION_ENRICHED,512,628,8.7542,True
error_only_v4_25,1174,LENGTH_PROXY_ACTIVATION_ENRICHED,384,504,9.2933,False
error_only_v4_25,1190,LENGTH_PROXY_ACTIVATION_ENRICHED,512,623,8.9452,False
error_only_v4_25,1203,LENGTH_PROXY_ACTIVATION_ENRICHED,128,289,10.6977,False
error_only_v4_25,1230,UNIFORM_RANDOM,128,200,10.2581,True
error_only_v4_25,1305,UNIFORM_RANDOM,0,155,13.4698,True
causal_v4_25,12,LENGTH_PROXY_ACTIVATION_ENRICHED,1024,1076,8.9858,True
causal_v4_25,13,LENGTH_PROXY_ACTIVATION_ENRICHED,384,539,9.8442,True
causal_v4_25,65,UNIFORM_RANDOM,128,209,13.0994,False
causal_v4_25,100,UNIFORM_RANDOM,256,269,10.613,True
causal_v4_25,111,LENGTH_PROXY_ACTIVATION_ENRICHED,1920,2048,8.9503,True
causal_v4_25,136,UNIFORM_RANDOM,0,130,14.6577,True
causal_v4_25,140,UNIFORM_RANDOM,0,176,14.4443,True
causal_v4_25,162,LENGTH_PROXY_ACTIVATION_ENRICHED,1152,1303,9.2013,False
causal_v4_25,186,LENGTH_PROXY_ACTIVATION_ENRICHED,2048,2048,8.834,False
causal_v4_25,330,UNIFORM_RANDOM,128,228,11.7055,True
causal_v4_25,359,LENGTH_PROXY_ACTIVATION_ENRICHED,1920,2048,8.93,False
causal_v4_25,371,UNIFORM_RANDOM,128,220,11.5126,True
causal_v4_25,412,UNIFORM_RANDOM,128,190,12.7086,False
causal_v4_25,427,LENGTH_PROXY_ACTIVATION_ENRICHED,384,483,9.746,False
causal_v4_25,481,UNIFORM_RANDOM,128,251,11.7597,True
causal_v4_25,525,LENGTH_PROXY_ACTIVATION_ENRICHED,640,775,9.2318,True
causal_v4_25,543,UNIFORM_RANDOM,0,167,14.403,True
causal_v4_25,560,UNIFORM_RANDOM,128,194,12.1909,True
causal_v4_25,566,LENGTH_PROXY_ACTIVATION_ENRICHED,1920,2048,9.0281,False
causal_v4_25,607,LENGTH_PROXY_ACTIVATION_ENRICHED,384,491,10.002,False
causal_v4_25,637,UNIFORM_RANDOM,0,143,14.5544,True
causal_v4_25,660,LENGTH_PROXY_ACTIVATION_ENRICHED,384,504,9.9491,True
causal_v4_25,672,LENGTH_PROXY_ACTIVATION_ENRICHED,1920,2048,8.8297,False
causal_v4_25,692,UNIFORM_RANDOM,128,209,11.4284,True
causal_v4_25,714,UNIFORM_RANDOM,128,212,12.6708,True
causal_v4_25,731,LENGTH_PROXY_ACTIVATION_ENRICHED,1920,2048,8.9807,True
causal_v4_25,740,UNIFORM_RANDOM,128,290,11.3477,True
causal_v4_25,772,LENGTH_PROXY_ACTIVATION_ENRICHED,384,529,9.5818,True
causal_v4_25,785,UNIFORM_RANDOM,128,209,13.1861,True
causal_v4_25,789,UNIFORM_RANDOM,128,259,11.2201,True
causal_v4_25,809,UNIFORM_RANDOM,128,270,11.0032,True
causal_v4_25,848,UNIFORM_RANDOM,128,258,11.9176,True
causal_v4_25,855,LENGTH_PROXY_ACTIVATION_ENRICHED,1920,2048,8.7678,False
causal_v4_25,858,LENGTH_PROXY_ACTIVATION_ENRICHED,384,519,10.1896,False
causal_v4_25,864,UNIFORM_RANDOM,128,184,13.2408,True
causal_v4_25,872,UNIFORM_RANDOM,128,273,11.9841,False
causal_v4_25,894,LENGTH_PROXY_ACTIVATION_ENRICHED,1920,2048,8.5592,False
causal_v4_25,923,LENGTH_PROXY_ACTIVATION_ENRICHED,1920,2048,8.7316,False
causal_v4_25,928,UNIFORM_RANDOM,128,234,11.6764,True
causal_v4_25,987,UNIFORM_RANDOM,256,321,10.1058,True
causal_v4_25,991,LENGTH_PROXY_ACTIVATION_ENRICHED,1920,2048,8.9721,False
causal_v4_25,1003,LENGTH_PROXY_ACTIVATION_ENRICHED,512,556,9.6801,True
causal_v4_25,1076,UNIFORM_RANDOM,128,216,12.9124,True
causal_v4_25,1077,LENGTH_PROXY_ACTIVATION_ENRICHED,512,454,8.7601,False
causal_v4_25,1166,LENGTH_PROXY_ACTIVATION_ENRICHED,512,574,9.2785,False
causal_v4_25,1174,LENGTH_PROXY_ACTIVATION_ENRICHED,512,561,9.4885,False
causal_v4_25,1190,LENGTH_PROXY_ACTIVATION_ENRICHED,512,633,9.2305,True
causal_v4_25,1203,LENGTH_PROXY_ACTIVATION_ENRICHED,1920,2048,8.7664,False
causal_v4_25,1230,UNIFORM_RANDOM,128,200,11.4724,True
causal_v4_25,1305,UNIFORM_RANDOM,0,155,14.4046,True
