any_correct,benchmark,correct_count,eos_stop_count,length_stop_count,majority_correct,method,problem_id,total
False,aime25,0,3,0,False,PATTERN_BASE,1,3
True,aime25,2,3,0,True,PATTERN_BASE,2,3
True,aime25,1,3,0,False,PATTERN_BASE,3,3
True,aime25,1,3,0,False,PATTERN_BASE,4,3
True,aime25,1,3,0,False,PATTERN_BASE,5,3
False,aime25,0,3,0,False,PATTERN_BASE,6,3
True,aime25,1,3,0,False,PATTERN_BASE,7,3
True,aime25,1,2,1,False,PATTERN_BASE,8,3
False,aime25,0,3,0,False,PATTERN_BASE,9,3
False,aime25,0,3,0,False,PATTERN_BASE,10,3
True,aime25,1,1,2,False,PATTERN_BASE,11,3
False,aime25,0,3,0,False,PATTERN_BASE,12,3
False,aime25,0,2,1,False,PATTERN_BASE,13,3
False,aime25,0,3,0,False,PATTERN_BASE,14,3
True,aime25,3,3,0,True,PATTERN_BASE,15,3
True,aime25,2,2,1,True,PATTERN_BASE,16,3
False,aime25,0,3,0,False,PATTERN_BASE,17,3
True,aime25,1,3,0,False,PATTERN_BASE,18,3
False,aime25,0,1,2,False,PATTERN_BASE,19,3
True,aime25,2,3,0,True,PATTERN_BASE,20,3
True,aime25,1,3,0,False,PATTERN_BASE,21,3
False,aime25,0,3,0,False,PATTERN_BASE,22,3
False,aime25,0,2,1,False,PATTERN_BASE,23,3
False,aime25,0,3,0,False,PATTERN_BASE,24,3
False,aime25,0,3,0,False,PATTERN_BASE,25,3
False,aime25,0,3,0,False,PATTERN_BASE,26,3
False,aime25,0,3,0,False,PATTERN_BASE,27,3
True,aime25,1,3,0,False,PATTERN_BASE,28,3
False,aime25,0,2,1,False,PATTERN_BASE,29,3
True,aime25,2,3,0,True,CAUSAL_V4_25,0,3
True,aime25,3,3,0,True,CAUSAL_V4_25,1,3
True,aime25,2,3,0,True,CAUSAL_V4_25,2,3
True,aime25,1,3,0,False,CAUSAL_V4_25,3,3
False,aime25,0,3,0,False,CAUSAL_V4_25,4,3
True,aime25,3,3,0,True,CAUSAL_V4_25,5,3
False,aime25,0,2,1,False,CAUSAL_V4_25,6,3
True,aime25,3,3,0,True,CAUSAL_V4_25,7,3
False,aime25,0,1,2,False,CAUSAL_V4_25,8,3
False,aime25,0,1,2,False,CAUSAL_V4_25,9,3
False,aime25,0,2,1,False,CAUSAL_V4_25,10,3
False,aime25,0,3,0,False,CAUSAL_V4_25,11,3
False,aime25,0,3,0,False,CAUSAL_V4_25,12,3
False,aime25,0,2,1,False,CAUSAL_V4_25,13,3
False,aime25,0,3,0,False,CAUSAL_V4_25,14,3
True,aime25,3,3,0,True,CAUSAL_V4_25,15,3
True,aime25,3,3,0,True,CAUSAL_V4_25,16,3
False,aime25,0,3,0,False,CAUSAL_V4_25,17,3
True,aime25,2,3,0,True,CAUSAL_V4_25,18,3
False,aime25,0,3,0,False,CAUSAL_V4_25,19,3
True,aime25,3,3,0,True,CAUSAL_V4_25,20,3
False,aime25,0,3,0,False,CAUSAL_V4_25,21,3
False,aime25,0,3,0,False,CAUSAL_V4_25,22,3
False,aime25,0,3,0,False,CAUSAL_V4_25,23,3
False,aime25,0,3,0,False,CAUSAL_V4_25,24,3
False,aime25,0,3,0,False,CAUSAL_V4_25,25,3
True,aime25,1,2,1,False,CAUSAL_V4_25,26,3
False,aime25,0,3,0,False,CAUSAL_V4_25,27,3
True,aime25,1,3,0,False,CAUSAL_V4_25,28,3
False,aime25,0,3,0,False,CAUSAL_V4_25,29,3
