q_head,expected_kv_head,max_abs_error,passed,context_tokens,assignment,mask_density,kv_head
27,,0.0,True,8192,normal,0.5,6
28,,0.0,True,8192,normal,0.5,7
29,,0.0,True,8192,normal,0.5,7
30,,0.0,True,8192,normal,0.5,7
31,,0.0,True,8192,normal,0.5,7
0,,0.0,True,8192,normal,1.0,0
1,,0.0,True,8192,normal,1.0,0
2,,1.52587890625e-05,True,8192,normal,1.0,0
3,,0.0,True,8192,normal,1.0,0
4,,0.0,True,8192,normal,1.0,1
5,,0.0,True,8192,normal,1.0,1
6,,0.0,True,8192,normal,1.0,1
7,,0.0,True,8192,normal,1.0,1
8,,0.0,True,8192,normal,1.0,2
9,,0.0,True,8192,normal,1.0,2
10,,0.0,True,8192,normal,1.0,2
11,,0.0,True,8192,normal,1.0,2
12,,0.0,True,8192,normal,1.0,3
13,,0.0,True,8192,normal,1.0,3
14,,0.0,True,8192,normal,1.0,3
15,,0.0,True,8192,normal,1.0,3
16,,0.0,True,8192,normal,1.0,4
17,,0.0,True,8192,normal,1.0,4
18,,0.0,True,8192,normal,1.0,4
19,,0.0,True,8192,normal,1.0,4
20,,0.0,True,8192,normal,1.0,5
21,,0.0,True,8192,normal,1.0,5
22,,0.0,True,8192,normal,1.0,5
23,,0.0,True,8192,normal,1.0,5
24,,0.0,True,8192,normal,1.0,6
25,,0.0,True,8192,normal,1.0,6
26,,0.0,True,8192,normal,1.0,6
27,,0.0,True,8192,normal,1.0,6
28,,0.0,True,8192,normal,1.0,7
29,,0.0,True,8192,normal,1.0,7
30,,0.0,True,8192,normal,1.0,7
31,,0.0,True,8192,normal,1.0,7
0,,0.0,True,8192,uniform,0.0,0
1,,0.0,True,8192,uniform,0.0,0
2,,2.384185791015625e-07,True,8192,uniform,0.0,0
3,,0.0,True,8192,uniform,0.0,0
4,,0.0,True,8192,uniform,0.0,1
5,,0.0,True,8192,uniform,0.0,1
6,,5.960464477539063e-08,True,8192,uniform,0.0,1
7,,0.0,True,8192,uniform,0.0,1
8,,9.5367431640625e-07,True,8192,uniform,0.0,2
9,,0.0,True,8192,uniform,0.0,2
10,,0.0,True,8192,uniform,0.0,2
11,,0.0,True,8192,uniform,0.0,2
12,,0.0,True,8192,uniform,0.0,3
13,,0.0,True,8192,uniform,0.0,3
14,,0.0,True,8192,uniform,0.0,3
15,,0.0,True,8192,uniform,0.0,3
16,,2.384185791015625e-07,True,8192,uniform,0.0,4
17,,1.9073486328125e-06,True,8192,uniform,0.0,4
18,,0.0,True,8192,uniform,0.0,4
19,,9.5367431640625e-07,True,8192,uniform,0.0,4
20,,0.0,True,8192,uniform,0.0,5
21,,0.0,True,8192,uniform,0.0,5
22,,0.0,True,8192,uniform,0.0,5
23,,0.0,True,8192,uniform,0.0,5
24,,0.0,True,8192,uniform,0.0,6
25,,0.0,True,8192,uniform,0.0,6
26,,0.0,True,8192,uniform,0.0,6
27,,0.0,True,8192,uniform,0.0,6
28,,0.0,True,8192,uniform,0.0,7
29,,0.0,True,8192,uniform,0.0,7
30,,0.0,True,8192,uniform,0.0,7
31,,0.0,True,8192,uniform,0.0,7
0,,0.0,True,8192,uniform,0.25,0
1,,0.0,True,8192,uniform,0.25,0
2,,0.0,True,8192,uniform,0.25,0
3,,0.0,True,8192,uniform,0.25,0
4,,0.0,True,8192,uniform,0.25,1
5,,0.0,True,8192,uniform,0.25,1
6,,0.0,True,8192,uniform,0.25,1
7,,0.0,True,8192,uniform,0.25,1
8,,0.0,True,8192,uniform,0.25,2
9,,0.0,True,8192,uniform,0.25,2
10,,0.0,True,8192,uniform,0.25,2
11,,0.0,True,8192,uniform,0.25,2
12,,0.0,True,8192,uniform,0.25,3
13,,0.0,True,8192,uniform,0.25,3
14,,7.62939453125e-06,True,8192,uniform,0.25,3
15,,0.0,True,8192,uniform,0.25,3
16,,0.0,True,8192,uniform,0.25,4
17,,0.0,True,8192,uniform,0.25,4
18,,0.0,True,8192,uniform,0.25,4
19,,0.0,True,8192,uniform,0.25,4
20,,0.0,True,8192,uniform,0.25,5
21,,0.0,True,8192,uniform,0.25,5
22,,0.0,True,8192,uniform,0.25,5
23,,0.0,True,8192,uniform,0.25,5
24,,0.0,True,8192,uniform,0.25,6
25,,0.0,True,8192,uniform,0.25,6
26,,0.0,True,8192,uniform,0.25,6
27,,0.0,True,8192,uniform,0.25,6
28,,0.0,True,8192,uniform,0.25,7
29,,0.0,True,8192,uniform,0.25,7
30,,0.0,True,8192,uniform,0.25,7
31,,1.9073486328125e-06,True,8192,uniform,0.25,7
0,,0.0,True,8192,uniform,0.5,0
1,,0.0,True,8192,uniform,0.5,0
2,,1.9073486328125e-06,True,8192,uniform,0.5,0
3,,0.0,True,8192,uniform,0.5,0
4,,0.0,True,8192,uniform,0.5,1
5,,0.0,True,8192,uniform,0.5,1
6,,0.0,True,8192,uniform,0.5,1
7,,0.0,True,8192,uniform,0.5,1
8,,0.0,True,8192,uniform,0.5,2
9,,0.0,True,8192,uniform,0.5,2
10,,0.0,True,8192,uniform,0.5,2
11,,0.0,True,8192,uniform,0.5,2
12,,0.0,True,8192,uniform,0.5,3
13,,0.0,True,8192,uniform,0.5,3
14,,0.0,True,8192,uniform,0.5,3
15,,0.0,True,8192,uniform,0.5,3
16,,0.0,True,8192,uniform,0.5,4
17,,0.0,True,8192,uniform,0.5,4
18,,0.0,True,8192,uniform,0.5,4
19,,0.0,True,8192,uniform,0.5,4
20,,0.0,True,8192,uniform,0.5,5
21,,0.0,True,8192,uniform,0.5,5
22,,0.0,True,8192,uniform,0.5,5
23,,0.0,True,8192,uniform,0.5,5
24,,0.0,True,8192,uniform,0.5,6
25,,0.0,True,8192,uniform,0.5,6
26,,0.0,True,8192,uniform,0.5,6
27,,0.0,True,8192,uniform,0.5,6
28,,0.0,True,8192,uniform,0.5,7
29,,0.0,True,8192,uniform,0.5,7
30,,0.0,True,8192,uniform,0.5,7
31,,0.0,True,8192,uniform,0.5,7
0,,0.0,True,8192,uniform,1.0,0
1,,0.0,True,8192,uniform,1.0,0
2,,0.0,True,8192,uniform,1.0,0
3,,0.0,True,8192,uniform,1.0,0
4,,0.0,True,8192,uniform,1.0,1
5,,0.0,True,8192,uniform,1.0,1
6,,0.0,True,8192,uniform,1.0,1
7,,0.0,True,8192,uniform,1.0,1
8,,0.0,True,8192,uniform,1.0,2
9,,0.0,True,8192,uniform,1.0,2
10,,0.0,True,8192,uniform,1.0,2
11,,0.0,True,8192,uniform,1.0,2
12,,0.0,True,8192,uniform,1.0,3
13,,0.0,True,8192,uniform,1.0,3
14,,0.0,True,8192,uniform,1.0,3
15,,0.0,True,8192,uniform,1.0,3
16,,0.0,True,8192,uniform,1.0,4
17,,0.0,True,8192,uniform,1.0,4
18,,0.0,True,8192,uniform,1.0,4
19,,0.0,True,8192,uniform,1.0,4
20,,0.0,True,8192,uniform,1.0,5
21,,0.0,True,8192,uniform,1.0,5
22,,0.0,True,8192,uniform,1.0,5
23,,0.0,True,8192,uniform,1.0,5
24,,0.0,True,8192,uniform,1.0,6
25,,0.0,True,8192,uniform,1.0,6
26,,0.0,True,8192,uniform,1.0,6
27,,0.0,True,8192,uniform,1.0,6
28,,0.0,True,8192,uniform,1.0,7
29,,0.0,True,8192,uniform,1.0,7
30,,0.0,True,8192,uniform,1.0,7
31,,0.0,True,8192,uniform,1.0,7
0,,0.0,True,8192,skewed,0.0,0
1,,0.0,True,8192,skewed,0.0,0
2,,2.384185791015625e-07,True,8192,skewed,0.0,0
3,,0.0,True,8192,skewed,0.0,0
4,,0.0,True,8192,skewed,0.0,1
5,,0.0,True,8192,skewed,0.0,1
6,,5.960464477539063e-08,True,8192,skewed,0.0,1
7,,0.0,True,8192,skewed,0.0,1
8,,9.5367431640625e-07,True,8192,skewed,0.0,2
9,,0.0,True,8192,skewed,0.0,2
10,,0.0,True,8192,skewed,0.0,2
11,,0.0,True,8192,skewed,0.0,2
12,,0.0,True,8192,skewed,0.0,3
13,,0.0,True,8192,skewed,0.0,3
14,,0.0,True,8192,skewed,0.0,3
15,,0.0,True,8192,skewed,0.0,3
16,,2.384185791015625e-07,True,8192,skewed,0.0,4
17,,1.9073486328125e-06,True,8192,skewed,0.0,4
18,,0.0,True,8192,skewed,0.0,4
19,,9.5367431640625e-07,True,8192,skewed,0.0,4
20,,0.0,True,8192,skewed,0.0,5
21,,0.0,True,8192,skewed,0.0,5
22,,0.0,True,8192,skewed,0.0,5
23,,0.0,True,8192,skewed,0.0,5
24,,0.0,True,8192,skewed,0.0,6
25,,0.0,True,8192,skewed,0.0,6
26,,0.0,True,8192,skewed,0.0,6
27,,0.0,True,8192,skewed,0.0,6
28,,0.0,True,8192,skewed,0.0,7
29,,0.0,True,8192,skewed,0.0,7
30,,0.0,True,8192,skewed,0.0,7
31,,0.0,True,8192,skewed,0.0,7
0,,0.0,True,8192,skewed,0.25,0
1,,0.0,True,8192,skewed,0.25,0
2,,0.0,True,8192,skewed,0.25,0
3,,0.0,True,8192,skewed,0.25,0
4,,0.0,True,8192,skewed,0.25,1
5,,0.0,True,8192,skewed,0.25,1
6,,0.0,True,8192,skewed,0.25,1
7,,0.0,True,8192,skewed,0.25,1
8,,0.0,True,8192,skewed,0.25,2
9,,0.0,True,8192,skewed,0.25,2
10,,0.0,True,8192,skewed,0.25,2
11,,0.0,True,8192,skewed,0.25,2
12,,0.0,True,8192,skewed,0.25,3
13,,0.0,True,8192,skewed,0.25,3
14,,0.0,True,8192,skewed,0.25,3
15,,0.0,True,8192,skewed,0.25,3
16,,0.0,True,8192,skewed,0.25,4
17,,0.0,True,8192,skewed,0.25,4
18,,0.0,True,8192,skewed,0.25,4
19,,0.0,True,8192,skewed,0.25,4
20,,0.0,True,8192,skewed,0.25,5
21,,0.0,True,8192,skewed,0.25,5
22,,0.0,True,8192,skewed,0.25,5
23,,0.0,True,8192,skewed,0.25,5
24,,0.0,True,8192,skewed,0.25,6
25,,0.0,True,8192,skewed,0.25,6
26,,0.0,True,8192,skewed,0.25,6
27,,0.0,True,8192,skewed,0.25,6
28,,0.0,True,8192,skewed,0.25,7
29,,0.0,True,8192,skewed,0.25,7
30,,0.0,True,8192,skewed,0.25,7
31,,0.0,True,8192,skewed,0.25,7
0,,0.0,True,8192,skewed,0.5,0
1,,0.0,True,8192,skewed,0.5,0
2,,0.0,True,8192,skewed,0.5,0
3,,0.0,True,8192,skewed,0.5,0
4,,0.0,True,8192,skewed,0.5,1
5,,0.0,True,8192,skewed,0.5,1
6,,0.0,True,8192,skewed,0.5,1
7,,0.0,True,8192,skewed,0.5,1
8,,0.0,True,8192,skewed,0.5,2
9,,0.0,True,8192,skewed,0.5,2
10,,3.0517578125e-05,True,8192,skewed,0.5,2
11,,0.0,True,8192,skewed,0.5,2
12,,0.0,True,8192,skewed,0.5,3
13,,0.0,True,8192,skewed,0.5,3
14,,0.0,True,8192,skewed,0.5,3
15,,0.0,True,8192,skewed,0.5,3
16,,0.0,True,8192,skewed,0.5,4
17,,0.0,True,8192,skewed,0.5,4
18,,0.0,True,8192,skewed,0.5,4
19,,0.0,True,8192,skewed,0.5,4
20,,0.0,True,8192,skewed,0.5,5
21,,0.0,True,8192,skewed,0.5,5
22,,0.0,True,8192,skewed,0.5,5
23,,0.0,True,8192,skewed,0.5,5
24,,0.0,True,8192,skewed,0.5,6
25,,0.0,True,8192,skewed,0.5,6
26,,0.0,True,8192,skewed,0.5,6
27,,0.0,True,8192,skewed,0.5,6
28,,0.0,True,8192,skewed,0.5,7
29,,0.0,True,8192,skewed,0.5,7
30,,4.76837158203125e-07,True,8192,skewed,0.5,7
31,,0.0,True,8192,skewed,0.5,7
0,,0.0,True,8192,skewed,1.0,0
1,,0.0,True,8192,skewed,1.0,0
2,,0.0,True,8192,skewed,1.0,0
3,,0.0,True,8192,skewed,1.0,0
4,,0.0,True,8192,skewed,1.0,1
5,,0.0,True,8192,skewed,1.0,1
6,,0.0,True,8192,skewed,1.0,1
7,,0.0,True,8192,skewed,1.0,1
8,,0.0,True,8192,skewed,1.0,2
9,,3.814697265625e-06,True,8192,skewed,1.0,2
10,,0.0,True,8192,skewed,1.0,2
11,,0.0,True,8192,skewed,1.0,2
12,,0.0,True,8192,skewed,1.0,3
13,,0.0,True,8192,skewed,1.0,3
14,,0.0,True,8192,skewed,1.0,3
15,,0.0,True,8192,skewed,1.0,3
16,,0.0,True,8192,skewed,1.0,4
17,,0.0,True,8192,skewed,1.0,4
18,,0.0,True,8192,skewed,1.0,4
19,,0.0,True,8192,skewed,1.0,4
20,,0.0,True,8192,skewed,1.0,5
21,,0.0,True,8192,skewed,1.0,5
22,,0.0,True,8192,skewed,1.0,5
23,,0.0,True,8192,skewed,1.0,5
24,,0.0,True,8192,skewed,1.0,6
25,,0.0,True,8192,skewed,1.0,6
26,,0.0,True,8192,skewed,1.0,6
27,,0.0,True,8192,skewed,1.0,6
28,,0.0,True,8192,skewed,1.0,7
29,,0.0,True,8192,skewed,1.0,7
30,,0.0,True,8192,skewed,1.0,7
31,,0.0,True,8192,skewed,1.0,7
0,,0.0,True,8192,all_same,0.0,0
1,,0.0,True,8192,all_same,0.0,0
2,,2.384185791015625e-07,True,8192,all_same,0.0,0
3,,0.0,True,8192,all_same,0.0,0
4,,0.0,True,8192,all_same,0.0,1
5,,0.0,True,8192,all_same,0.0,1
6,,5.960464477539063e-08,True,8192,all_same,0.0,1
7,,0.0,True,8192,all_same,0.0,1
8,,9.5367431640625e-07,True,8192,all_same,0.0,2
9,,0.0,True,8192,all_same,0.0,2
10,,0.0,True,8192,all_same,0.0,2
11,,0.0,True,8192,all_same,0.0,2
12,,0.0,True,8192,all_same,0.0,3
13,,0.0,True,8192,all_same,0.0,3
14,,0.0,True,8192,all_same,0.0,3
15,,0.0,True,8192,all_same,0.0,3
16,,2.384185791015625e-07,True,8192,all_same,0.0,4
17,,1.9073486328125e-06,True,8192,all_same,0.0,4
18,,0.0,True,8192,all_same,0.0,4
19,,9.5367431640625e-07,True,8192,all_same,0.0,4
20,,0.0,True,8192,all_same,0.0,5
21,,0.0,True,8192,all_same,0.0,5
22,,0.0,True,8192,all_same,0.0,5
23,,0.0,True,8192,all_same,0.0,5
24,,0.0,True,8192,all_same,0.0,6
25,,0.0,True,8192,all_same,0.0,6
26,,0.0,True,8192,all_same,0.0,6
27,,0.0,True,8192,all_same,0.0,6
28,,0.0,True,8192,all_same,0.0,7
29,,0.0,True,8192,all_same,0.0,7
30,,0.0,True,8192,all_same,0.0,7
31,,0.0,True,8192,all_same,0.0,7
0,,0.0,True,8192,all_same,0.25,0
1,,0.0,True,8192,all_same,0.25,0
2,,0.0,True,8192,all_same,0.25,0
3,,0.0,True,8192,all_same,0.25,0
4,,0.0,True,8192,all_same,0.25,1
5,,9.5367431640625e-07,True,8192,all_same,0.25,1
6,,0.0,True,8192,all_same,0.25,1
7,,0.0,True,8192,all_same,0.25,1
8,,0.0,True,8192,all_same,0.25,2
9,,0.0,True,8192,all_same,0.25,2
10,,0.0,True,8192,all_same,0.25,2
11,,0.0,True,8192,all_same,0.25,2
12,,0.0,True,8192,all_same,0.25,3
13,,0.0,True,8192,all_same,0.25,3
14,,0.0,True,8192,all_same,0.25,3
15,,0.0,True,8192,all_same,0.25,3
16,,0.0,True,8192,all_same,0.25,4
17,,4.76837158203125e-07,True,8192,all_same,0.25,4
18,,3.814697265625e-06,True,8192,all_same,0.25,4
19,,0.0,True,8192,all_same,0.25,4
20,,0.0,True,8192,all_same,0.25,5
21,,0.0,True,8192,all_same,0.25,5
22,,0.0,True,8192,all_same,0.25,5
23,,0.0,True,8192,all_same,0.25,5
24,,0.0,True,8192,all_same,0.25,6
25,,0.0,True,8192,all_same,0.25,6
26,,0.0,True,8192,all_same,0.25,6
27,,0.0,True,8192,all_same,0.25,6
28,,0.0,True,8192,all_same,0.25,7
29,,0.0,True,8192,all_same,0.25,7
30,,0.0,True,8192,all_same,0.25,7
31,,0.0,True,8192,all_same,0.25,7
0,,0.0,True,8192,all_same,0.5,0
1,,0.0,True,8192,all_same,0.5,0
2,,0.0,True,8192,all_same,0.5,0
3,,0.0,True,8192,all_same,0.5,0
4,,0.0,True,8192,all_same,0.5,1
5,,0.0,True,8192,all_same,0.5,1
6,,0.0,True,8192,all_same,0.5,1
7,,0.0,True,8192,all_same,0.5,1
8,,0.0,True,8192,all_same,0.5,2
9,,0.0,True,8192,all_same,0.5,2
10,,0.0,True,8192,all_same,0.5,2
11,,0.0,True,8192,all_same,0.5,2
12,,0.0,True,8192,all_same,0.5,3
13,,0.0,True,8192,all_same,0.5,3
14,,0.0,True,8192,all_same,0.5,3
15,,0.0,True,8192,all_same,0.5,3
16,,0.0,True,8192,all_same,0.5,4
17,,0.0,True,8192,all_same,0.5,4
18,,0.0,True,8192,all_same,0.5,4
19,,0.0,True,8192,all_same,0.5,4
20,,0.0,True,8192,all_same,0.5,5
21,,0.0,True,8192,all_same,0.5,5
22,,0.0,True,8192,all_same,0.5,5
23,,0.0,True,8192,all_same,0.5,5
24,,0.0,True,8192,all_same,0.5,6
25,,0.0,True,8192,all_same,0.5,6
26,,0.0,True,8192,all_same,0.5,6
27,,0.0,True,8192,all_same,0.5,6
28,,3.814697265625e-06,True,8192,all_same,0.5,7
29,,0.0,True,8192,all_same,0.5,7
30,,0.0,True,8192,all_same,0.5,7
31,,0.0,True,8192,all_same,0.5,7
0,,0.0,True,8192,all_same,1.0,0
1,,0.0,True,8192,all_same,1.0,0
2,,0.0,True,8192,all_same,1.0,0
3,,0.0,True,8192,all_same,1.0,0
4,,0.0,True,8192,all_same,1.0,1
5,,0.0,True,8192,all_same,1.0,1
6,,0.0,True,8192,all_same,1.0,1
7,,0.0,True,8192,all_same,1.0,1
8,,0.0,True,8192,all_same,1.0,2
9,,0.0,True,8192,all_same,1.0,2
10,,0.0,True,8192,all_same,1.0,2
11,,0.0,True,8192,all_same,1.0,2
12,,0.0,True,8192,all_same,1.0,3
13,,0.0,True,8192,all_same,1.0,3
14,,0.0,True,8192,all_same,1.0,3
15,,5.960464477539063e-08,True,8192,all_same,1.0,3
16,,0.0,True,8192,all_same,1.0,4
17,,0.0,True,8192,all_same,1.0,4
18,,0.0,True,8192,all_same,1.0,4
19,,0.0,True,8192,all_same,1.0,4
20,,0.0,True,8192,all_same,1.0,5
21,,0.0,True,8192,all_same,1.0,5
22,,0.0,True,8192,all_same,1.0,5
23,,0.0,True,8192,all_same,1.0,5
24,,0.0,True,8192,all_same,1.0,6
25,,0.0,True,8192,all_same,1.0,6
26,,0.0,True,8192,all_same,1.0,6
27,,0.0,True,8192,all_same,1.0,6
28,,0.0,True,8192,all_same,1.0,7
29,,0.0,True,8192,all_same,1.0,7
30,,0.0,True,8192,all_same,1.0,7
31,,0.0,True,8192,all_same,1.0,7
0,,0.0,True,16384,normal,0.0,0
1,,9.5367431640625e-07,True,16384,normal,0.0,0
2,,0.0,True,16384,normal,0.0,0
3,,0.0,True,16384,normal,0.0,0
4,,5.960464477539063e-08,True,16384,normal,0.0,1
5,,0.0,True,16384,normal,0.0,1
6,,0.0,True,16384,normal,0.0,1
7,,2.384185791015625e-07,True,16384,normal,0.0,1
8,,0.0,True,16384,normal,0.0,2
9,,0.0,True,16384,normal,0.0,2
10,,0.0,True,16384,normal,0.0,2
11,,0.0,True,16384,normal,0.0,2
12,,1.1920928955078125e-07,True,16384,normal,0.0,3
13,,0.0,True,16384,normal,0.0,3
14,,0.0,True,16384,normal,0.0,3
15,,0.0,True,16384,normal,0.0,3
16,,0.0,True,16384,normal,0.0,4
17,,4.76837158203125e-07,True,16384,normal,0.0,4
18,,0.0,True,16384,normal,0.0,4
19,,4.76837158203125e-07,True,16384,normal,0.0,4
20,,4.76837158203125e-07,True,16384,normal,0.0,5
21,,0.0,True,16384,normal,0.0,5
22,,0.0,True,16384,normal,0.0,5
23,,5.960464477539063e-08,True,16384,normal,0.0,5
24,,0.0,True,16384,normal,0.0,6
25,,0.0,True,16384,normal,0.0,6
26,,0.0,True,16384,normal,0.0,6
27,,0.0,True,16384,normal,0.0,6
28,,0.0,True,16384,normal,0.0,7
29,,9.5367431640625e-07,True,16384,normal,0.0,7
30,,0.0,True,16384,normal,0.0,7
31,,0.0,True,16384,normal,0.0,7
0,,0.0,True,16384,normal,0.25,0
1,,0.0,True,16384,normal,0.25,0
2,,0.0,True,16384,normal,0.25,0
3,,0.0,True,16384,normal,0.25,0
4,,1.9073486328125e-06,True,16384,normal,0.25,1
5,,0.0,True,16384,normal,0.25,1
6,,0.0,True,16384,normal,0.25,1
7,,0.0,True,16384,normal,0.25,1
8,,1.9073486328125e-06,True,16384,normal,0.25,2
9,,0.0,True,16384,normal,0.25,2
10,,0.0,True,16384,normal,0.25,2
11,,0.0,True,16384,normal,0.25,2
12,,0.0,True,16384,normal,0.25,3
13,,0.0,True,16384,normal,0.25,3
14,,0.0,True,16384,normal,0.25,3
15,,0.0,True,16384,normal,0.25,3
16,,0.0,True,16384,normal,0.25,4
17,,0.0,True,16384,normal,0.25,4
18,,0.0,True,16384,normal,0.25,4
19,,9.5367431640625e-07,True,16384,normal,0.25,4
20,,0.0,True,16384,normal,0.25,5
21,,0.0,True,16384,normal,0.25,5
22,,9.5367431640625e-07,True,16384,normal,0.25,5
23,,0.0,True,16384,normal,0.25,5
24,,0.0,True,16384,normal,0.25,6
25,,9.5367431640625e-07,True,16384,normal,0.25,6
26,,0.0,True,16384,normal,0.25,6
27,,0.0,True,16384,normal,0.25,6
28,,1.1920928955078125e-07,True,16384,normal,0.25,7
29,,0.0,True,16384,normal,0.25,7
30,,0.0,True,16384,normal,0.25,7
31,,0.0,True,16384,normal,0.25,7
0,,0.0,True,16384,normal,0.5,0
1,,0.0,True,16384,normal,0.5,0
2,,0.0,True,16384,normal,0.5,0
3,,0.0,True,16384,normal,0.5,0
4,,0.0,True,16384,normal,0.5,1
5,,0.0,True,16384,normal,0.5,1
6,,0.0,True,16384,normal,0.5,1
7,,0.0,True,16384,normal,0.5,1
8,,0.0,True,16384,normal,0.5,2
9,,0.0,True,16384,normal,0.5,2
10,,0.0,True,16384,normal,0.5,2
11,,3.814697265625e-06,True,16384,normal,0.5,2
12,,0.0,True,16384,normal,0.5,3
13,,0.0,True,16384,normal,0.5,3
14,,0.0,True,16384,normal,0.5,3
15,,0.0,True,16384,normal,0.5,3
16,,0.0,True,16384,normal,0.5,4
17,,0.0,True,16384,normal,0.5,4
18,,0.0,True,16384,normal,0.5,4
19,,0.0,True,16384,normal,0.5,4
20,,4.76837158203125e-07,True,16384,normal,0.5,5
21,,0.0,True,16384,normal,0.5,5
22,,0.0,True,16384,normal,0.5,5
23,,0.0,True,16384,normal,0.5,5
24,,0.0,True,16384,normal,0.5,6
25,,0.0,True,16384,normal,0.5,6
26,,0.0,True,16384,normal,0.5,6
27,,0.0,True,16384,normal,0.5,6
