method,base_seed,effective_seed,problem_id,selector_task_key,layer,v4_tokens,total_tokens,fraction,generation_config_hash,formal_config_hash
CAUSAL_V4_25,42,42,0,aime24:p0:s0:seed42,13,576,2304,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,42,0,aime24:p0:s0:seed42,14,576,2304,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,42,0,aime24:p0:s0:seed42,15,576,2304,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,42,0,aime24:p0:s0:seed42,16,576,2304,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,42,0,aime24:p0:s0:seed42,17,576,2304,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,42,0,aime24:p0:s0:seed42,18,576,2304,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,42,0,aime24:p0:s0:seed42,19,576,2304,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,42,0,aime24:p0:s0:seed42,20,576,2304,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,42,0,aime24:p0:s0:seed42,21,576,2304,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,42,0,aime24:p0:s0:seed42,22,576,2304,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,42,0,aime24:p0:s0:seed42,23,576,2304,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,42,0,aime24:p0:s0:seed42,24,576,2304,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,42,0,aime24:p0:s0:seed42,25,576,2304,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,42,0,aime24:p0:s0:seed42,26,576,2304,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,42,0,aime24:p0:s0:seed42,27,576,2304,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,42,0,aime24:p0:s0:seed42,28,576,2304,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,42,0,aime24:p0:s0:seed42,29,576,2304,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,42,0,aime24:p0:s0:seed42,30,576,2304,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,42,0,aime24:p0:s0:seed42,31,576,2304,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,1042,1,aime24:p1:s0:seed1042,0,8160,32640,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,1042,1,aime24:p1:s0:seed1042,1,8160,32640,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,1042,1,aime24:p1:s0:seed1042,2,8160,32640,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,1042,1,aime24:p1:s0:seed1042,3,8160,32640,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,1042,1,aime24:p1:s0:seed1042,4,8160,32640,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,1042,1,aime24:p1:s0:seed1042,5,8160,32640,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,1042,1,aime24:p1:s0:seed1042,6,8160,32640,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,1042,1,aime24:p1:s0:seed1042,7,8160,32640,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,1042,1,aime24:p1:s0:seed1042,8,8160,32640,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,1042,1,aime24:p1:s0:seed1042,9,8160,32640,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,1042,1,aime24:p1:s0:seed1042,10,8160,32640,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,1042,1,aime24:p1:s0:seed1042,11,8160,32640,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,1042,1,aime24:p1:s0:seed1042,12,8160,32640,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,1042,1,aime24:p1:s0:seed1042,13,8160,32640,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,1042,1,aime24:p1:s0:seed1042,14,8160,32640,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,1042,1,aime24:p1:s0:seed1042,15,8160,32640,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,1042,1,aime24:p1:s0:seed1042,16,8160,32640,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,1042,1,aime24:p1:s0:seed1042,17,8160,32640,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,1042,1,aime24:p1:s0:seed1042,18,8160,32640,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,1042,1,aime24:p1:s0:seed1042,19,8160,32640,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,1042,1,aime24:p1:s0:seed1042,20,8160,32640,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,1042,1,aime24:p1:s0:seed1042,21,8160,32640,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,1042,1,aime24:p1:s0:seed1042,22,8160,32640,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,1042,1,aime24:p1:s0:seed1042,23,8160,32640,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,1042,1,aime24:p1:s0:seed1042,24,8160,32640,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,1042,1,aime24:p1:s0:seed1042,25,8160,32640,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,1042,1,aime24:p1:s0:seed1042,26,8160,32640,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,1042,1,aime24:p1:s0:seed1042,27,8160,32640,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,1042,1,aime24:p1:s0:seed1042,28,8160,32640,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,1042,1,aime24:p1:s0:seed1042,29,8160,32640,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,1042,1,aime24:p1:s0:seed1042,30,8160,32640,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,1042,1,aime24:p1:s0:seed1042,31,8160,32640,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,2042,2,aime24:p2:s0:seed2042,0,2816,11264,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,2042,2,aime24:p2:s0:seed2042,1,2816,11264,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,2042,2,aime24:p2:s0:seed2042,2,2816,11264,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,2042,2,aime24:p2:s0:seed2042,3,2816,11264,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,2042,2,aime24:p2:s0:seed2042,4,2816,11264,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,2042,2,aime24:p2:s0:seed2042,5,2816,11264,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,2042,2,aime24:p2:s0:seed2042,6,2816,11264,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,2042,2,aime24:p2:s0:seed2042,7,2816,11264,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,2042,2,aime24:p2:s0:seed2042,8,2816,11264,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,2042,2,aime24:p2:s0:seed2042,9,2816,11264,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,2042,2,aime24:p2:s0:seed2042,10,2816,11264,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,2042,2,aime24:p2:s0:seed2042,11,2816,11264,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,2042,2,aime24:p2:s0:seed2042,12,2816,11264,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,2042,2,aime24:p2:s0:seed2042,13,2816,11264,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,2042,2,aime24:p2:s0:seed2042,14,2816,11264,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,2042,2,aime24:p2:s0:seed2042,15,2816,11264,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,2042,2,aime24:p2:s0:seed2042,16,2816,11264,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,2042,2,aime24:p2:s0:seed2042,17,2816,11264,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,2042,2,aime24:p2:s0:seed2042,18,2816,11264,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,2042,2,aime24:p2:s0:seed2042,19,2816,11264,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,2042,2,aime24:p2:s0:seed2042,20,2816,11264,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,2042,2,aime24:p2:s0:seed2042,21,2816,11264,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,2042,2,aime24:p2:s0:seed2042,22,2816,11264,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,2042,2,aime24:p2:s0:seed2042,23,2816,11264,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,2042,2,aime24:p2:s0:seed2042,24,2816,11264,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,2042,2,aime24:p2:s0:seed2042,25,2816,11264,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,2042,2,aime24:p2:s0:seed2042,26,2816,11264,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,2042,2,aime24:p2:s0:seed2042,27,2816,11264,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,2042,2,aime24:p2:s0:seed2042,28,2816,11264,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,2042,2,aime24:p2:s0:seed2042,29,2816,11264,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,2042,2,aime24:p2:s0:seed2042,30,2816,11264,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,2042,2,aime24:p2:s0:seed2042,31,2816,11264,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,3042,3,aime24:p3:s0:seed3042,0,2976,11904,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,3042,3,aime24:p3:s0:seed3042,1,2976,11904,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,3042,3,aime24:p3:s0:seed3042,2,2976,11904,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,3042,3,aime24:p3:s0:seed3042,3,2976,11904,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,3042,3,aime24:p3:s0:seed3042,4,2976,11904,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,3042,3,aime24:p3:s0:seed3042,5,2976,11904,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,3042,3,aime24:p3:s0:seed3042,6,2976,11904,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,3042,3,aime24:p3:s0:seed3042,7,2976,11904,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,3042,3,aime24:p3:s0:seed3042,8,2976,11904,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,3042,3,aime24:p3:s0:seed3042,9,2976,11904,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,3042,3,aime24:p3:s0:seed3042,10,2976,11904,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,3042,3,aime24:p3:s0:seed3042,11,2976,11904,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,3042,3,aime24:p3:s0:seed3042,12,2976,11904,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,3042,3,aime24:p3:s0:seed3042,13,2976,11904,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,3042,3,aime24:p3:s0:seed3042,14,2976,11904,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,3042,3,aime24:p3:s0:seed3042,15,2976,11904,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,3042,3,aime24:p3:s0:seed3042,16,2976,11904,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,3042,3,aime24:p3:s0:seed3042,17,2976,11904,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,3042,3,aime24:p3:s0:seed3042,18,2976,11904,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,3042,3,aime24:p3:s0:seed3042,19,2976,11904,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,3042,3,aime24:p3:s0:seed3042,20,2976,11904,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,3042,3,aime24:p3:s0:seed3042,21,2976,11904,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,3042,3,aime24:p3:s0:seed3042,22,2976,11904,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,3042,3,aime24:p3:s0:seed3042,23,2976,11904,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,3042,3,aime24:p3:s0:seed3042,24,2976,11904,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,3042,3,aime24:p3:s0:seed3042,25,2976,11904,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,3042,3,aime24:p3:s0:seed3042,26,2976,11904,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,3042,3,aime24:p3:s0:seed3042,27,2976,11904,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,3042,3,aime24:p3:s0:seed3042,28,2976,11904,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,3042,3,aime24:p3:s0:seed3042,29,2976,11904,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,3042,3,aime24:p3:s0:seed3042,30,2976,11904,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,3042,3,aime24:p3:s0:seed3042,31,2976,11904,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,4042,4,aime24:p4:s0:seed4042,0,5312,21248,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,4042,4,aime24:p4:s0:seed4042,1,5312,21248,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,4042,4,aime24:p4:s0:seed4042,2,5312,21248,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,4042,4,aime24:p4:s0:seed4042,3,5312,21248,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,4042,4,aime24:p4:s0:seed4042,4,5312,21248,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,4042,4,aime24:p4:s0:seed4042,5,5312,21248,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,4042,4,aime24:p4:s0:seed4042,6,5312,21248,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,4042,4,aime24:p4:s0:seed4042,7,5312,21248,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,4042,4,aime24:p4:s0:seed4042,8,5312,21248,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,4042,4,aime24:p4:s0:seed4042,9,5312,21248,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,4042,4,aime24:p4:s0:seed4042,10,5312,21248,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,4042,4,aime24:p4:s0:seed4042,11,5312,21248,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,4042,4,aime24:p4:s0:seed4042,12,5312,21248,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,4042,4,aime24:p4:s0:seed4042,13,5312,21248,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,4042,4,aime24:p4:s0:seed4042,14,5312,21248,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,4042,4,aime24:p4:s0:seed4042,15,5312,21248,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,4042,4,aime24:p4:s0:seed4042,16,5312,21248,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,4042,4,aime24:p4:s0:seed4042,17,5312,21248,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,4042,4,aime24:p4:s0:seed4042,18,5312,21248,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,4042,4,aime24:p4:s0:seed4042,19,5312,21248,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,4042,4,aime24:p4:s0:seed4042,20,5312,21248,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,4042,4,aime24:p4:s0:seed4042,21,5312,21248,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,4042,4,aime24:p4:s0:seed4042,22,5312,21248,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,4042,4,aime24:p4:s0:seed4042,23,5312,21248,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,4042,4,aime24:p4:s0:seed4042,24,5312,21248,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,4042,4,aime24:p4:s0:seed4042,25,5312,21248,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,4042,4,aime24:p4:s0:seed4042,26,5312,21248,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,4042,4,aime24:p4:s0:seed4042,27,5312,21248,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,4042,4,aime24:p4:s0:seed4042,28,5312,21248,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,4042,4,aime24:p4:s0:seed4042,29,5312,21248,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,4042,4,aime24:p4:s0:seed4042,30,5312,21248,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,4042,4,aime24:p4:s0:seed4042,31,5312,21248,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,5042,5,aime24:p5:s0:seed5042,0,5920,23680,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,5042,5,aime24:p5:s0:seed5042,1,5920,23680,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,5042,5,aime24:p5:s0:seed5042,2,5920,23680,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,5042,5,aime24:p5:s0:seed5042,3,5920,23680,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,5042,5,aime24:p5:s0:seed5042,4,5920,23680,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,5042,5,aime24:p5:s0:seed5042,5,5920,23680,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,5042,5,aime24:p5:s0:seed5042,6,5920,23680,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,5042,5,aime24:p5:s0:seed5042,7,5920,23680,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,5042,5,aime24:p5:s0:seed5042,8,5920,23680,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,5042,5,aime24:p5:s0:seed5042,9,5920,23680,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,5042,5,aime24:p5:s0:seed5042,10,5920,23680,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,5042,5,aime24:p5:s0:seed5042,11,5920,23680,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,5042,5,aime24:p5:s0:seed5042,12,5920,23680,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,5042,5,aime24:p5:s0:seed5042,13,5920,23680,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,5042,5,aime24:p5:s0:seed5042,14,5920,23680,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,5042,5,aime24:p5:s0:seed5042,15,5920,23680,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,5042,5,aime24:p5:s0:seed5042,16,5920,23680,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,5042,5,aime24:p5:s0:seed5042,17,5920,23680,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,5042,5,aime24:p5:s0:seed5042,18,5920,23680,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,5042,5,aime24:p5:s0:seed5042,19,5920,23680,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,5042,5,aime24:p5:s0:seed5042,20,5920,23680,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,5042,5,aime24:p5:s0:seed5042,21,5920,23680,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,5042,5,aime24:p5:s0:seed5042,22,5920,23680,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,5042,5,aime24:p5:s0:seed5042,23,5920,23680,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,5042,5,aime24:p5:s0:seed5042,24,5920,23680,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,5042,5,aime24:p5:s0:seed5042,25,5920,23680,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,5042,5,aime24:p5:s0:seed5042,26,5920,23680,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,5042,5,aime24:p5:s0:seed5042,27,5920,23680,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,5042,5,aime24:p5:s0:seed5042,28,5920,23680,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,5042,5,aime24:p5:s0:seed5042,29,5920,23680,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,5042,5,aime24:p5:s0:seed5042,30,5920,23680,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
