method,comparison,task_key,left_config,right_config,first_divergence_token,common_prefix_length,left_generated_tokens,right_generated_tokens,left_stop_reason,right_stop_reason,left_strict_correct,right_strict_correct
KIVI,S0_vs_S128,aime24:p11:s1:seed11043,kivi_rolling_k2v2_s0_r128,kivi_rolling_k2v2_s128_r128,96,95,4433,4715,eos,eos,False,True
KIVI,S0_vs_S128,aime24:p12:s0:seed12042,kivi_rolling_k2v2_s0_r128,kivi_rolling_k2v2_s128_r128,201,200,11050,11250,eos,eos,False,True
KIVI,S0_vs_S128,aime24:p12:s1:seed12043,kivi_rolling_k2v2_s0_r128,kivi_rolling_k2v2_s128_r128,194,193,5991,4013,eos,eos,True,True
KIVI,S0_vs_S128,aime24:p14:s0:seed14042,kivi_rolling_k2v2_s0_r128,kivi_rolling_k2v2_s128_r128,162,161,14768,11590,eos,eos,False,False
KIVI,S0_vs_S128,aime24:p15:s0:seed15042,kivi_rolling_k2v2_s0_r128,kivi_rolling_k2v2_s128_r128,60,59,19556,20779,eos,eos,False,False
KIVI,S0_vs_S128,aime24:p15:s1:seed15043,kivi_rolling_k2v2_s0_r128,kivi_rolling_k2v2_s128_r128,156,155,32768,14716,length,eos,False,False
KIVI,S0_vs_S128,aime24:p16:s0:seed16042,kivi_rolling_k2v2_s0_r128,kivi_rolling_k2v2_s128_r128,190,189,15042,8197,eos,eos,False,True
KIVI,S0_vs_S128,aime24:p17:s0:seed17042,kivi_rolling_k2v2_s0_r128,kivi_rolling_k2v2_s128_r128,158,157,17235,18875,eos,eos,False,False
KIVI,S0_vs_S128,aime24:p6:s0:seed6042,kivi_rolling_k2v2_s0_r128,kivi_rolling_k2v2_s128_r128,142,141,5334,22210,eos,eos,True,True
KIVI,S16_vs_S128,aime24:p11:s0:seed11042,kivi_rolling_k2v2_s16_r128,kivi_rolling_k2v2_s128_r128,41,40,6403,3118,eos,eos,False,True
KIVI,S16_vs_S128,aime24:p11:s1:seed11043,kivi_rolling_k2v2_s16_r128,kivi_rolling_k2v2_s128_r128,205,204,5174,4715,eos,eos,True,True
KIVI,S16_vs_S128,aime24:p12:s0:seed12042,kivi_rolling_k2v2_s16_r128,kivi_rolling_k2v2_s128_r128,221,220,8038,11250,eos,eos,True,True
KIVI,S16_vs_S128,aime24:p12:s1:seed12043,kivi_rolling_k2v2_s16_r128,kivi_rolling_k2v2_s128_r128,209,208,4341,4013,eos,eos,True,True
KIVI,S16_vs_S128,aime24:p14:s0:seed14042,kivi_rolling_k2v2_s16_r128,kivi_rolling_k2v2_s128_r128,222,221,10912,11590,eos,eos,False,False
KIVI,S16_vs_S128,aime24:p15:s0:seed15042,kivi_rolling_k2v2_s16_r128,kivi_rolling_k2v2_s128_r128,60,59,16406,20779,eos,eos,False,False
KIVI,S16_vs_S128,aime24:p15:s1:seed15043,kivi_rolling_k2v2_s16_r128,kivi_rolling_k2v2_s128_r128,127,126,14991,14716,eos,eos,True,False
KIVI,S16_vs_S128,aime24:p16:s0:seed16042,kivi_rolling_k2v2_s16_r128,kivi_rolling_k2v2_s128_r128,217,216,5526,8197,eos,eos,True,True
KIVI,S16_vs_S128,aime24:p17:s0:seed17042,kivi_rolling_k2v2_s16_r128,kivi_rolling_k2v2_s128_r128,182,181,17823,18875,eos,eos,True,False
KIVI,S16_vs_S128,aime24:p6:s0:seed6042,kivi_rolling_k2v2_s16_r128,kivi_rolling_k2v2_s128_r128,156,155,11816,22210,eos,eos,True,True
