backend,decode_position,layer,task_key,v_gate_disagreement_rate
reference,512,26,aime24:p12:s0:seed12042,0.0
reference,512,27,aime24:p12:s0:seed12042,0.0
reference,512,28,aime24:p12:s0:seed12042,0.0
reference,512,29,aime24:p12:s0:seed12042,0.0
reference,512,30,aime24:p12:s0:seed12042,0.0
reference,512,31,aime24:p12:s0:seed12042,0.0
reference,1024,0,aime24:p12:s0:seed12042,0.0
reference,1024,1,aime24:p12:s0:seed12042,0.0
reference,1024,2,aime24:p12:s0:seed12042,0.0
reference,1024,3,aime24:p12:s0:seed12042,0.0
reference,1024,4,aime24:p12:s0:seed12042,0.0
reference,1024,5,aime24:p12:s0:seed12042,0.0
reference,1024,6,aime24:p12:s0:seed12042,0.0
reference,1024,7,aime24:p12:s0:seed12042,0.0
reference,1024,8,aime24:p12:s0:seed12042,0.0
reference,1024,9,aime24:p12:s0:seed12042,0.0
reference,1024,10,aime24:p12:s0:seed12042,0.0
reference,1024,11,aime24:p12:s0:seed12042,0.0
reference,1024,12,aime24:p12:s0:seed12042,0.0
reference,1024,13,aime24:p12:s0:seed12042,0.0
reference,1024,14,aime24:p12:s0:seed12042,0.0
reference,1024,15,aime24:p12:s0:seed12042,0.0
reference,1024,16,aime24:p12:s0:seed12042,0.0
reference,1024,17,aime24:p12:s0:seed12042,0.0
reference,1024,18,aime24:p12:s0:seed12042,0.0
reference,1024,19,aime24:p12:s0:seed12042,0.0
reference,1024,20,aime24:p12:s0:seed12042,0.0
reference,1024,21,aime24:p12:s0:seed12042,0.0
reference,1024,22,aime24:p12:s0:seed12042,0.0
reference,1024,23,aime24:p12:s0:seed12042,0.0
reference,1024,24,aime24:p12:s0:seed12042,0.0
reference,1024,25,aime24:p12:s0:seed12042,0.0
reference,1024,26,aime24:p12:s0:seed12042,0.0
reference,1024,27,aime24:p12:s0:seed12042,0.0
reference,1024,28,aime24:p12:s0:seed12042,0.0
reference,1024,29,aime24:p12:s0:seed12042,0.0
reference,1024,30,aime24:p12:s0:seed12042,0.0
reference,1024,31,aime24:p12:s0:seed12042,0.0
reference,2048,0,aime24:p12:s0:seed12042,0.0
reference,2048,1,aime24:p12:s0:seed12042,0.0
reference,2048,2,aime24:p12:s0:seed12042,0.0
reference,2048,3,aime24:p12:s0:seed12042,0.0
reference,2048,4,aime24:p12:s0:seed12042,0.0
reference,2048,5,aime24:p12:s0:seed12042,0.0
reference,2048,6,aime24:p12:s0:seed12042,0.0
reference,2048,7,aime24:p12:s0:seed12042,0.0
reference,2048,8,aime24:p12:s0:seed12042,0.0
reference,2048,9,aime24:p12:s0:seed12042,0.0
reference,2048,10,aime24:p12:s0:seed12042,0.0
reference,2048,11,aime24:p12:s0:seed12042,0.0
reference,2048,12,aime24:p12:s0:seed12042,0.0
reference,2048,13,aime24:p12:s0:seed12042,0.0
reference,2048,14,aime24:p12:s0:seed12042,0.0
reference,2048,15,aime24:p12:s0:seed12042,0.0
reference,2048,16,aime24:p12:s0:seed12042,0.0
reference,2048,17,aime24:p12:s0:seed12042,0.0
reference,2048,18,aime24:p12:s0:seed12042,0.0
reference,2048,19,aime24:p12:s0:seed12042,0.0
reference,2048,20,aime24:p12:s0:seed12042,0.0
reference,2048,21,aime24:p12:s0:seed12042,0.0
reference,2048,22,aime24:p12:s0:seed12042,0.0
reference,2048,23,aime24:p12:s0:seed12042,0.0
reference,2048,24,aime24:p12:s0:seed12042,0.0
reference,2048,25,aime24:p12:s0:seed12042,0.0
reference,2048,26,aime24:p12:s0:seed12042,0.0
reference,2048,27,aime24:p12:s0:seed12042,0.0
reference,2048,28,aime24:p12:s0:seed12042,0.0
reference,2048,29,aime24:p12:s0:seed12042,0.0
reference,2048,30,aime24:p12:s0:seed12042,0.0
reference,2048,31,aime24:p12:s0:seed12042,0.0
reference,4096,0,aime24:p12:s0:seed12042,0.0
reference,4096,1,aime24:p12:s0:seed12042,0.0
reference,4096,2,aime24:p12:s0:seed12042,0.0
reference,4096,3,aime24:p12:s0:seed12042,0.0
reference,4096,4,aime24:p12:s0:seed12042,0.0
reference,4096,5,aime24:p12:s0:seed12042,0.0
reference,4096,6,aime24:p12:s0:seed12042,0.0
reference,4096,7,aime24:p12:s0:seed12042,0.0
reference,4096,8,aime24:p12:s0:seed12042,0.0
reference,4096,9,aime24:p12:s0:seed12042,0.0
reference,4096,10,aime24:p12:s0:seed12042,0.0
reference,4096,11,aime24:p12:s0:seed12042,0.0
reference,4096,12,aime24:p12:s0:seed12042,0.0
reference,4096,13,aime24:p12:s0:seed12042,0.0
reference,4096,14,aime24:p12:s0:seed12042,0.0
reference,4096,15,aime24:p12:s0:seed12042,0.0
reference,4096,16,aime24:p12:s0:seed12042,0.0
reference,4096,17,aime24:p12:s0:seed12042,0.0
reference,4096,18,aime24:p12:s0:seed12042,0.0
reference,4096,19,aime24:p12:s0:seed12042,0.0
reference,4096,20,aime24:p12:s0:seed12042,0.0
reference,4096,21,aime24:p12:s0:seed12042,0.0
reference,4096,22,aime24:p12:s0:seed12042,0.0
reference,4096,23,aime24:p12:s0:seed12042,0.0
reference,4096,24,aime24:p12:s0:seed12042,0.0
reference,4096,25,aime24:p12:s0:seed12042,0.0
reference,4096,26,aime24:p12:s0:seed12042,0.0
reference,4096,27,aime24:p12:s0:seed12042,0.0
reference,4096,28,aime24:p12:s0:seed12042,0.0
reference,4096,29,aime24:p12:s0:seed12042,0.0
reference,4096,30,aime24:p12:s0:seed12042,0.0
reference,4096,31,aime24:p12:s0:seed12042,0.0
reference,128,0,aime24:p14:s0:seed14042,0.0
reference,128,1,aime24:p14:s0:seed14042,0.0
reference,128,2,aime24:p14:s0:seed14042,0.0
reference,128,3,aime24:p14:s0:seed14042,0.0
reference,128,4,aime24:p14:s0:seed14042,0.0
reference,128,5,aime24:p14:s0:seed14042,0.0
reference,128,6,aime24:p14:s0:seed14042,0.0
reference,128,7,aime24:p14:s0:seed14042,0.0
reference,128,8,aime24:p14:s0:seed14042,0.0
reference,128,9,aime24:p14:s0:seed14042,0.0
reference,128,10,aime24:p14:s0:seed14042,0.0
reference,128,11,aime24:p14:s0:seed14042,0.0
reference,128,12,aime24:p14:s0:seed14042,0.0
reference,128,13,aime24:p14:s0:seed14042,0.0
reference,128,14,aime24:p14:s0:seed14042,0.0
reference,128,15,aime24:p14:s0:seed14042,0.0
reference,128,16,aime24:p14:s0:seed14042,0.0
reference,128,17,aime24:p14:s0:seed14042,0.0
reference,128,18,aime24:p14:s0:seed14042,0.0
reference,128,19,aime24:p14:s0:seed14042,0.0
reference,128,20,aime24:p14:s0:seed14042,0.0
reference,128,21,aime24:p14:s0:seed14042,0.0
reference,128,22,aime24:p14:s0:seed14042,0.0
reference,128,23,aime24:p14:s0:seed14042,0.0
reference,128,24,aime24:p14:s0:seed14042,0.0
reference,128,25,aime24:p14:s0:seed14042,0.0
reference,128,26,aime24:p14:s0:seed14042,0.0
reference,128,27,aime24:p14:s0:seed14042,0.0
reference,128,28,aime24:p14:s0:seed14042,0.0
reference,128,29,aime24:p14:s0:seed14042,0.0
reference,128,30,aime24:p14:s0:seed14042,0.0
reference,128,31,aime24:p14:s0:seed14042,0.0
reference,256,0,aime24:p14:s0:seed14042,0.0
reference,256,1,aime24:p14:s0:seed14042,0.0
reference,256,2,aime24:p14:s0:seed14042,0.0
reference,256,3,aime24:p14:s0:seed14042,0.0
reference,256,4,aime24:p14:s0:seed14042,0.0
reference,256,5,aime24:p14:s0:seed14042,0.0
reference,256,6,aime24:p14:s0:seed14042,0.0
reference,256,7,aime24:p14:s0:seed14042,0.0
reference,256,8,aime24:p14:s0:seed14042,0.0
reference,256,9,aime24:p14:s0:seed14042,0.0
reference,256,10,aime24:p14:s0:seed14042,0.0
reference,256,11,aime24:p14:s0:seed14042,0.0
reference,256,12,aime24:p14:s0:seed14042,0.0
reference,256,13,aime24:p14:s0:seed14042,0.0
reference,256,14,aime24:p14:s0:seed14042,0.0
reference,256,15,aime24:p14:s0:seed14042,0.0
reference,256,16,aime24:p14:s0:seed14042,0.0
reference,256,17,aime24:p14:s0:seed14042,0.0
reference,256,18,aime24:p14:s0:seed14042,0.0
reference,256,19,aime24:p14:s0:seed14042,0.0
reference,256,20,aime24:p14:s0:seed14042,0.0
reference,256,21,aime24:p14:s0:seed14042,0.0
reference,256,22,aime24:p14:s0:seed14042,0.0
reference,256,23,aime24:p14:s0:seed14042,0.0
reference,256,24,aime24:p14:s0:seed14042,0.0
reference,256,25,aime24:p14:s0:seed14042,0.0
reference,256,26,aime24:p14:s0:seed14042,0.0
reference,256,27,aime24:p14:s0:seed14042,0.0
reference,256,28,aime24:p14:s0:seed14042,0.0
reference,256,29,aime24:p14:s0:seed14042,0.0
reference,256,30,aime24:p14:s0:seed14042,0.0
reference,256,31,aime24:p14:s0:seed14042,0.0
reference,512,0,aime24:p14:s0:seed14042,0.0
reference,512,1,aime24:p14:s0:seed14042,0.0
reference,512,2,aime24:p14:s0:seed14042,0.0
reference,512,3,aime24:p14:s0:seed14042,0.0
reference,512,4,aime24:p14:s0:seed14042,0.0
reference,512,5,aime24:p14:s0:seed14042,0.0
reference,512,6,aime24:p14:s0:seed14042,0.0
reference,512,7,aime24:p14:s0:seed14042,0.0
reference,512,8,aime24:p14:s0:seed14042,0.0
reference,512,9,aime24:p14:s0:seed14042,0.0
reference,512,10,aime24:p14:s0:seed14042,0.0
reference,512,11,aime24:p14:s0:seed14042,0.0
reference,512,12,aime24:p14:s0:seed14042,0.0
reference,512,13,aime24:p14:s0:seed14042,0.0
reference,512,14,aime24:p14:s0:seed14042,0.0
reference,512,15,aime24:p14:s0:seed14042,0.0
reference,512,16,aime24:p14:s0:seed14042,0.0
reference,512,17,aime24:p14:s0:seed14042,0.0
reference,512,18,aime24:p14:s0:seed14042,0.0
reference,512,19,aime24:p14:s0:seed14042,0.0
reference,512,20,aime24:p14:s0:seed14042,0.0
reference,512,21,aime24:p14:s0:seed14042,0.0
reference,512,22,aime24:p14:s0:seed14042,0.0
reference,512,23,aime24:p14:s0:seed14042,0.0
reference,512,24,aime24:p14:s0:seed14042,0.0
reference,512,25,aime24:p14:s0:seed14042,0.0
reference,512,26,aime24:p14:s0:seed14042,0.0
reference,512,27,aime24:p14:s0:seed14042,0.0
reference,512,28,aime24:p14:s0:seed14042,0.0
reference,512,29,aime24:p14:s0:seed14042,0.0
reference,512,30,aime24:p14:s0:seed14042,0.0
reference,512,31,aime24:p14:s0:seed14042,0.0
reference,1024,0,aime24:p14:s0:seed14042,0.0
reference,1024,1,aime24:p14:s0:seed14042,0.0
reference,1024,2,aime24:p14:s0:seed14042,0.0
reference,1024,3,aime24:p14:s0:seed14042,0.0
reference,1024,4,aime24:p14:s0:seed14042,0.0
reference,1024,5,aime24:p14:s0:seed14042,0.0
reference,1024,6,aime24:p14:s0:seed14042,0.0
reference,1024,7,aime24:p14:s0:seed14042,0.0
reference,1024,8,aime24:p14:s0:seed14042,0.0
reference,1024,9,aime24:p14:s0:seed14042,0.0
reference,1024,10,aime24:p14:s0:seed14042,0.0
reference,1024,11,aime24:p14:s0:seed14042,0.0
reference,1024,12,aime24:p14:s0:seed14042,0.0
reference,1024,13,aime24:p14:s0:seed14042,0.0
reference,1024,14,aime24:p14:s0:seed14042,0.0
reference,1024,15,aime24:p14:s0:seed14042,0.0
reference,1024,16,aime24:p14:s0:seed14042,0.0
reference,1024,17,aime24:p14:s0:seed14042,0.0
reference,1024,18,aime24:p14:s0:seed14042,0.0
reference,1024,19,aime24:p14:s0:seed14042,0.0
reference,1024,20,aime24:p14:s0:seed14042,0.0
reference,1024,21,aime24:p14:s0:seed14042,0.0
reference,1024,22,aime24:p14:s0:seed14042,0.0
reference,1024,23,aime24:p14:s0:seed14042,0.0
reference,1024,24,aime24:p14:s0:seed14042,0.0
reference,1024,25,aime24:p14:s0:seed14042,0.0
reference,1024,26,aime24:p14:s0:seed14042,0.0
reference,1024,27,aime24:p14:s0:seed14042,0.0
reference,1024,28,aime24:p14:s0:seed14042,0.0
reference,1024,29,aime24:p14:s0:seed14042,0.0
reference,1024,30,aime24:p14:s0:seed14042,0.0
reference,1024,31,aime24:p14:s0:seed14042,0.0
reference,2048,0,aime24:p14:s0:seed14042,0.0
reference,2048,1,aime24:p14:s0:seed14042,0.0
reference,2048,2,aime24:p14:s0:seed14042,0.0
reference,2048,3,aime24:p14:s0:seed14042,0.0
reference,2048,4,aime24:p14:s0:seed14042,0.0
reference,2048,5,aime24:p14:s0:seed14042,0.0
reference,2048,6,aime24:p14:s0:seed14042,0.0
reference,2048,7,aime24:p14:s0:seed14042,0.0
reference,2048,8,aime24:p14:s0:seed14042,0.0
reference,2048,9,aime24:p14:s0:seed14042,0.0
reference,2048,10,aime24:p14:s0:seed14042,0.0
reference,2048,11,aime24:p14:s0:seed14042,0.0
reference,2048,12,aime24:p14:s0:seed14042,0.0
reference,2048,13,aime24:p14:s0:seed14042,0.0
reference,2048,14,aime24:p14:s0:seed14042,0.0
reference,2048,15,aime24:p14:s0:seed14042,0.0
reference,2048,16,aime24:p14:s0:seed14042,0.0
reference,2048,17,aime24:p14:s0:seed14042,0.0
reference,2048,18,aime24:p14:s0:seed14042,0.0
reference,2048,19,aime24:p14:s0:seed14042,0.0
reference,2048,20,aime24:p14:s0:seed14042,0.0
reference,2048,21,aime24:p14:s0:seed14042,0.0
reference,2048,22,aime24:p14:s0:seed14042,0.0
reference,2048,23,aime24:p14:s0:seed14042,0.0
reference,2048,24,aime24:p14:s0:seed14042,0.0
reference,2048,25,aime24:p14:s0:seed14042,0.0
reference,2048,26,aime24:p14:s0:seed14042,0.0
reference,2048,27,aime24:p14:s0:seed14042,0.0
reference,2048,28,aime24:p14:s0:seed14042,0.0
reference,2048,29,aime24:p14:s0:seed14042,0.0
reference,2048,30,aime24:p14:s0:seed14042,0.0
reference,2048,31,aime24:p14:s0:seed14042,0.0
reference,4096,0,aime24:p14:s0:seed14042,0.0
reference,4096,1,aime24:p14:s0:seed14042,0.0
reference,4096,2,aime24:p14:s0:seed14042,0.0
reference,4096,3,aime24:p14:s0:seed14042,0.0
reference,4096,4,aime24:p14:s0:seed14042,0.0
reference,4096,5,aime24:p14:s0:seed14042,0.0
reference,4096,6,aime24:p14:s0:seed14042,0.0
reference,4096,7,aime24:p14:s0:seed14042,0.0
reference,4096,8,aime24:p14:s0:seed14042,0.0
reference,4096,9,aime24:p14:s0:seed14042,0.0
reference,4096,10,aime24:p14:s0:seed14042,0.0
reference,4096,11,aime24:p14:s0:seed14042,0.0
reference,4096,12,aime24:p14:s0:seed14042,0.0
reference,4096,13,aime24:p14:s0:seed14042,0.0
reference,4096,14,aime24:p14:s0:seed14042,0.0
reference,4096,15,aime24:p14:s0:seed14042,0.0
reference,4096,16,aime24:p14:s0:seed14042,0.0
reference,4096,17,aime24:p14:s0:seed14042,0.0
reference,4096,18,aime24:p14:s0:seed14042,0.0
reference,4096,19,aime24:p14:s0:seed14042,0.0
reference,4096,20,aime24:p14:s0:seed14042,0.0
reference,4096,21,aime24:p14:s0:seed14042,0.0
reference,4096,22,aime24:p14:s0:seed14042,0.0
reference,4096,23,aime24:p14:s0:seed14042,0.0
reference,4096,24,aime24:p14:s0:seed14042,0.0
reference,4096,25,aime24:p14:s0:seed14042,0.0
reference,4096,26,aime24:p14:s0:seed14042,0.0
reference,4096,27,aime24:p14:s0:seed14042,0.0
reference,4096,28,aime24:p14:s0:seed14042,0.0
reference,4096,29,aime24:p14:s0:seed14042,0.0
reference,4096,30,aime24:p14:s0:seed14042,0.0
reference,4096,31,aime24:p14:s0:seed14042,0.0
