path	git_status	category	approx_diff_size	likely_originating_task	scientific_system_purpose	should_commit	proposed_commit_group	reason	file_type	bytes
models/request_lifecycle.py	??	PRODUCTION_CODE	22328 bytes	request lifecycle / dynamic batching	Production runtime semantics for PatternKV/CAUSAL system path.	yes	A_request_lifecycle_continuous_batching	semantic source/test/report artifact	Python script, ASCII text executable	22328
models/segmented_cache.py	M	PRODUCTION_CODE	+334/-12	request-invariant fixed-split softmax	Production runtime semantics for PatternKV/CAUSAL system path.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	Python script, ASCII text executable	178490
quant/batch_invariant_kproj.py	M	PRODUCTION_CODE	+7/-3	review required	Production runtime semantics for PatternKV/CAUSAL system path.	yes	REVIEW_semantic_production_group	semantic source/test/report artifact	Python script, ASCII text executable	17841
quant/csrc/gemv_cuda.cu	M	CUDA_KERNEL	+195/-1	request-invariant fixed-split softmax / fused page ragged valid lengths	CUDA/runtime kernel support for request-local fixed-split or fused page semantics.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	C source, Unicode text, UTF-8 text	156030
quant/csrc/gemv_cuda.h	M	CUDA_KERNEL	+15/-0	request-invariant fixed-split softmax	CUDA/runtime kernel support for request-local fixed-split or fused page semantics.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	C source, Unicode text, UTF-8 text	7002
quant/csrc/pybind.cpp	M	CUDA_KERNEL	+1/-0	request-invariant fixed-split softmax	CUDA/runtime kernel support for request-local fixed-split or fused page semantics.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	C source, ASCII text	1287
quant/matmul.py	M	PRODUCTION_CODE	+31/-0	request-invariant fixed-split softmax	Production runtime semantics for PatternKV/CAUSAL system path.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	Python script, Unicode text, UTF-8 text executable	53035
quant/page_batch.py	M	PRODUCTION_CODE	+28/-26	review required	Production runtime semantics for PatternKV/CAUSAL system path.	yes	REVIEW_semantic_production_group	semantic source/test/report artifact	Python script, ASCII text executable	35811
reports/centroid_determinism_causal_forensic.md	??	FINAL_REPORT	13371 bytes	centroid determinism forensic	Scientific report/evidence artifact.	yes	D_serving_scaling_forensic_infra	semantic source/test/report artifact	ASCII text	13371
reports/system_attention_qk_online_softmax_forensic_v1/attention_probability_call_graph.md	??	FINAL_REPORT	465 bytes	attention QK online softmax forensic	Scientific report/evidence artifact.	yes	D_serving_scaling_forensic_infra	semantic source/test/report artifact	ASCII text, with very long lines (428)	465
reports/system_attention_qk_online_softmax_forensic_v1/attention_split_planner.md	??	FINAL_REPORT	357 bytes	attention QK online softmax forensic	Scientific report/evidence artifact.	yes	D_serving_scaling_forensic_infra	semantic source/test/report artifact	ASCII text, with very long lines (329)	357
reports/system_attention_qk_online_softmax_forensic_v1/dynamic_split_boundaries.json	??	FINAL_REPORT	3286 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	3286
reports/system_attention_qk_online_softmax_forensic_v1/environment.md	??	FINAL_REPORT	232 bytes	attention QK online softmax forensic	Scientific report/evidence artifact.	yes	D_serving_scaling_forensic_infra	semantic source/test/report artifact	ASCII text	232
reports/system_attention_qk_online_softmax_forensic_v1/final_gate.json	??	FINAL_REPORT	2300 bytes	request-invariant fixed-split softmax	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	2300
reports/system_attention_qk_online_softmax_forensic_v1/final_probability_reconstruction.json	??	FINAL_REPORT	2781 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	2781
reports/system_attention_qk_online_softmax_forensic_v1/fixed_split_b2_16step.json	??	FINAL_REPORT	151 bytes	attention QK online softmax forensic	Scientific report/evidence artifact.	yes	D_serving_scaling_forensic_infra	semantic source/test/report artifact	JSON text data	151
reports/system_attention_qk_online_softmax_forensic_v1/fixed_split_boundary_oracle.json	??	FINAL_REPORT	322 bytes	attention QK online softmax forensic	Scientific report/evidence artifact.	yes	D_serving_scaling_forensic_infra	semantic source/test/report artifact	JSON text data	322
reports/system_attention_qk_online_softmax_forensic_v1/fixed_split_layer_propagation.json	??	FINAL_REPORT	118 bytes	attention QK online softmax forensic	Scientific report/evidence artifact.	yes	D_serving_scaling_forensic_infra	semantic source/test/report artifact	JSON text data	118
reports/system_attention_qk_online_softmax_forensic_v1/fixed_split_merge_state_oracle.json	??	FINAL_REPORT	1012 bytes	attention QK online softmax forensic	Scientific report/evidence artifact.	yes	D_serving_scaling_forensic_infra	semantic source/test/report artifact	JSON text data	1012
reports/system_attention_qk_online_softmax_forensic_v1/fixed_split_probability_oracle.json	??	FINAL_REPORT	1028 bytes	attention QK online softmax forensic	Scientific report/evidence artifact.	yes	D_serving_scaling_forensic_infra	semantic source/test/report artifact	JSON text data	1028
reports/system_attention_qk_online_softmax_forensic_v1/fixed_split_size_design.md	??	FINAL_REPORT	226 bytes	attention QK online softmax forensic	Scientific report/evidence artifact.	yes	D_serving_scaling_forensic_infra	semantic source/test/report artifact	ASCII text	226
reports/system_attention_qk_online_softmax_forensic_v1/mask_semantics.md	??	FINAL_REPORT	331 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	ASCII text, with very long lines (312)	331
reports/system_attention_qk_online_softmax_forensic_v1/mask_value_audit.json	??	FINAL_REPORT	630 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	630
reports/system_attention_qk_online_softmax_forensic_v1/masked_valid_logits_comparison.json	??	FINAL_REPORT	1210 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	1210
reports/system_attention_qk_online_softmax_forensic_v1/merge_state_audit.md	??	FINAL_REPORT	463 bytes	attention QK online softmax forensic	Scientific report/evidence artifact.	yes	D_serving_scaling_forensic_infra	semantic source/test/report artifact	ASCII text	463
reports/system_attention_qk_online_softmax_forensic_v1/merged_lse_comparison.json	??	FINAL_REPORT	672 bytes	attention QK online softmax forensic	Scientific report/evidence artifact.	yes	D_serving_scaling_forensic_infra	semantic source/test/report artifact	JSON text data	672
reports/system_attention_qk_online_softmax_forensic_v1/no_split_attention_oracle.json	??	FINAL_REPORT	1828 bytes	attention QK online softmax forensic	Scientific report/evidence artifact.	yes	D_serving_scaling_forensic_infra	semantic source/test/report artifact	JSON text data	1828
reports/system_attention_qk_online_softmax_forensic_v1/no_split_attention_oracle.md	??	FINAL_REPORT	1057 bytes	attention QK online softmax forensic	Scientific report/evidence artifact.	yes	D_serving_scaling_forensic_infra	semantic source/test/report artifact	ASCII text	1057
reports/system_attention_qk_online_softmax_forensic_v1/online_softmax_state_audit.md	??	FINAL_REPORT	154 bytes	attention QK online softmax forensic	Scientific report/evidence artifact.	yes	D_serving_scaling_forensic_infra	semantic source/test/report artifact	ASCII text	154
reports/system_attention_qk_online_softmax_forensic_v1/per_split_lse_comparison.json	??	FINAL_REPORT	1081 bytes	attention QK online softmax forensic	Scientific report/evidence artifact.	yes	D_serving_scaling_forensic_infra	semantic source/test/report artifact	JSON text data	1081
reports/system_attention_qk_online_softmax_forensic_v1/per_split_max_comparison.json	??	FINAL_REPORT	1027 bytes	attention QK online softmax forensic	Scientific report/evidence artifact.	yes	D_serving_scaling_forensic_infra	semantic source/test/report artifact	JSON text data	1027
reports/system_attention_qk_online_softmax_forensic_v1/preflight.json	??	FINAL_REPORT	7689 bytes	attention QK online softmax forensic	Scientific report/evidence artifact.	yes	D_serving_scaling_forensic_infra	semantic source/test/report artifact	JSON text data	7689
reports/system_attention_qk_online_softmax_forensic_v1/qk_dot_reduction_oracle.json	??	FINAL_REPORT	710 bytes	attention QK online softmax forensic	Scientific report/evidence artifact.	yes	D_serving_scaling_forensic_infra	semantic source/test/report artifact	JSON text data	710
reports/system_attention_qk_online_softmax_forensic_v1/qk_input_comparison.json	??	FINAL_REPORT	1049 bytes	attention QK online softmax forensic	Scientific report/evidence artifact.	yes	D_serving_scaling_forensic_infra	semantic source/test/report artifact	JSON text data	1049
reports/system_attention_qk_online_softmax_forensic_v1/raw_qk_logits_comparison.json	??	FINAL_REPORT	301 bytes	attention QK online softmax forensic	Scientific report/evidence artifact.	yes	D_serving_scaling_forensic_infra	semantic source/test/report artifact	JSON text data	301
reports/system_attention_qk_online_softmax_forensic_v1/root_cause_evidence.md	??	FINAL_REPORT	533 bytes	request-invariant fixed-split softmax	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	ASCII text	533
reports/system_attention_qk_online_softmax_forensic_v1/scaled_logits_comparison.json	??	FINAL_REPORT	301 bytes	attention QK online softmax forensic	Scientific report/evidence artifact.	yes	D_serving_scaling_forensic_infra	semantic source/test/report artifact	JSON text data	301
reports/system_attention_qk_online_softmax_forensic_v1/secondary_value_reduction_after_softmax_fix.json	??	FINAL_REPORT	145 bytes	attention QK online softmax forensic	Scientific report/evidence artifact.	yes	D_serving_scaling_forensic_infra	semantic source/test/report artifact	JSON text data	145
reports/system_attention_value_reduction_forensic_v1/atomic_audit.md	??	FINAL_REPORT	438 bytes	attention value reduction forensic	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	ASCII text, with very long lines (421)	438
reports/system_attention_value_reduction_forensic_v1/attention_probs_comparison.json	??	FINAL_REPORT	357 bytes	attention value reduction forensic	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	357
reports/system_attention_value_reduction_forensic_v1/attention_value_call_graph.md	??	FINAL_REPORT	541 bytes	attention value reduction forensic	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	ASCII text, with very long lines (510)	541
reports/system_attention_value_reduction_forensic_v1/b2_16step_fixed_reduction.json	??	FINAL_REPORT	165 bytes	attention value reduction forensic	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	165
reports/system_attention_value_reduction_forensic_v1/b2_16step_fixed_reduction.md	??	FINAL_REPORT	195 bytes	attention value reduction forensic	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	ASCII text	195
reports/system_attention_value_reduction_forensic_v1/canonical_attention_contract.md	??	FINAL_REPORT	291 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	ASCII text	291
reports/system_attention_value_reduction_forensic_v1/effective_value_comparison.json	??	FINAL_REPORT	309 bytes	attention value reduction forensic	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	309
reports/system_attention_value_reduction_forensic_v1/environment.md	??	FINAL_REPORT	232 bytes	attention value reduction forensic	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	ASCII text	232
reports/system_attention_value_reduction_forensic_v1/final_gate.json	??	FINAL_REPORT	4956 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	4956
reports/system_attention_value_reduction_forensic_v1/fixed_reduction_mode.md	??	FINAL_REPORT	188 bytes	attention value reduction forensic	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	ASCII text	188
reports/system_attention_value_reduction_forensic_v1/fixed_reduction_oracle.json	??	FINAL_REPORT	822 bytes	attention value reduction forensic	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	822
reports/system_attention_value_reduction_forensic_v1/frozen_pv_production_oracle.json	??	FINAL_REPORT	275 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	275
reports/system_attention_value_reduction_forensic_v1/golden_value_reduction.json	??	FINAL_REPORT	2433 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	2433
reports/system_attention_value_reduction_forensic_v1/per_token_pv_contribution.json	??	FINAL_REPORT	366 bytes	attention value reduction forensic	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	366
reports/system_attention_value_reduction_forensic_v1/preflight.json	??	FINAL_REPORT	7577 bytes	attention value reduction forensic	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	7577
reports/system_attention_value_reduction_forensic_v1/production_reduction_topology_b1.json	??	FINAL_REPORT	980 bytes	attention value reduction forensic	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	980
reports/system_attention_value_reduction_forensic_v1/production_reduction_topology_ragged.json	??	FINAL_REPORT	996 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	996
reports/system_attention_value_reduction_forensic_v1/reduction_topology_audit.md	??	FINAL_REPORT	2227 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	ASCII text	2227
reports/system_attention_value_reduction_forensic_v1/root_cause_evidence.md	??	FINAL_REPORT	377 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	ASCII text	377
reports/system_attention_value_reduction_forensic_v1/secondary_divergence_after_fixed_reduction.json	??	FINAL_REPORT	109 bytes	attention value reduction forensic	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	109
reports/system_attention_value_reduction_forensic_v1/step1_layer0_fixed_reduction.json	??	FINAL_REPORT	1323 bytes	attention value reduction forensic	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	1323
reports/system_attention_value_reduction_forensic_v1/step1_layer1_propagation.json	??	FINAL_REPORT	100 bytes	attention value reduction forensic	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	100
reports/system_attention_value_reduction_forensic_v1/v_precision_mapping_comparison.json	??	FINAL_REPORT	1773 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	1773
reports/system_b4_request_count_kernel_geometry_fix_v1/REPORT.md	??	FINAL_REPORT	6267 bytes	B4 ragged request-count correction	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	ASCII text, with very long lines (494)	6267
reports/system_b4_request_count_kernel_geometry_fix_v1/attention_microtrace_b_request_step1_layer0.json	??	FINAL_REPORT	28790 bytes	B4 ragged request-count correction	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	28790
reports/system_b4_request_count_kernel_geometry_fix_v1/attention_microtrace_summary.md	??	FINAL_REPORT	836 bytes	B4 ragged request-count correction	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	ASCII text	836
reports/system_b4_request_count_kernel_geometry_fix_v1/b1b_vs_b4b_step6_layer_trace.json	??	FINAL_REPORT	100447 bytes	B4 ragged request-count correction	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	100447
reports/system_b4_request_count_ragged_divergence_v1/b2_known_good_control.json	??	FINAL_REPORT	101 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	101
reports/system_b4_request_count_ragged_divergence_v1/b2_regression_postfix.json	??	FINAL_REPORT	63 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	63
reports/system_b4_request_count_ragged_divergence_v1/b4_16step_postfix.json	??	FINAL_REPORT	101 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	101
reports/system_b4_request_count_ragged_divergence_v1/b4_16step_postfix.md	??	FINAL_REPORT	123 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	ASCII text	123
reports/system_b4_request_count_ragged_divergence_v1/b4_initial_failure.json	??	FINAL_REPORT	93 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	93
reports/system_b4_request_count_ragged_divergence_v1/b4_runtime_geometry_timeline.json	??	FINAL_REPORT	15079 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	15079
reports/system_b4_request_count_ragged_divergence_v1/b4_runtime_geometry_timeline.md	??	FINAL_REPORT	73 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	ASCII text	73
reports/system_b4_request_count_ragged_divergence_v1/environment.md	??	FINAL_REPORT	5285 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	ASCII text	5285
reports/system_b4_request_count_ragged_divergence_v1/final_gate.json	??	FINAL_REPORT	3299 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	3299
reports/system_b4_request_count_ragged_divergence_v1/first_bad_b4_component.json	??	FINAL_REPORT	100295 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	100295
reports/system_b4_request_count_ragged_divergence_v1/first_bad_b4_layer.json	??	FINAL_REPORT	21 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	21
reports/system_b4_request_count_ragged_divergence_v1/first_bad_b4_step.json	??	FINAL_REPORT	21 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	21
reports/system_b4_request_count_ragged_divergence_v1/first_bad_b4_step_input_output.json	??	FINAL_REPORT	1461 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	1461
reports/system_b4_request_count_ragged_divergence_v1/independent_flush_postfix.json	??	FINAL_REPORT	102 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	102
reports/system_b4_request_count_ragged_divergence_v1/page_chunk_offset_audit.json	??	FINAL_REPORT	40 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	40
reports/system_b4_request_count_ragged_divergence_v1/peer_content_control.json	??	FINAL_REPORT	87 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	87
reports/system_b4_request_count_ragged_divergence_v1/peer_identity_control.json	??	FINAL_REPORT	59 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	59
reports/system_b4_request_count_ragged_divergence_v1/peer_length_control.json	??	FINAL_REPORT	33 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	33
reports/system_b4_request_count_ragged_divergence_v1/preflight.json	??	FINAL_REPORT	10194 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	10194
reports/system_b4_request_count_ragged_divergence_v1/prior_fix_state.md	??	FINAL_REPORT	139 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	ASCII text	139
reports/system_b4_request_count_ragged_divergence_v1/regression_summary.md	??	FINAL_REPORT	109 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	ASCII text	109
reports/system_b4_request_count_ragged_divergence_v1/request_b_b2_vs_b4_timeline.json	??	FINAL_REPORT	4804 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	4804
reports/system_b4_request_count_ragged_divergence_v1/request_b_b2_vs_b4_timeline.md	??	FINAL_REPORT	491 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	ASCII text	491
reports/system_b4_request_count_ragged_divergence_v1/request_count_ladder.json	??	FINAL_REPORT	678 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	678
reports/system_b4_request_count_ragged_divergence_v1/row_ownership_audit.md	??	FINAL_REPORT	124 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	ASCII text	124
reports/system_b4_request_count_ragged_divergence_v1/seq_len_mapping_audit.json	??	FINAL_REPORT	44 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	44
reports/system_b4_request_count_ragged_divergence_v1/softmax_value_split_audit.json	??	FINAL_REPORT	79 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	79
reports/system_b4_request_count_ragged_divergence_v1/system_invariants.json	??	FINAL_REPORT	347 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	347
reports/system_b4_request_count_ragged_divergence_v1/workspace_ownership_audit.json	??	FINAL_REPORT	43 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	43
reports/system_bi_kproj_ragged_decode_fix_v1/after_fix_dispatch.md	??	FINAL_REPORT	411 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	ASCII text, with very long lines (388)	411
reports/system_bi_kproj_ragged_decode_fix_v1/b2_16step_postfix.json	??	FINAL_REPORT	97 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	97
reports/system_bi_kproj_ragged_decode_fix_v1/b2_16step_postfix.md	??	FINAL_REPORT	157 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	ASCII text	157
reports/system_bi_kproj_ragged_decode_fix_v1/b2_reorder_postfix.json	??	FINAL_REPORT	20 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	20
reports/system_bi_kproj_ragged_decode_fix_v1/b4_ragged_multistep_postfix.json	??	FINAL_REPORT	1747 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	1747
reports/system_bi_kproj_ragged_decode_fix_v1/b4_ragged_multistep_postfix.md	??	FINAL_REPORT	1497 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	ASCII text, with very long lines (1450)	1497
reports/system_bi_kproj_ragged_decode_fix_v1/before_fix_dispatch.md	??	FINAL_REPORT	364 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	ASCII text, with very long lines (340)	364
reports/system_bi_kproj_ragged_decode_fix_v1/bi_kproj_contract_test.json	??	FINAL_REPORT	674 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	674
reports/system_bi_kproj_ragged_decode_fix_v1/current_k_postfix.json	??	FINAL_REPORT	1243 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	1243
reports/system_bi_kproj_ragged_decode_fix_v1/environment.md	??	FINAL_REPORT	5122 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	ASCII text	5122
reports/system_bi_kproj_ragged_decode_fix_v1/final_gate.json	??	FINAL_REPORT	2580 bytes	ragged / lifecycle correctness	Scientific report/evidence artifact.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	JSON text data	2580
